arm,depth,activation,seed,test_errors,train_errors_10k,final_train_loss,penultimate_train_loss,loss_plateaued,duration_seconds
mnist_mlp_25ep,12,gelu,5,231,33,0.02242097833653291,0.017645240327653786,True,22.76062958408147
mnist_mlp_25ep,12,gelu,6,220,55,0.12276386130601168,0.06170833635504047,True,22.45840054214932
mnist_mlp_25ep,12,gelu,7,212,36,0.022169144282241662,0.03143318191791574,False,22.884678959148005
mnist_mlp_25ep,12,gelu,8,468,278,0.06702983255982399,0.021530771326522032,True,22.736574791837484
mnist_mlp_25ep,12,gelu,9,202,34,0.018966735811779895,0.021457679856320223,False,23.636005999986082
mnist_mlp_25ep,12,gelu,10,218,51,0.020712051651533694,0.034433689347406225,False,24.987608082825318
mnist_mlp_25ep,12,gelu,11,226,49,0.02301349005380956,0.016893461971729994,True,24.770571667002514
mnist_mlp_25ep,12,gelu,12,207,42,0.019657478189406295,0.022350671892613173,False,25.32777800015174
mnist_mlp_25ep,12,relu,3,259,50,0.024679821478947997,0.022324617222044617,True,16.72689324989915
mnist_mlp_25ep,12,relu,4,279,85,0.193595827349027,0.03516803418546915,True,16.51310299988836
mnist_mlp_25ep,12,relu,5,229,78,0.036437747214734556,0.03151182831724485,True,15.6372036668472
mnist_mlp_25ep,12,relu,6,254,69,0.016037472587668647,0.025079299981643755,False,15.250968832988292
mnist_mlp_25ep,12,relu,7,270,147,0.0497305791536967,0.06021094439377388,False,14.359401041874662
mnist_mlp_25ep,12,relu,8,245,88,0.06197884492874146,0.07978046630223593,False,16.272758041974157
mnist_mlp_25ep,12,relu,9,237,84,0.17988705424765747,0.08879650626977285,True,15.864591208985075
mnist_mlp_25ep,12,relu,10,197,47,0.03059630472858747,0.037102563185741504,False,15.103397708153352
mnist_mlp_25ep,12,relu,11,223,43,0.024022212873523435,0.026341191320121287,False,15.039093917002901
mnist_mlp_25ep,12,relu,12,239,80,0.023587144014177223,0.024485335687796275,False,15.045739209046587
mnist_mlp_25ep,12,tanh,3,311,162,0.08734840229054291,0.06422403188149134,True,24.681235291995108
mnist_mlp_25ep,12,tanh,4,297,147,0.06991785941322645,0.07884117713967959,False,24.66151550016366
mnist_mlp_25ep,12,tanh,5,289,150,0.06533175275822481,0.07003476603627205,False,24.601759541081265
mnist_mlp_25ep,12,tanh,6,386,233,0.06499935044844946,0.07698930281301339,False,24.45270066615194
mnist_mlp_25ep,12,tanh,7,303,156,0.06883863331178824,0.06276940191586812,True,24.64048095815815
mnist_mlp_25ep,12,tanh,8,302,152,0.08144420181711515,0.05701534580389658,True,24.965715625090525
mnist_mlp_25ep,12,tanh,9,311,153,0.07669179201523463,0.08015848970413209,False,26.35093816719018
mnist_mlp_25ep,12,tanh,10,301,184,0.07778511174917221,0.07269434890548389,True,26.18947424995713
mnist_mlp_25ep,12,tanh,11,268,112,0.05887695148984591,0.06532211954196294,False,25.60542116709985
mnist_mlp_25ep,12,tanh,12,273,153,0.07110773171583812,0.07144773946205775,True,25.548622500151396
