a,seed,point,step,s,branch,dist,soft_component,stiff_component,hess_min,hess_max,sqrt_vhat_w1,sqrt_vhat_b1,sqrt_vhat_w2,sqrt_vhat_b2,log_vhat_ratio_w2_w1,mhat_w2,residual
1.3,300009,tstar,17,0.5731809346113041,1,1.821706034133186,0.8593295130559748,1.606289408166611,0.2438276307477176,0.4378685892549743,0.0267305123352644,0.3346139501528534,0.4192656962181332,0.2573856079800687,5.50539828357526,-0.3727495773478034,0.028582414856823002
1.3,300009,primary,2460,3.64723057291616,1,0.0079540662006322,0.0066125251114332,0.0044205973323415,1.2999477906208627,1.9240718583703535,0.0025334522463782,0.0177492768095654,0.0197626366143522,0.0183289504620154,4.108420436872984,0.0035155724171481,0.028582414856823002
1.3,300010,tstar,10215,0.2439928808938145,-1,2.049269201547314,0.8506380202999158,1.8643817256212865,0.1096342265957971,0.1920019363179904,8.969129165097222e-05,0.0003780953272574,0.0003242377166802,0.0002599086375052,2.570206517840899,-0.0001440824253858,0.03287084290853515
1.3,300010,primary,10618,3.480534245260138,-1,0.0092682383332061,0.0077190515613184,0.0051299595314991,1.2672706453513405,1.8675075248882087,0.0108512580594333,0.008834747894561,0.0004651363018683,0.0081785270073364,-6.299411634984406,0.0002127007832799,0.03287084290853515
1.3,300011,tstar,183,0.132468066504731,-1,2.3511046374763307,1.3946442212969974,1.892791724507903,0.0637010703076219,0.1067666309212383,0.0256250659662268,0.0279972594064847,0.0840022439355164,0.0555864587919526,2.3745450005150537,-0.0005757949024732,0.029895066640371226
1.3,300011,primary,2228,3.414895098005988,-1,0.0085280611008552,0.00702253585263,0.0048385758584987,1.242469329175003,1.8546764476630584,0.0068335177720118,0.0067527850102873,0.0144898138570971,0.0157964109484746,1.5032126436217028,-0.003145944372274,0.029895066640371226
1.3,300012,tstar,3112,0.2181953676285257,-1,2.111100421108375,0.9718011298626068,1.87412581007832,0.0991346030346887,0.1748699226159397,0.0004600500794568,0.0002076132602706,0.0021797860250005,0.0009245921662064,3.11129329070894,0.0002275010431853,0.03246814414343202
1.3,300012,primary,3650,3.5271030940085577,-1,0.0089201014268642,0.0074068135362418,0.004970646105376,1.2828429347562726,1.9130868257707991,0.0120109584163808,0.005095332549971,0.0026935783977535,0.0094769087923916,-2.989897730895654,-0.0010309787002231,0.03246814414343202
1.3,300013,tstar,5134,0.2507541412019498,1,2.164080582862982,1.0263188156939131,1.9052334391557444,0.111755693381802,0.1973272981146545,0.0004377250100247,0.0023302552520871,0.0039258992042456,0.003946040594098,4.387519636773441,-0.0001964625293358,0.03155493425849887
1.3,300013,primary,5843,3.5137247986180635,1,0.0087461086493386,0.007192702725162,0.0049758862540739,1.2769265596010524,1.871613372485028,0.0062683947950587,0.0065025156573974,0.0037732925380329,0.0105826749514161,-1.0151446714947667,0.0012794050364661,0.03155493425849887
1.3,300014,tstar,5226,0.2748843796189063,-1,2.081880150317133,0.9153059486041096,1.8698769961509285,0.1213246370893176,0.2201431272594174,0.0014056341590468,0.0028933189422915,0.0019008313660918,0.0020142711419493,0.6036055837305353,0.0002070460981815,0.03083634444454897
1.3,300014,primary,5831,3.664386101820835,-1,0.0085678396589278,0.0071983909866166,0.0046466163629992,1.3112709893658354,1.9566286821173853,0.0082074948978941,0.0078221636734198,0.0018413274660269,0.009413153339973,-2.9891219766491193,-0.000703158249251,0.03083634444454897
1.3,300015,tstar,4265,0.3000066952016996,-1,1.8919635266210664,0.6680263502577724,1.7701036075398815,0.1310326550621979,0.237818625569712,0.000145256828993,0.0013155628949881,0.0008481864302448,0.002424994540649,3.5291940970929643,-0.0001270866076013,0.031817931306469704
1.3,300015,primary,4827,3.4919792175608726,-1,0.0091071565999209,0.0075379817989092,0.0051106879903586,1.276346648390765,1.8922626276828876,0.0107887629943759,0.0052185195402814,0.0008829665128541,0.0102116841081059,-5.0059462647466875,0.0003220235139965,0.031817931306469704
1.3,300016,tstar,6707,0.3799287839634769,-1,2.0356036072113537,0.9701120623698408,1.789571074904936,0.1650368766633654,0.2978592954926365,0.000161687246552,0.000495794366982,0.0022001195031865,0.0016249906644713,5.221206130147824,0.0004071429781062,0.03299313826992001
1.3,300016,primary,7283,3.539806800562932,-1,0.0092240922113087,0.0074973685135287,0.0053733920846215,1.3045544870991013,1.930483730166794,0.0119060217451373,0.0044345848554514,0.0028452009256883,0.0098548464925825,-2.8628212238061126,-0.0010454332833715,0.03299313826992001
1.3,300017,tstar,84,0.0609849078043815,-1,2.237970615594069,1.3261584816375076,1.802724648370736,0.0306282894066466,0.0493655278631056,0.0017347127114783,0.0196522667629819,0.0349629758822451,0.0514340566200985,6.006895708257114,-0.0001310392576373,0.031575234840368394
1.3,300017,primary,1710,3.5033837339750993,-1,0.0088963825422878,0.0075056778323126,0.0047760258182148,1.2658459458424007,1.8993377321256304,0.001757291147677,0.0082031125328679,0.005576923850172,0.0172556222951157,2.309727680603047,0.0011706513115049,0.031575234840368394
1.3,300018,tstar,24472,0.0581337373214546,-1,2.0413972616589935,1.2237827208180294,1.6339090036278203,0.0289948101710437,0.0465216746426986,0.0001675948279046,0.0002100106302343,7.672143764795272e-05,0.0001716220382462,-1.5627363170409752,0.0001097943216451,0.03288455872136842
1.3,300018,primary,24873,3.454894200702388,-1,0.009308876611049,0.0077728838698428,0.0051222514684143,1.261024036295438,1.872630384053636,0.0090206699908505,0.0093518384819666,0.000773752644898,0.0082631999624581,-4.9120432927700515,0.0003505365523051,0.03288455872136842
1.3,300019,tstar,8346,0.1442672183532331,1,2.104204032858339,0.9978081656849396,1.852580221310201,0.0684801918630519,0.1165593115425965,0.0001131334893401,0.0001162474425322,5.8880011320367094e-05,0.0001418421924374,-1.3061335528251077,4.560750259451757e-05,0.03296217135899848
