a,seed,w2_abs,margin,bound,satisfies_bound,slack,w2_times_D
2.0,20,3.9563168919414067,0.6761724243374765,3.0694086237557063,True,1.2889508621698227,5.4189930133734565
2.0,22,5.023975249677224,1.0349493201263424,4.6980359653951576,True,1.069377775454014,6.881371619350366
2.0,23,4.334683089975992,0.6752215860973543,3.065092400572119,True,1.4142095974551683,5.937243659023826
2.0,24,4.357109883729014,0.8491686509313627,3.854705525362938,True,1.1303353408088863,5.967961784487319
2.0,27,4.035806288223339,0.5751145550661612,2.6106677992630796,True,1.5458903999055482,5.527870157154953
2.0,28,3.8880538441263717,0.5013875165286326,2.2759922050715686,True,1.7082896134102146,5.32549267220141
2.0,31,3.6390725935832857,0.502859391079296,2.28267361394937,True,1.5942150342234607,4.984461431781261
2.0,32,3.5514163921891972,0.6721780192283262,3.05127647129354,True,1.1639117023976628,4.864398161849329
2.0,33,3.6879402846606495,0.6264988365124395,2.8439209620953747,True,1.296780161549711,5.051395826512715
2.0,34,4.493032732581186,0.9318938706049273,4.23022735016512,True,1.062125592943795,6.154136195790934
2.0,35,2.937291230661306,0.3639006907914455,1.6518862324211683,True,1.7781437807349,4.023226928464272
2.0,36,3.392340261324788,0.5166633508172218,2.3453351356804295,True,1.4464202619556974,4.646510549382142
3.0,1,3.5441769802931815,1.7127037038055075,3.264894386414973,True,1.0855410806059413,11.323416550695995
3.0,2,3.5331280266297402,1.6607822849089127,3.1659175764077685,True,1.1159886324768535,11.288115857340062
3.0,3,3.085192558136004,1.5101795583419486,2.8788264727599264,True,1.071684100215403,9.856990965499543
3.0,5,2.9143748335945245,1.435872714412076,2.7371767542010152,True,1.0647375362667193,9.31123936788457
3.0,9,3.035524091235071,1.4941074986804672,2.848188612136221,True,1.065773551056488,9.698303421598393
3.0,10,3.9873876638936387,1.9652286021374845,3.7462777810804804,True,1.0643598518056552,12.739446059953613
3.0,18,3.767714102816072,1.8679220608883371,3.560784178433449,True,1.0581135822934544,12.037603219969284
3.0,19,3.8720364608176165,1.9380719797815384,3.6945096301230698,True,1.0480515273927256,12.370906416104994
3.0,20,3.2650651591088757,1.5556302122803736,2.9654681870113393,True,1.101028557112756,10.431672308501907
3.0,22,3.910473228448924,1.886866194379758,3.5968970185903353,True,1.0871796463000998,12.493709406241113
3.0,23,3.446927232806148,1.4706266492705158,2.803427516999644,True,1.2295403437058385,11.012709888368262
3.0,27,3.233489508297894,1.4087622200074836,2.685496536076994,True,1.2040564807510103,10.330790143480202
3.0,28,3.1813924858448255,1.3255674312391932,2.5269038978845,True,1.2590081041500063,10.164343521438699
3.0,31,3.177482137732197,1.3917061497133538,2.652982874762505,True,1.1977017145339264,10.151850211769423
3.0,32,3.057237113970803,1.5365199580910804,2.9290386741382406,True,1.0437680939362401,9.767675126899377
3.0,33,3.16379681167073,1.5967853084931978,3.0439213615441343,True,1.0393819142771101,10.108126478872409
3.0,34,3.432942629605407,1.6766169471597134,3.196102890877835,True,1.074102664029856,10.968029984340136
3.0,35,2.2553061679913387,0.9873478283418455,1.8821623232493296,True,1.1982527437366934,7.205557547356833
3.0,36,2.048006291241658,0.897153281177812,1.7102261792059734,True,1.1975061054161324,6.543247829643358
3.0,37,3.0790159504145764,1.4432941363812173,2.7513240692750873,True,1.1191033382068396,9.83725710274696
3.0,38,3.590115505142301,1.7586576283123376,3.352495475746841,True,1.0708785533386962,11.470187170640614
