a,endpoint,init_seed,w2_endpoint,barrier_linear,barrier_mep
3.0,found,4,3.5441769802931815,0.6353067368274232,0.0
3.0,found,5,3.5441769802931815,0.0,
3.0,found,6,3.5441769802931815,0.0,
3.0,found,7,3.5441769802931815,0.6498084234619667,
3.0,found,8,3.5441769802931815,0.08530107230183881,
3.0,found,9,3.5441769802931815,0.7366810896775707,
3.0,found,10,3.5441769802931815,0.5760297522547537,
3.0,found,11,3.5441769802931815,0.7883805686599488,
3.0,found,12,3.5441769802931815,0.7436796489572539,
3.0,found,13,3.5441769802931815,0.3669628946406037,
3.0,found,14,3.5441769802931815,0.7547600833478791,
3.0,found,15,3.5441769802931815,0.6693564681977262,
3.0,found,16,3.5441769802931815,0.6120015915667159,
3.0,found,17,3.5441769802931815,0.2485582024100983,
3.0,found,18,3.5441769802931815,0.0,
3.0,found,19,3.5441769802931815,0.9282000758119389,
3.0,constructed,0,1.0,0.11057883136035285,0.0
3.0,constructed,1,1.0,0.0,0.0
3.0,constructed,2,1.0,0.22502885252334615,0.0
3.0,constructed,3,1.0,0.0,0.0
3.0,constructed,4,1.0,0.2777427688080705,0.0
3.0,constructed,5,1.0,0.0,
3.0,constructed,6,1.0,0.0,
3.0,constructed,7,1.0,0.09487363599911458,
3.0,constructed,8,1.0,0.0,
3.0,constructed,9,1.0,0.345157747069868,
3.0,constructed,10,1.0,0.12996377276653082,
3.0,constructed,11,1.0,0.5461279712518081,
3.0,constructed,12,1.0,0.27101506092934846,
3.0,constructed,13,1.0,0.464495896615846,
3.0,constructed,14,1.0,0.18321376047205296,
3.0,constructed,15,1.0,0.04117896546069799,
3.0,constructed,16,1.0,0.22782706504397998,
3.0,constructed,17,1.0,0.056830136462312275,
3.0,constructed,18,1.0,0.0,
3.0,constructed,19,1.0,0.04755474575701357,
