window,A,status,m_minus_lo,m_minus_hi,m_plus_lo,m_plus_hi,converged
G2_narrow_gap,2.03,plus,0.2024459111658382,0.20244598732511684,0.2022586748516415,0.20225871417539334,True
G2_narrow_gap,1.93,plus,0.21178101702525848,0.21178106732403854,0.2116952447355557,0.2116952819867986,True
G2_narrow_gap,1.83,plus,0.22170666297695493,0.22170675820179234,0.22168683656707197,0.22168687220957792,True
G2_narrow_gap,1.73,minus,0.2322666838481056,0.2322667178688663,0.23226724249810002,0.23226730404301194,True
G2_narrow_gap,1.78,plus,0.2269046598977397,0.22690473909364556,0.22690108588677413,0.22690112086667724,True
G2_narrow_gap,1.755,plus,0.22956497501689258,0.2295650664591421,0.22956469423439319,0.2295647258106456,True
G2_narrow_gap,1.7425,minus,0.2309108881090857,0.23091088865212073,0.23091089552166208,0.23091089642427368,True
G2_narrow_gap,1.74875,plus,0.23023666422565442,0.2302366648719152,0.23023660284626551,0.23023660337675242,True
G2_narrow_gap,1.745625,plus,0.23057345010297295,0.23057345091462608,0.2305734439675889,0.23057344449935457,True
G2_narrow_gap,1.7425,minus,0.2309108881090857,0.23091088865212073,0.23091089552166208,0.23091089642427368,True
G2_narrow_gap,1.745625,plus,0.23057345010297295,0.23057345091462608,0.2305734439675889,0.23057344449935457,True
G3_far_outer,0.83,plus,0.3329039874592592,0.3329040751847721,0.33289183945101697,0.3328918677455011,True
G3_far_outer,0.73,minus,0.3529023205216915,0.3529024140380946,0.3530220040729013,0.35302207025788895,True
G3_far_outer,0.78,minus,0.3427477846684362,0.34274781037624075,0.34275990332566586,0.3427599892551275,True
G3_far_outer,0.805,plus,0.3377832679268367,0.337783268604915,0.3377832649200699,0.3377832653647883,True
G3_far_outer,0.7925,minus,0.3402562059681967,0.3402563037178332,0.34025911727531594,0.3402592014545043,True
G3_far_outer,0.79875,minus,0.33901746111797676,0.33901748756617417,0.3390180794602333,0.3390181586853225,True
G3_far_outer,0.801875,minus,0.3383997784328457,0.33839980375276313,0.33839988275540395,0.3383999486340429,True
G3_far_outer,0.801875,minus,0.3383997784328457,0.33839980375276313,0.33839988275540395,0.3383999486340429,True
G3_far_outer,0.805,plus,0.3377832679268367,0.337783268604915,0.3377832649200699,0.3377832653647883,True
G4_shifted,0.38,plus,0.39717117939959473,0.39717126920119084,0.39523826523846967,0.3952383149071715,True
G4_shifted,0.28,plus,0.4201119070137875,0.4201119811957005,0.4200290594424837,0.4200290988262043,True
G4_shifted,0.18,minus,0.44775011522474756,0.44775014300083427,0.45193182288140776,0.4519318996217039,True
G4_shifted,0.23,minus,0.43343750435317124,0.43343753809965685,0.4338027712815447,0.43380285960288034,True
G4_shifted,0.255,minus,0.42663414178713416,0.42663417652365637,0.42663944244866553,0.42663951736484323,True
G4_shifted,0.2675,plus,0.42332086635772115,0.4233209243564113,0.42330819295835254,0.4233082335305388,True
G4_shifted,0.26125,plus,0.4249655573501167,0.42496564060235853,0.4249651559865737,0.42496519286268564,True
G4_shifted,0.258125,minus,0.4257981235125479,0.4257981626649227,0.42579876474363854,0.42579881652606516,True
G4_shifted,0.258125,minus,0.4257981235125479,0.4257981626649227,0.42579876474363854,0.42579881652606516,True
G4_shifted,0.26125,plus,0.4249655573501167,0.42496564060235853,0.4249651559865737,0.42496519286268564,True
H10,1.11,plus,0.2917686580015648,0.29176873226681743,0.29171936065602727,0.29171944611142564,True
H10,1.01,minus,0.3084706635886499,0.3084707405314346,0.308478883674204,0.30847894188921227,True
H10,1.06,plus,0.29998009825929123,0.29998019007243926,0.29997523555673583,0.2999753176212811,True
H10,1.035,minus,0.3041926335929443,0.30419263388970286,0.3041927198873478,0.3041927206424168,True
H10,1.0475,plus,0.3020772866273644,0.3020773654209841,0.30207635690907036,0.30207643439182336,True
H10,1.04125,plus,0.30313267209452943,0.30313275586751937,0.3031325634504712,0.3031326447905227,True
H10,1.038125,unresolved,0.3036621634272191,0.3036621643627197,0.3036621634272191,0.30366216374190685,True
H10,1.035,minus,0.3041926335929443,0.30419263388970286,0.3041927198873478,0.3041927206424168,True
H10,1.04125,plus,0.30313267209452943,0.30313275586751937,0.3031325634504712,0.3031326447905227,True
H35,0.71,plus,0.3486609350654421,0.3486609934836798,0.34865711576233704,0.34865716343668735,True
