a,budget,seed,final_solved,cross_step,w2_abs,R_cert
1.3,32000,36,True,2430,6.218949268094949,0.2677313440089386
1.3,32000,37,True,3639,5.01962446693574,0.21609933559797923
1.3,32000,38,True,1982,5.947082750742639,0.25602724658926945
1.3,32000,39,True,2141,5.44235215185237,0.23429814159454046
1.35,2000,2,False,1466,4.131413285998795,0.22085203182756263
1.35,2000,5,False,1959,4.43907269265022,0.23729851160727874
1.35,2000,7,False,1490,4.254101682890988,0.22741055789590214
1.35,2000,10,False,1661,4.419578758248011,0.23625642873563005
1.35,2000,12,False,1538,4.028060639848358,0.21532713264247402
1.35,2000,19,False,1719,4.142548245618636,0.221447270862276
1.35,2000,31,False,1648,4.545694608042103,0.24299817538370266
1.35,2000,36,False,1956,5.089501790833534,0.27206835377735983
1.35,2000,38,False,1535,4.876581909756695,0.26068634353121356
1.35,2000,39,False,1690,4.454959966700426,0.23814779404679653
1.35,4000,0,False,3540,4.036424575166455,0.21577424165365333
1.35,4000,1,True,2101,4.323436421810622,0.231116969456936
1.35,4000,2,True,1466,4.131413285998795,0.22085203182756263
1.35,4000,3,True,2601,4.85733231646511,0.25965732234741956
1.35,4000,5,True,1959,4.43907269265022,0.23729851160727874
1.35,4000,7,True,1490,4.254101682890988,0.22741055789590214
1.35,4000,9,True,2264,4.858709965423315,0.2597309670182628
1.35,4000,10,True,1661,4.419578758248011,0.23625642873563005
1.35,4000,11,False,3499,4.535978208361389,0.24247876798894824
1.35,4000,12,True,1538,4.028060639848358,0.21532713264247402
1.35,4000,13,False,3820,4.740416740682796,0.2534073926801747
1.35,4000,15,True,2387,4.214779318818383,0.22530851111420422
1.35,4000,16,False,3500,4.2328081949287375,0.22627227669389893
1.35,4000,18,True,2078,4.457150419097709,0.2382648885684705
1.35,4000,19,True,1719,4.142548245618636,0.221447270862276
1.35,4000,20,True,2743,4.697483326834453,0.2511123108219075
1.35,4000,22,True,2881,4.160909744274395,0.22242881737065032
1.35,4000,23,True,2374,4.611360113401082,0.246508441550649
1.35,4000,24,True,2367,4.697810447910545,0.251129797659778
1.35,4000,25,False,3655,4.870475347120851,0.260359906384347
1.35,4000,26,True,2973,4.621874463883078,0.2470705048221124
1.35,4000,27,False,2584,4.359614535164637,0.23305093473438715
1.35,4000,28,True,2562,4.821297777801198,0.25773103210992043
1.35,4000,30,True,2211,4.627513662380525,0.2473719581892352
1.35,4000,31,True,1648,4.545694608042103,0.24299817538370266
1.35,4000,32,True,2420,4.739962098773637,0.2533830889897809
1.35,4000,33,True,2070,4.547245825384714,0.24308109846067555
1.35,4000,34,True,2011,3.9358938755801782,0.21040019463204002
1.35,4000,35,False,3006,4.441779433361343,0.23744320523735146
1.35,4000,36,True,1956,5.089501790833534,0.27206835377735983
1.35,4000,37,True,3244,4.118566300521086,0.22016527341120506
1.35,4000,38,True,1535,4.876581909756695,0.26068634353121356
1.35,4000,39,True,1690,4.454959966700426,0.23814779404679653
1.35,8000,0,True,3540,4.036424575166455,0.21577424165365333
1.35,8000,1,True,2101,4.323436421810622,0.231116969456936
1.35,8000,2,True,1466,4.131413285998795,0.22085203182756263
1.35,8000,3,True,2601,4.85733231646511,0.25965732234741956
1.35,8000,5,True,1959,4.43907269265022,0.23729851160727874
1.35,8000,6,True,4176,3.9899470852729153,0.21328970491848337
1.35,8000,7,True,1490,4.254101682890988,0.22741055789590214
1.35,8000,9,True,2264,4.858709965423315,0.2597309670182628
1.35,8000,10,True,1661,4.419578758248011,0.23625642873563005
1.35,8000,11,True,3499,4.535978208361389,0.24247876798894824
1.35,8000,12,True,1538,4.028060639848358,0.21532713264247402
1.35,8000,13,True,3820,4.740416740682796,0.2534073926801747
1.35,8000,14,True,4123,4.041920307342545,0.21606802577386783
1.35,8000,15,True,2387,4.214779318818383,0.22530851111420422
1.35,8000,16,True,3500,4.2328081949287375,0.22627227669389893
1.35,8000,18,True,2078,4.457150419097709,0.2382648885684705
1.35,8000,19,True,1719,4.142548245618636,0.221447270862276
1.35,8000,20,True,2743,4.697483326834453,0.2511123108219075
1.35,8000,22,True,2881,4.160909744274395,0.22242881737065032
1.35,8000,23,True,2374,4.611360113401082,0.246508441550649
1.35,8000,24,True,2367,4.697810447910545,0.251129797659778
1.35,8000,25,True,3655,4.870475347120851,0.260359906384347
1.35,8000,26,True,2973,4.621874463883078,0.2470705048221124
1.35,8000,27,True,2584,4.359614535164637,0.23305093473438715
1.35,8000,28,True,2562,4.821297777801198,0.25773103210992043
1.35,8000,29,True,6543,4.3516173050038525,0.23262342859841487
