a,seed,w2,margin,solved,gstar,bound
1.35,6,0.4879675039992065,-0.03271465639521293,False,0.1067705918459203,
1.35,7,5.322334761469548,-0.12082329493141586,False,0.1067705918459203,
1.35,8,0.3935366463998789,-0.005438174572706039,False,0.1067705918459203,
1.35,9,2.9665170373742873,-0.39935524886627327,False,0.1067705918459203,
1.35,10,5.726465076091408,-0.10783506089286377,False,0.1067705918459203,
1.35,11,3.7930586165700038,-0.27287044171042396,False,0.1067705918459203,
1.35,12,0.5582139727941718,-0.09559107314204882,False,0.1067705918459203,
1.35,13,4.118906871505505,-0.26827913300254735,False,0.1067705918459203,
1.35,14,4.464884249517981,-0.21847468060860287,False,0.1067705918459203,
1.35,15,5.632382337784559,-0.08989451967930506,False,0.1067705918459203,
1.35,16,0.36301953921732816,-0.017811755225498372,False,0.1067705918459203,
1.35,17,0.4102939725082504,-0.00678991968699294,False,0.1067705918459203,
1.35,18,5.504881635820752,-0.0391946198710329,False,0.1067705918459203,
1.35,19,5.844854990968885,-0.0855082795077422,False,0.1067705918459203,
1.35,20,3.779434384544287,-0.31751770077585384,False,0.1067705918459203,
1.35,21,3.916183573575285,-0.32633446314482306,False,0.1067705918459203,
1.35,22,5.600477796886408,-0.05007063089276187,False,0.1067705918459203,
1.35,23,4.515796196198072,-0.26517507663968587,False,0.1067705918459203,
1.35,24,4.32292230244533,-0.27898793638231645,False,0.1067705918459203,
1.35,25,4.903347233497305,-0.24949657452078,False,0.1067705918459203,
1.35,26,3.7465779149002545,-0.320320723560668,False,0.1067705918459203,
1.35,27,3.7305651045249393,-0.45924505071360144,False,0.1067705918459203,
1.35,28,3.4464414989995538,-0.3964689055927284,False,0.1067705918459203,
1.35,29,2.64214234119699,-0.4667700146213267,False,0.1067705918459203,
1.35,30,0.45113152782142185,-0.015210559609834806,False,0.1067705918459203,
1.35,31,3.1194533915298988,-0.5459421621418272,False,0.1067705918459203,
1.35,32,3.063583027688565,-0.4195540340409618,False,0.1067705918459203,
1.35,33,3.190351554508082,-0.449213367022292,False,0.1067705918459203,
1.35,34,4.248922950715176,-0.2082717320511147,False,0.1067705918459203,
1.35,35,3.248149339797331,-0.3746895527198042,False,0.1067705918459203,
1.35,36,3.5690221023098405,-0.37081416638643283,False,0.1067705918459203,
1.35,37,4.811270094109723,-0.15842567447821843,False,0.1067705918459203,
1.35,38,5.229032237698603,-0.3169403100948145,False,0.1067705918459203,
1.35,39,2.144761889040403,-0.5484011710390018,False,0.1067705918459203,
1.35,40,3.8546201632448263,-0.19262977266735426,False,0.1067705918459203,
1.35,41,0.4356206625659163,-0.12831662693613352,False,0.1067705918459203,
1.35,42,2.549547976712179,-0.4817328795522222,False,0.1067705918459203,
1.35,43,3.797646702040555,-0.3537360869817814,False,0.1067705918459203,
1.35,44,0.2714589375763283,-0.38945855111261374,False,0.1067705918459203,
1.35,45,4.827054957636896,-0.27590068967441184,False,0.1067705918459203,
1.35,46,0.605078069721114,-0.09406197035316341,False,0.1067705918459203,
