a,w2,best_loss,best_gap,best_solves,frac_restarts_gap_pos,gstar
1.4,5.0,0.27148272699947157,0.08803367939536955,False,0.4583333333333333,0.1286030010801844
1.4,5.25,0.26249999923670153,0.09524006869907264,False,0.4583333333333333,0.1286030010801844
1.4,5.5,0.25382455986546243,0.10169213878827099,True,0.4583333333333333,0.1286030010801844
1.45,1.0,0.4697284980136249,-0.6473491334041892,False,0.0,0.1512839606725933
1.45,1.25,0.4473346111549422,-0.4397367668477572,False,0.0,0.1512839606725933
1.45,1.5,0.4273335579205781,-0.29854132053617066,False,0.0,0.1512839606725933
1.45,1.75,0.4089992561894739,-0.19716874484687308,False,0.0,0.1512839606725933
1.45,2.0,0.39193535170539684,-0.12128154789083156,False,0.0,0.1512839606725933
1.45,2.25,0.3759014888443774,-0.07054358691633444,False,0.0,0.1512839606725933
1.45,2.5,0.3607400020728775,-0.03281502867709296,False,0.0,0.1512839606725933
1.45,2.75,0.34634096400405084,-0.0022406655945124143,False,0.0,0.1512839606725933
1.45,3.0,0.3326238760842426,0.022955550652444145,False,0.4583333333333333,0.1512839606725933
1.45,3.25,0.3195273414839116,0.0440125672775622,False,0.4583333333333333,0.1512839606725933
1.45,3.5,0.30700288555349586,0.061819759151107156,False,0.4583333333333333,0.1512839606725933
1.45,3.75,0.29501107638414287,0.07703141361806409,False,0.4583333333333333,0.1512839606725933
1.45,4.0,0.2835189914947747,0.09013919192812558,False,0.4583333333333333,0.1512839606725933
1.45,4.25,0.27249850869650283,0.10151945768398019,False,0.4583333333333333,0.1512839606725933
1.45,4.5,0.26192512123068995,0.11146503851523182,False,0.4583333333333333,0.1512839606725933
1.45,4.75,0.2517770974768066,0.120207079260644,True,0.4583333333333333,0.1512839606725933
1.5,1.0,0.45819660741819307,-0.5872810535313309,False,0.0,0.17447768424209897
1.5,1.25,0.43388312520581324,-0.37972513050791434,False,0.0,0.17447768424209897
1.5,1.5,0.41213553933421465,-0.23884049743053515,False,0.0,0.17447768424209897
1.5,1.75,0.39220909593100794,-0.13787880284128828,False,0.0,0.17447768424209897
1.5,2.0,0.37369495197849667,-0.07288660687361359,False,0.0,0.17447768424209897
1.5,2.25,0.35634344493047804,-0.0258280261228383,False,0.0,0.17447768424209897
1.5,2.5,0.3399893814540223,0.011433238996250594,False,0.4583333333333333,0.17447768424209897
1.5,2.75,0.32451634900643694,0.04153872115619439,False,0.4583333333333333,0.17447768424209897
1.5,3.0,0.30983799145342533,0.06626900836173766,False,0.4583333333333333,0.17447768424209897
1.5,3.25,0.2958874382541275,0.0868656753693684,False,0.4583333333333333,0.17447768424209897
1.5,3.5,0.2826109793337366,0.10421965521757315,False,0.4583333333333333,0.17447768424209897
1.5,3.75,0.2699640992386986,0.11898617554329194,False,0.4583333333333333,0.17447768424209897
1.5,4.0,0.2579088944503837,0.13165746295733172,False,0.4583333333333333,0.17447768424209897
1.5,4.25,0.24641233860985368,0.14261021813560193,True,0.4583333333333333,0.17447768424209897
1.6,1.0,0.43556864021292796,-0.4648363547034631,False,0.0,0.22290642494654067
1.6,1.25,0.407611113758593,-0.2574876109541431,False,0.0,0.22290642494654067
1.6,1.5,0.38260937301103753,-0.12187837653492117,False,0.0,0.22290642494654067
1.6,1.75,0.3597813205622468,-0.04138185274301076,False,0.0,0.22290642494654067
1.6,2.0,0.3386915382431863,0.018512829113888074,False,0.5,0.22290642494654067
1.6,2.25,0.3190690716102636,0.064481764243006,False,0.5,0.22290642494654067
1.6,2.5,0.30073021550645124,0.10063676022551826,False,0.5,0.22290642494654067
1.6,2.75,0.2835415646946781,0.129636802271202,False,0.5,0.22290642494654067
1.6,3.0,0.26740062691515587,0.15327258104091834,False,0.5,0.22290642494654067
1.6,3.25,0.252224906140258,0.17279176743871183,True,0.5,0.22290642494654067
