search,depth,seed,eval_errors,dense_errors,separated,lr,errors_after_swap,train_errors
restarts,8,140,91,,False,,,
restarts,8,141,9,,False,,,
restarts,8,142,50,,False,,,
restarts,8,143,71,,False,,,
restarts,8,144,76,,False,,,
restarts,8,145,24,,False,,,
restarts,8,146,88,,False,,,
restarts,8,147,26,,False,,,
restarts,8,148,43,,False,,,
restarts,8,149,49,,False,,,
restarts,8,150,32,,False,,,
restarts,8,151,101,,False,,,
restarts,8,152,40,,False,,,
restarts,8,153,59,,False,,,
restarts,8,154,48,,False,,,
restarts,8,155,11,,False,,,
restarts,8,156,94,,False,,,
restarts,8,157,72,,False,,,
restarts,8,158,54,,False,,,
restarts,8,159,52,,False,,,
restarts,8,160,15,,False,,,
restarts,8,161,70,,False,,,
restarts,8,162,77,,False,,,
restarts,8,163,85,,False,,,
restarts,8,164,73,,False,,,
restarts,8,165,63,,False,,,
restarts,8,166,68,,False,,,
restarts,8,167,11,,False,,,
restarts,8,168,45,,False,,,
restarts,8,169,72,,False,,,
restarts,8,170,72,,False,,,
restarts,8,171,75,,False,,,
restarts,8,172,10,,False,,,
restarts,8,173,25,,False,,,
restarts,8,174,22,,False,,,
restarts,8,175,71,,False,,,
restarts,8,176,64,,False,,,
restarts,8,177,60,,False,,,
restarts,8,178,63,,False,,,
restarts,8,179,93,,False,,,
restarts,8,180,80,,False,,,
restarts,8,181,7,,False,,,
restarts,8,182,10,,False,,,
restarts,8,183,35,,False,,,
restarts,8,184,84,,False,,,
restarts,8,185,96,,False,,,
restarts,8,186,80,,False,,,
restarts,8,187,20,,False,,,
restarts,8,188,53,,False,,,
restarts,8,189,57,,False,,,
restarts,8,190,59,,False,,,
restarts,8,191,74,,False,,,
restarts,8,192,5,,False,,,
restarts,8,193,38,,False,,,
restarts,8,194,46,,False,,,
restarts,8,195,54,,False,,,
restarts,8,196,61,,False,,,
restarts,8,197,8,,False,,,
restarts,8,198,71,,False,,,
restarts,8,199,7,,False,,,
finetune,3,4,91,,False,0.001,642.0,
finetune,3,4,91,,False,0.01,642.0,
finetune,3,9,91,,False,0.001,870.0,
finetune,3,9,87,,False,0.01,870.0,
finetune,3,11,68,,False,0.001,703.0,
finetune,3,11,58,,False,0.01,703.0,
finetune,3,13,88,,False,0.001,1021.0,
finetune,3,13,100,,False,0.01,1021.0,
finetune,5,0,61,,False,0.001,705.0,
finetune,5,0,56,,False,0.01,705.0,
finetune,5,4,93,,False,0.001,686.0,
finetune,5,4,94,,False,0.01,686.0,
finetune,5,7,63,,False,0.001,648.0,
finetune,5,7,24,,False,0.01,648.0,
finetune,5,9,89,,False,0.001,863.0,
finetune,5,9,106,,False,0.01,863.0,
finetune,5,10,84,,False,0.001,1000.0,
finetune,5,10,86,,False,0.01,1000.0,
finetune,5,14,98,,False,0.001,821.0,
finetune,5,14,99,,False,0.01,821.0,
finetune,5,15,55,,False,0.001,1085.0,
finetune,5,15,70,,False,0.01,1085.0,
finetune,5,16,60,,False,0.001,1000.0,
finetune,5,16,10,,False,0.01,1000.0,
anneal,3,4,6,,False,,,
anneal,3,9,24,,False,,,
anneal,3,11,14,,False,,,
anneal,3,13,89,,False,,,
anneal,5,0,54,,False,,,
anneal,5,4,16,,False,,,
anneal,5,7,10,,False,,,
anneal,5,9,11,,False,,,
anneal,5,10,74,,False,,,
anneal,5,14,10,,False,,,
anneal,5,15,33,,False,,,
anneal,5,16,49,,False,,,
cma,3,0,66,,False,,,47.0
cma,3,1,14,,False,,,5.0
cma,3,2,82,,False,,,56.0
cma,3,3,48,,False,,,22.0
cma,3,4,95,,False,,,52.0
cma,3,5,56,,False,,,52.0
cma,3,6,70,,False,,,47.0
cma,3,7,23,,False,,,0.0
cma,3,8,33,,False,,,22.0
cma,3,9,82,,False,,,61.0
cma,3,10,84,,False,,,69.0
cma,3,11,7,,False,,,0.0
cma,3,12,25,,False,,,15.0
cma,3,13,78,,False,,,43.0
cma,3,14,81,,False,,,46.0
cma,3,15,70,,False,,,62.0
