act,seed,R2,variant,step,H,ck_step,drift,placed,G_lo,sign_correct,share1,share2,alpha1,alpha2,beta1,beta2,cancel_index,knockout,pair,pair_strict,max_abs_alpha,grad_max,grad_rel,hess_min,hess_min_rel,endpoint_type
f1.30,630000,0.1,preserved,1000,16000,97,5.551115123125783e-17,True,0.1135149085001963,True,0.49528406903175787,0.5047159309682422,1.8815285034211657,-1.7192812867874887,-1.5460884418792809,-1.6177682563163283,0.035641821076895876,shared,True,False,1.8815285034211657,0.10437813221773412,0.6194178759100373,0.03727771462374005,0.22121954398312618,placed pair
f1.30,630000,0.1,preserved,4000,16000,97,5.551115123125783e-17,True,0.1089517399127346,True,0.4996271826714306,0.5003728173285694,1.8803854989149889,-1.7205671256553057,-1.5462584336946286,-1.6169537805609495,0.04363805768779579,shared,True,False,1.8803854989149889,0.10290577794656447,0.6106803890834618,0.03730755272222005,0.22139661413363543,placed pair
f1.30,630000,0.1,preserved,16000,16000,97,5.551115123125783e-17,True,0.10855854754449762,True,0.49999994809659526,0.5000000519034048,1.880291938346162,-1.7206751284516557,-1.5462738936125249,-1.6168855719662072,0.04432599184140698,shared,True,False,1.880291938346162,0.10277899003608182,0.609927983416359,0.0373052575063942,0.2213829934864616,placed pair
f1.30,630000,0.1,reset,1000,16000,97,5.551115123125783e-17,True,0.11355809466361319,True,0.4952536306687482,0.5047463693312517,1.88149299845884,-1.7192932788784363,-1.5460809967429106,-1.617766250384312,0.03556810971815804,shared,True,False,1.88149299845884,0.10439194356608572,0.619499837484532,0.03727726715958764,0.22121688856777288,placed pair
f1.30,630000,0.1,reset,4000,16000,97,5.551115123125783e-17,True,0.10895834243585623,True,0.49962101316660956,0.5003789868333904,1.8803866985318158,-1.720565523894575,-1.5462581307365397,-1.6169548415511588,0.04362652512486035,shared,True,False,1.8803866985318158,0.10290790557338564,0.6106930151964063,0.037307585142132824,0.22139680652521293,placed pair
f1.30,630000,0.1,reset,16000,16000,97,5.551115123125783e-17,True,0.10855854586222952,True,0.4999999495795815,0.5000000504204186,1.8802919380632976,-1.7206751282250001,-1.5462738936915543,-1.6168855715804293,0.04432599479221438,shared,True,False,1.8802919380632976,0.10277898949874203,0.6099279802275889,0.03730525749479505,0.221382993417628,placed pair
f1.30,630001,0.003,preserved,1000,16000,115,1.734723475976807e-18,False,,False,0.6909656213990545,0.3090343786009455,1.776707481585807,-1.0387050137080074,1.4436419789385724,0.028891068923145156,0.5854482724139161,unplaced,False,False,1.776707481585807,0.22499809954380884,44.5073573496851,-0.02037554074858914,-4.0305294806010314,"other: unplaced, two units"
f1.30,630001,0.003,preserved,4000,16000,115,1.734723475976807e-18,True,0.004255213543872006,True,0.48076364360758933,0.5192363563924107,1.782632455780904,-1.8222782946421854,1.5059065634798487,1.6329483980954684,0.04944952111332949,shared,True,False,1.8222782946421854,0.028773128152530747,5.691674282358215,0.0012209249130068467,0.24151377949638403,placed pair
f1.30,630001,0.003,preserved,16000,16000,115,1.734723475976807e-18,True,0.003928867034614473,True,0.49999988608914275,0.5000001139108572,1.7822914069733657,-1.8229282122519577,1.5077759850926271,1.637983208032622,0.011271886546064008,shared,True,False,1.8229282122519577,0.028996305703854364,5.735821513154065,0.0012691149510156935,0.251046354423476,placed pair
f1.30,630001,0.003,reset,1000,16000,115,1.734723475976807e-18,False,,False,0.49445188643151916,0.5055481135684808,1.778352267455238,-1.7783522674552381,1.5100554550961705,-1.5100554550961713,1.0,unplaced,False,False,1.7783522674552381,1.1579279202145187e-16,2.2905220903935112e-14,2.1033522146218786e-16,4.160686194160498e-14,"other: unplaced, two units"
