arm,seed,crossed,s_r,s_cross,cross_step,passage_step,available
T2-3b,600162,True,0.0031622776601683794,5.15325356884431,30148.0,,False
T2-3b,600162,True,0.004216965034285823,5.15325356884431,30148.0,,False
T2-3b,600162,True,0.005623413251903491,5.15325356884431,30148.0,,False
T2-3b,600162,True,0.007498942093324558,5.15325356884431,30148.0,,False
T2-3b,600162,True,0.01,5.15325356884431,30148.0,,False
T2-3b,600162,True,0.01333521432163324,5.15325356884431,30148.0,,False
T2-3b,600162,True,0.01778279410038923,5.15325356884431,30148.0,,False
T2-3b,600162,True,0.023713737056616554,5.15325356884431,30148.0,,False
T2-3b,600162,True,0.03162277660168379,5.15325356884431,30148.0,,False
T2-3b,600162,True,0.042169650342858224,5.15325356884431,30148.0,,False
T2-3b,600162,True,0.05623413251903491,5.15325356884431,30148.0,29.0,True
T2-3b,600162,True,0.07498942093324558,5.15325356884431,30148.0,102.0,True
T2-3b,600162,True,0.1,5.15325356884431,30148.0,200.0,True
T2-3b,600162,True,0.1333521432163324,5.15325356884431,30148.0,364.0,True
T2-3b,600162,True,0.1778279410038923,5.15325356884431,30148.0,614.0,True
T2-3b,600162,True,0.23713737056616552,5.15325356884431,30148.0,984.0,True
T2-3b,600162,True,0.31622776601683794,5.15325356884431,30148.0,1532.0,True
T2-3b,600162,True,0.4216965034285822,5.15325356884431,30148.0,2337.0,True
T2-3b,600162,True,0.5623413251903491,5.15325356884431,30148.0,3472.0,True
T2-3b,600162,True,0.7498942093324559,5.15325356884431,30148.0,4944.0,True
T2-3b,600162,True,1.0,5.15325356884431,30148.0,6722.0,True
T2-3b,600162,True,1.333521432163324,5.15325356884431,30148.0,8845.0,True
T2-3b,600162,True,1.7782794100389228,5.15325356884431,30148.0,11465.0,True
T2-3b,600162,True,2.371373705661655,5.15325356884431,30148.0,14822.0,True
T2-3b,600162,True,3.1622776601683795,5.15325356884431,30148.0,19213.0,True
T2-3b,600162,True,4.216965034285822,5.15325356884431,30148.0,25017.0,True
T2-3b,600163,True,0.0031622776601683794,0.12041821352294196,404.0,,False
T2-3b,600163,True,0.004216965034285823,0.12041821352294196,404.0,,False
T2-3b,600163,True,0.005623413251903491,0.12041821352294196,404.0,,False
T2-3b,600163,True,0.007498942093324558,0.12041821352294196,404.0,,False
T2-3b,600163,True,0.01,0.12041821352294196,404.0,,False
T2-3b,600163,True,0.01333521432163324,0.12041821352294196,404.0,,False
T2-3b,600163,True,0.01778279410038923,0.12041821352294196,404.0,,False
T2-3b,600163,True,0.023713737056616554,0.12041821352294196,404.0,,False
T2-3b,600163,True,0.03162277660168379,0.12041821352294196,404.0,,False
