arm,seed,t,frac_time,placed,min_share,cancel,grad_rel,lam_rel,stationary_two_unit
T2-3c,600387,168,0.6693227091633466,False,0.3032140263857971,0.8815151537913894,2.154589334723811,-0.03749080597970665,False
T2-3c,600387,173,0.6892430278884463,False,0.30518841913714223,0.8760209489306127,2.071659010112894,-0.03976038228343023,False
T2-3c,600387,178,0.7091633466135459,False,0.3075280068115945,0.8697172816133323,1.989050245034623,-0.04239097655242199,False
T2-3c,600387,183,0.7290836653386454,False,0.31026928360639006,0.8623676296402712,1.906326723878063,-0.045457109027462285,False
T2-3c,600387,189,0.7529880478087649,False,0.31413828066463095,0.8518310829676967,1.8061266914448348,-0.04985556927796102,False
T2-3c,600387,194,0.7729083665338645,False,0.3178860672955195,0.8413224661268341,1.7210799924362161,-0.05428923471401615,False
T2-3c,600387,199,0.7928286852589641,False,0.32214698856585466,0.828938549854854,1.6338172102221866,-0.05964064070891762,False
T2-3c,600387,204,0.8127490039840638,False,0.3269552498005001,0.8143411028632441,1.5434606563232485,-0.06620504112334323,False
T2-3c,600387,209,0.8326693227091634,False,0.3323429372322685,0.7971187154089373,1.4489888111135827,-0.07439980664001307,False
T2-3c,600387,214,0.852589641434263,False,0.33833773185975224,0.7767646941726717,1.3491783707315292,-0.0848098348152443,False
T2-3c,600387,219,0.8725099601593626,False,0.34496007097673076,0.7526585208422949,1.2424973473017602,-0.098237788981567,False
T2-3c,600387,224,0.8924302788844621,False,0.3522201027402291,0.7240581969601753,1.1269201176446624,-0.115740726419964,False
T2-3c,600387,229,0.9123505976095617,False,0.3601148578413244,0.6901176189958896,0.9996376959635076,-0.13860608129384977,False
T2-3c,600387,234,0.9322709163346613,False,0.3686259035754715,0.6499542755951638,0.8566728933920578,-0.16816651859100065,False
T2-3c,600387,239,0.952191235059761,False,0.377717139244823,0.6028042916678362,0.6925366961357889,-0.20526758825763042,False
T2-3c,600387,244,0.9721115537848606,False,0.3873313752351223,0.5482948926423419,0.5003572142893634,-0.24911435443302957,False
T2-3c,600387,250,0.9960159362549801,False,0.39943697927634564,0.47376296554670594,0.22333893107427477,-0.30407264245117754,False
T2-3c,600388,1,5.069451485349285e-05,False,0.4267981292911966,1.0,1.079300886828635,-4.8386373374370235,False
T2-3c,600388,403,0.02042988948595762,False,0.47555186601267013,1.0,0.0013891282755722862,-0.00010648333668299618,False
T2-3c,600388,806,0.04085977897191524,False,0.4836222029602695,1.0,0.0006029959444066864,-7.350840160980395e-06,False
T2-3c,600388,1208,0.061238973943019366,False,0.48710124780394876,1.0,0.00036104751818646956,-1.4034178217403988e-06,False
T2-3c,600388,1611,0.08166886342897699,False,0.4891222218488173,1.0,0.00024110888055078194,-3.804378165082836e-07,False
T2-3c,600388,2013,0.10204805840008112,False,0.49048422662270796,1.0,0.0001706252482045911,-1.2395618955623492e-07,False
T2-3c,600388,2416,0.12247794788603873,False,0.49149991591973835,1.0,0.00012523372912295397,-4.512572593247253e-08,False
T2-3c,600388,2818,0.14285714285714285,False,0.4923036524984737,1.0,9.448861891523183e-05,-1.780851046313341e-08,False
T2-3c,600388,3221,0.16328703234310046,False,0.49297196057243214,1.0,7.266320336020828e-05,-7.413024316363165e-09,False
T2-3c,600388,3623,0.1836662273142046,False,0.4935424872187634,1.0,5.6721742957401284e-05,-3.2166726143867535e-09,False
T2-3c,600388,4026,0.20409611680016224,False,0.4940429374236761,1.0,4.4698341068514304e-05,-1.431643037126081e-09,False
T2-3c,600388,4428,0.22447531177126634,False,0.49448656150342835,1.0,3.549854154797579e-05,-6.684707431819216e-10,False
T2-3c,600388,4831,0.24490520125722398,False,0.4948860213547208,1.0,2.8144025264525183e-05,-4.034624570963715e-10,False
T2-3c,600388,5233,0.2652843962283281,False,0.495246437246134,1.0,2.7377843144504365e-05,-3.415827592369183e-09,False
T2-3c,600388,5636,0.2857142857142857,False,0.49557463062838025,1.0,1.692119730172392e-05,-7.121774017471779e-10,False
T2-3c,600388,6038,0.30609348068538983,False,0.495872659762484,1.0,2.625156098835181e-05,-2.0298092752592334e-08,False
T2-3c,600388,6441,0.32652337017134747,False,0.49614487385283185,1.0,1.5065111536461184e-05,-1.4521523728725268e-09,False
T2-3c,600388,6844,0.34695325965730506,False,0.49639285637730773,1.0,8.814938114386748e-06,-2.227113903326244e-10,False
T2-3c,600388,7246,0.3673324546284092,False,0.4966181284272774,1.0,8.313882130854286e-06,-1.0455767779119153e-12,False
T2-3c,600388,7649,0.38776234411436683,False,0.496823680615498,1.0,7.0057622300014e-06,-7.017320277635518e-12,False
T2-3c,600388,8051,0.40814153908547096,False,0.49701024595560717,1.0,6.1430412725839675e-06,-5.753995268510264e-12,False
T2-3c,600388,8454,0.42857142857142855,False,0.4971804232634004,1.0,0.000204620904429452,-1.3428626067438347e-06,False
T2-3c,600388,8856,0.4489506235425327,False,0.497334947795283,1.0,1.4727084374492176e-05,-6.323491195238745e-09,False
T2-3c,600388,9259,0.4693805130284903,False,0.49747608257101583,1.0,4.187645127151974e-06,-2.9092907612856114e-10,False
T2-3c,600388,9661,0.48975970799959445,False,0.4976045091431176,1.0,7.37886833668846e-06,-4.1074555227268394e-10,False
T2-3c,600388,10064,0.510189597485552,False,0.49772214228466016,1.0,3.7993701254651362e-06,-2.337207223366526e-10,False
T2-3c,600388,10466,0.5305687924566562,False,0.4978295541714938,1.0,1.1431181438346062e-05,-2.6514308532764724e-09,False
T2-3c,600388,10869,0.5509986819426138,False,0.49792832438409157,1.0,3.5536934682163644e-05,-2.499350633080384e-08,False
T2-3c,600388,11271,0.5713778769137179,False,0.49801889214113954,1.0,3.969436069801278e-06,-6.679491992991625e-13,False
T2-3c,600388,11674,0.5918077663996756,False,0.4981025456898713,1.0,3.948999737424269e-06,-5.735551006381389e-13,False
T2-3c,600388,12076,0.6121869613707797,False,0.4981796059224226,1.0,3.956752668503886e-06,-5.106115279101783e-13,False
T2-3c,600388,12479,0.6326168508567374,False,0.4982511106938798,1.0,3.958151684894249e-06,-8.922225895061246e-14,False
T2-3c,600388,12881,0.6529960458278414,False,0.49831727979372986,1.0,6.0166260209447256e-06,-5.111071672839898e-10,False
T2-3c,600388,13284,0.673425935313799,False,0.4983789531546883,1.0,0.0004012036170571966,-2.20203501672352e-06,False
T2-3c,600388,13687,0.6938558247997567,False,0.4984364071934291,1.0,3.1065933607162334e-06,-1.7297524517097645e-13,False
T2-3c,600388,14089,0.7142350197708608,False,0.4984899165830379,1.0,3.0824361673066076e-06,-1.5077746896656117e-13,False
T2-3c,600388,14492,0.7346649092568184,False,0.498540099991672,1.0,3.0500485790817346e-06,-1.3138642291522575e-13,False
T2-3c,600388,14894,0.7550441042279226,False,0.4985870201606334,1.0,3.0070221953790056e-06,-1.0964533985327043e-13,False
T2-3c,600388,15297,0.7754739937138801,False,0.4986311881210002,1.0,2.986337094752074e-06,-9.525479022753679e-14,False
T2-3c,600388,15699,0.7958531886849843,False,0.49867263186715793,1.0,2.807481092363114e-06,-2.629331201481428e-12,False
T2-3c,600388,16102,0.8162830781709419,False,0.4987117782954935,1.0,4.922896256452175e-06,-2.2265777541327166e-10,False
T2-3c,600388,16504,0.836662273142046,False,0.4987486299507741,1.0,2.3727618365737014e-05,-4.9275476469223555e-09,False
T2-3c,600388,16907,0.8570921626280037,False,0.49878354724850593,1.0,7.628018862873082e-05,-4.849204386801274e-08,False
T2-3c,600388,17309,0.8774713575991078,False,0.4988165151870117,1.0,1.4835092839959126e-05,-1.7632463307246717e-09,False
T2-3c,600388,17712,0.8979012470850654,False,0.4988478408401584,1.0,2.215755755213781e-06,-2.785269963933537e-14,False
T2-3c,600388,18114,0.9182804420561695,False,0.49887749727115666,1.0,2.2534839246254684e-06,-2.6225912231938258e-14,False
T2-3c,600388,18517,0.9387103315421271,False,0.4989057506664819,1.0,2.2837485241735567e-06,-2.4978532434405093e-14,False
T2-3c,600388,18919,0.9590895265132313,False,0.4989325663120916,1.0,2.2850547293679765e-06,-8.890034107279265e-14,False
T2-3c,600388,19322,0.9795194159991889,False,0.4989581735805903,1.0,3.062172652438872e-06,-3.8923186476810025e-11,False
T2-3c,600388,19725,0.9999493054851465,False,0.49898259180860655,1.0,0.00021344348100169023,-2.830926694678392e-07,False
