seed,growth,relax,ratio,hess_min_eig
600026,0.016569796094416528,0.010188310202125695,1.6263537098585195,0.04961016052567783
600027,0.010517208721540145,0.0071306244113606585,1.4749351690412849,0.026444905786586644
600028,0.03678313831892693,0.011190802307647199,3.2869080614346387,0.02645175137899296
600029,0.053730653473326104,0.010058730854450075,5.341693127175698,0.06629127080100121
600030,0.013188190292294384,0.009496111663032748,1.388798990605225,0.031899886160741645
600031,0.04486952515730973,0.019434371568708263,2.3087716008041754,0.06374155992441304
600033,0.06826364145540656,0.024790909425781146,2.7535755257294525,0.062128220761250234
600034,0.1047467864880905,0.026078658102951183,4.016571177649546,0.08018290581887248
600035,0.033495109213252536,0.005869101665950402,5.707024877005358,0.041370621522257005
600036,0.037289666665565685,0.021313678759420442,1.749565013458036,0.0636732605998218
600037,0.06863226646242039,0.007558431125449226,9.080226481304521,0.04846715913734437
600038,0.04266010190081446,0.011772465322145547,3.6237186293142205,0.0713091567029722
600039,0.04399723074927219,0.00787883838542958,5.5842281053304434,0.059624715976825254
600040,0.017568389979855117,0.009330126493752613,1.8829744689548193,0.027772941488007477
600041,0.02803691850910192,0.007989518102036755,3.509212714838773,0.02991565290687079
600042,0.010097746850765319,0.008098918928875426,1.2468018187913186,0.02255166800471875
600043,0.012931670730320583,0.01212808056704255,1.066258643223541,0.05360459643935331
600044,0.012968844594910949,0.0039259755883654926,3.3033431571362084,0.01759559804123414
600045,0.012753681851520109,0.008748330583572604,1.457841782461748,0.04288736555023106
600046,0.02422960032353467,0.005443170745681196,4.451376129025402,0.02743356930576238
600047,0.014370945684364684,0.006048658403383548,2.3758897801743517,0.022588818673966577
600048,0.051418161987082316,0.011010254924753103,4.670024657783783,0.0687180187485624
600049,0.012012651722229277,0.010013286546311879,1.199671223495927,0.04619970954034192
600050,0.0812816144747545,0.022063186055177632,3.684037938649387,0.08038458733445457
600051,0.013476027089658666,0.016908306940447388,0.7970062962023621,0.0368752741633689
600052,0.2403484164643631,-0.11863424235947136,,-0.012833412535710147
600053,0.029589044450210805,0.013293873690169692,2.225765426979404,0.05691152638603502
600054,0.037268614594201145,0.013007862634214318,2.8650836530341475,0.058476751759687126
600055,0.03403798365861187,0.011726796981226454,2.902581473278988,0.06037094478462497
600056,0.01243144576820985,0.01120372593905641,1.1095813871056577,0.047883640047188245
600057,0.042373275173968994,0.019733640926311597,2.1472608796418875,0.0369484613797099
600058,0.00041493093251729,0.10115309599277286,0.00410200922121984,0.12218251977504303
600059,0.011677571151437988,0.010264218242829993,1.1376970827364554,0.04930806405414168
600060,0.029960185966611635,0.015796259790385573,1.8966632838519766,0.053833011292452285
600061,0.01293045356391799,0.010697896611708184,1.2086912066215345,0.03603897066134221
600062,0.040393050413906346,0.020415127433361612,1.9785842897996113,0.06866284659034104
600063,0.016904750976263812,0.01500743714853902,1.1264249057947577,0.038551718141538634
600064,0.05303719056970434,0.01246256253632923,4.25572111795606,0.06642299207683541
600065,0.04087312775746459,0.02027259274255054,2.0161766319941496,0.05870353683020907
600066,0.04070828422462412,0.01700560930990378,2.393815092583381,0.051933237907292526
600067,0.042356092531419275,0.011109301164244412,3.8126693934397524,0.06499962622524108
600068,0.8860833872278709,-0.7419685622561452,,-0.008857287856766052
600069,0.011373587219004548,0.008450273157885855,1.3459431436711173,0.03333404945346191
600070,0.01127036081639967,0.005125665557759444,2.1988092452380417,0.018646250720343968
600071,0.07766021309261237,0.029532053345162942,2.629692293486675,0.07881649530418619
600072,0.041247617262760376,0.029973189108423226,1.3761504360965298,0.06642086555491197
600073,0.00040890877435063817,0.12913419948135585,0.003166541288000749,0.11619009317878448
600074,0.01960549290576489,0.01743115952199132,1.1247383102099668,0.04816701337187404
600075,0.06797130952468226,0.011441791190038854,5.940617897646797,0.07800498655340174
600076,0.042340856334591934,0.011170444111987024,3.790436253931559,0.05237039274807807
600077,0.015143603065729814,0.009770993879386108,1.5498528862737613,0.06691869122940608
600078,0.08215261867430117,0.02655263896997735,3.0939530630906344,0.07534420972709158
600079,0.0584955639125625,0.00973537704516507,6.008556591201925,0.07359734104487042
