act,seed,R2,variant,s,sigma,own_loss_recomputed,own_loss_recorded,own_match,pop_loss_stuck,own_gap_to_placed_found,pop_global_loss,pop_global_placed,s_direct,same_s,pop_gap
f1.30,630031,0.01,preserved,0.01685100418911607,-1.0,0.6831235246086377,0.6831235246086377,True,0.6848211346298599,,0.6845827328907806,True,0.01685100418911607,True,0.00023840173907929696
f1.30,630031,0.01,reset,0.01685100418911607,-1.0,0.6831235246086377,0.6831235246086377,True,0.6848211346391606,,0.6845827328907806,True,0.01685100418911607,True,0.0002384017483799683
f1.30,630033,0.003,preserved,0.005055301256734821,-1.0,0.6900197909749209,0.6900197909749208,True,0.690601709286264,,0.6905695256247887,True,0.005055301256734821,True,3.21836614752824e-05
f1.30,630033,0.01,preserved,0.01685100418911607,-1.0,0.6828828653322199,0.6828828653322199,True,0.6848018623905173,,0.6845827328907806,True,0.01685100418911607,True,0.00021912949973668105
f1.30,630033,0.01,reset,0.01685100418911607,-1.0,0.6828828653322199,0.6828828653322199,True,0.684801862389407,,0.6845827328907806,True,0.01685100418911607,True,0.000219129498626347
f1.30,630033,0.03,preserved,0.050553012567348204,-1.0,0.6637054599934619,0.6637054599934618,True,0.6692831983149026,-0.008362696855232943,,,,,
f1.30,630033,0.1,preserved,0.1685100418911607,-1.0,0.6096529847724939,0.6096529847724939,True,0.6260867390669219,-0.015197829260490736,,,,,
f1.30,630034,0.003,preserved,0.005055301256734821,-1.0,0.6904248080870196,0.6904248080870196,True,0.6905904714363765,,0.6905695256247887,True,0.005055301256734821,True,2.094581158784692e-05
f1.30,630034,0.003,reset,0.005055301256734821,-1.0,0.6904248080870197,0.6904248080870197,True,0.6905904714363659,,0.6905695256247887,True,0.005055301256734821,True,2.0945811577188778e-05
f1.30,630034,0.01,reset,0.01685100418911607,-1.0,0.6842185341164162,0.6842185341164163,True,0.6847638112404235,,0.6845827328907806,True,0.01685100418911607,True,0.0001810783496428714
f1.30,630035,0.003,reset,0.005055301256734821,-1.0,0.6904159401067318,0.6904159401067319,True,0.6905884150495659,,0.6905695256247887,True,0.005055301256734821,True,1.888942477723532e-05
f1.30,630035,0.01,reset,0.01685100418911607,-1.0,0.684189122763149,0.684189122763149,True,0.6847571259750801,,0.6845827328907806,True,0.01685100418911607,True,0.00017439308429945122
f1.30,630035,0.03,preserved,0.050553012567348204,-1.0,0.6675007757886711,0.667500775788671,True,0.6691448887583692,,,,,,
f1.30,630035,0.03,reset,0.050553012567348204,-1.0,0.6675007757886711,0.6675007757886711,True,0.6691448887585494,,,,,,
f1.30,630036,0.003,preserved,0.005055301256734821,1.0,0.6903197028073208,0.6903197028073208,True,0.6905860666472649,,0.6905695256247887,True,0.005055301256734821,True,1.654102247616862e-05
f1.30,630036,0.01,reset,0.01685100418911607,1.0,0.6838720648189991,0.6838720648189991,True,0.6847494991365513,-0.0015182043863724015,0.6845827328907806,True,0.01685100418911607,True,0.00016676624577061094
f1.30,630036,0.03,preserved,0.050553012567348204,1.0,0.6665822155117622,0.6665822155117624,True,0.6691238115461187,,,,,,
f1.30,630038,0.01,preserved,0.01685100418911607,1.0,0.6845481775445177,0.6845481775445179,True,0.6847430840415666,,0.6845827328907806,True,0.01685100418911607,True,0.0001603511507859423
f1.30,630038,0.03,reset,0.050553012567348204,1.0,0.6685429176817049,0.6685429176817052,True,0.6691030912430894,0.0009615472620014831,,,,,
f1.30,630040,0.01,reset,0.01685100418911607,1.0,0.6839380341031014,0.6839380341031014,True,0.6847515149305348,-0.000980252366680645,0.6845827328907806,True,0.01685100418911607,True,0.00016878203975412287
f1.30,630040,0.03,preserved,0.050553012567348204,1.0,0.6667548164304702,0.6667548164304702,True,0.6691296967160251,,,,,,
f1.30,630040,0.03,reset,0.050553012567348204,1.0,0.6667548164304701,0.6667548164304702,True,0.6691296966888545,,,,,,
