act,seed,R2,variant,s,reproduced,loss_endpoint,loss_polished,polish_move,polish_grad,G_lo,G_hi,duplicate,orientation,lam_min,lam_max,lam_min_rel,lam_second_rel,n_zero,lam_min_complement_rel,class,loss_placed_best,gap_to_placed,loss_any_best,lowest_found_is_placed,gap_to_lowest,placed_min_found,stuck_is_lowest_found,n_starts,evals
f1.30,630010,0.01,reset,0.01685100418911607,True,0.6836080664063435,0.6836080664063435,1.2924383785417604e-13,1.2924080208809308e-12,-3.9081853523591175,-3.9081853523591175,True,1.0,-1.538818072543962e-16,0.249932483082062,-6.156935079297843e-16,0.016995838626308036,1,0.016995838626308067,duplicate-unit minimum (Morse-Bott),inf,,0.6836080664063434,False,1.1102230246251565e-16,False,True,46,"[-1.538818072543962e-16, 0.004247812149935189, 0.004264243198001235, 0.006657933871232942, 0.0067187023368281504, 0.249932483082062]"
f1.30,630010,0.03,preserved,0.050553012567348204,True,0.6658130284652745,0.6658130284652745,3.469446951953614e-18,9.209852065011903e-12,-3.764064737784817,-3.764064737784817,True,1.0,-3.374378324180746e-17,0.24944727218917237,-1.3527421224401008e-16,0.05044878305287874,1,0.05044878305287881,duplicate-unit minimum (Morse-Bott),0.6703936779072965,-0.004580649442022078,0.6658130284652747,False,-2.220446049250313e-16,True,True,45,"[-3.374378324180746e-17, 0.012584311317803949, 0.012730567090819808, 0.019399170626636073, 0.01993469458179903, 0.24944727218917237]"
f1.30,630010,0.03,reset,0.050553012567348204,True,0.6658130284652747,0.6658130284652747,3.2384146336772446e-08,3.238417390152848e-11,-3.7640647285911273,-3.7640647285911273,True,1.0,-2.174799556943129e-16,0.249447272191904,-8.718473999868073e-16,0.050448783053047785,1,0.0504487830530473,duplicate-unit minimum (Morse-Bott),0.6703936779072965,-0.004580649442021856,0.6658130284652747,False,0.0,True,True,45,"[-2.174799556943129e-16, 0.012584311317983925, 0.012730567090928123, 0.01939917062517242, 0.019934694582261228, 0.249447272191904]"
f1.30,630012,0.003,preserved,0.005055301256734821,True,0.6905245838215132,0.6905245838215132,4.336808689942018e-19,1.9631431896760532e-14,-3.708181792548572,-3.708181792548572,True,-1.0,1.6225491471858186e-17,0.24999440902997896,6.490341737967607e-17,0.005142409300746147,1,0.005142409300746132,duplicate-unit minimum (Morse-Bott),inf,,0.6905245838215128,False,3.3306690738754696e-16,False,True,46,"[1.6225491471858186e-17, 0.0012855735741303005, 0.0012872888747536017, 0.0020038365311320786, 0.002009275347026545, 0.24999440902997896]"
f1.30,630012,0.01,preserved,0.01685100418911607,True,0.6845467842476709,0.6845467842476709,1.734723475976807e-18,3.3439770050214257e-12,-3.6588747351869144,-3.6588747351869144,True,-1.0,-2.4971050897945595e-16,0.24993979908527436,-9.99082618667945e-16,0.01703526337170543,1,0.017035263371705325,duplicate-unit minimum (Morse-Bott),inf,,0.6845253336929301,False,2.1450554740787275e-05,False,False,46,"[-2.4971050897945595e-16, 0.004257790304488788, 0.00427713403236324, 0.006626331607112723, 0.006686142227229419, 0.24993979908527436]"
f1.30,630012,0.01,reset,0.01685100418911607,True,0.6845467842476708,0.6845467842476711,3.424205363700139e-12,3.4242053463529043e-10,-3.658874727539382,-3.658874727539382,True,-1.0,-3.43099006253312e-16,0.24993979908549868,-1.3727265825957781e-15,0.017035263372900525,1,0.01703526337289967,duplicate-unit minimum (Morse-Bott),inf,,0.6845253336929301,False,2.145055474100932e-05,False,False,46,"[-3.43099006253312e-16, 0.004257790304791312, 0.004277134032667008, 0.006626331610449404, 0.0066861422306691235, 0.24993979908549868]"
f1.30,630012,0.03,preserved,0.050553012567348204,True,0.6685356382187047,0.6685356382187047,6.938893903907228e-18,2.5776298109847495e-10,-3.516220413481863,-3.516220413481863,True,-1.0,1.1341851917232027e-17,0.2495116370274808,4.545620417689317e-17,0.0499857683572932,1,0.04998576835729322,duplicate-unit minimum (Morse-Bott),0.6676507702705582,0.0008848679481464616,0.6676507702705582,True,0.0008848679481464616,True,False,38,"[1.1341851917232027e-17, 0.012472030890904677, 0.012657097660108202, 0.01945591146441714, 0.019974405660421784, 0.2495116370274808]"
f1.30,630012,0.03,reset,0.050553012567348204,True,0.6685356382187047,0.6685356382187047,0.0,6.829644185260553e-11,-3.5162204074222236,-3.5162204074222236,True,-1.0,1.1352310933663074e-16,0.24951163702909201,4.549812212702305e-16,0.049985768358074896,1,0.04998576835807509,duplicate-unit minimum (Morse-Bott),0.6676507702705582,0.0008848679481464616,0.6676507702705582,True,0.0008848679481464616,True,False,38,"[1.1352310933663074e-16, 0.012472030891180257, 0.012657097660490549, 0.019455911471995588, 0.01997440566826856, 0.24951163702909201]"
f1.30,630016,0.003,preserved,0.005055301256734821,True,0.6904168455808258,0.6904168455808258,3.3854334266503194e-12,3.385455978055507e-13,-3.6943493236124754,-3.6943493236124754,True,-1.0,-8.596202069943862e-18,0.24999442935475072,-3.438557447912391e-17,0.0051925668589896225,1,0.005192566858989731,duplicate-unit minimum (Morse-Bott),inf,,0.6904168455808258,False,0.0,False,True,46,"[-8.596202069943862e-18, 0.0012981127887995011, 0.001299778917546363, 0.002097005892730829, 0.0021025226674493847, 0.24999442935475072]"
f1.30,630016,0.003,reset,0.005055301256734821,True,0.6904168455808256,0.6904168455808258,4.169856715127707e-09,4.169862372060962e-12,-3.694349331063688,-3.694349331063688,True,-1.0,-1.410251996189313e-15,0.24999442935472935,-5.641133683775959e-15,0.005192566858833598,1,0.005192566858830955,duplicate-unit minimum (Morse-Bott),inf,,0.6904168455808258,False,0.0,False,True,46,"[-1.410251996189313e-15, 0.0012981127887603848, 0.001299778917503539, 0.002097005892933199, 0.002102522667635299, 0.24999442935472935]"
