act,seed,R2,loss_placed_best,recorded,grad_at_best_placed,loss_after_polish,grad_after_polish,still_placed,G_lo_after,loss_stuck_min
f1.30,630060,0.01,0.6858515214799309,0.6858515214799309,3.1835697449013496e-11,0.6858515214799309,3.1832870005601716e-11,True,0.4729370432968967,0.6834572444737606
f1.30,630060,0.03,0.6714360551911418,0.6714360551911418,6.207122820291525e-11,0.6714360551911418,6.207122820291525e-11,True,0.5030311984300049,0.665372574108032
f1.30,630063,0.01,0.6855542526631302,0.6855542526631302,8.33100370644952e-11,0.6855542526631302,8.33100370644952e-11,True,0.15212550776420208,0.6835487384322043
f1.30,630063,0.03,0.6705595131905108,0.6705595131905108,1.5584517023235767e-09,0.6705595131905108,1.5584517023235767e-09,True,0.36711050295285297,0.6656446847588398
f1.30,630067,0.03,0.6690078931004598,0.6690078931004598,1.0160579823792655e-10,0.6690078931004598,1.0160579823792655e-10,True,0.640605669440319,0.6666378669236036
f1.30,630070,0.03,0.6716503560844782,0.6716503560844782,9.553073035319798e-11,0.6716503560844782,9.553073035319798e-11,True,0.09871954694560015,0.6658984305406913
f1.50,630002,0.003,0.6905276861793417,0.6905276861793417,1.181693631835401e-14,0.6905276861793417,1.181693631835401e-14,True,0.6567381376976218,0.6905364746532783
f1.50,630002,0.03,0.6672846929493792,0.6672846929493792,8.996692280049956e-13,0.6672846929493792,8.996692280049956e-13,True,1.0113939112097672,0.6683429115505678
f1.50,630007,0.03,0.671237701954159,0.671237701954159,1.1213130548186996e-10,0.671237701954159,1.1213130548186996e-10,True,0.4499677553544221,0.664249120406106
f1.50,630007,0.1,0.6222514890381761,0.6222514890381761,7.644219285340981e-10,0.6222514890381761,7.644219285340981e-10,True,0.8872199854124712,0.6086597350441876
f1.50,630012,0.03,0.6676507058560474,0.6676507058560474,4.164153744046217e-11,0.6676507058560474,4.164153744046217e-11,True,0.21454489010008204,0.6682664374759826
f1.50,630033,0.01,0.6860862036008228,0.6860862036008228,3.774534677869479e-11,0.6860862036008228,3.774534677869479e-11,True,0.8104451506847048,0.6830868360771873
f1.50,630038,0.03,0.6675813057876383,0.6675813057876383,4.718968271699708e-12,0.6675813057876383,4.718968271699708e-12,True,0.3192795877335639,0.6682611290246271
f1.50,630041,0.1,0.6242805756141907,0.6242805756141907,4.8240728686005374e-11,0.6242805756141907,4.8240728686005374e-11,True,0.14627416151775763,0.6051553124047957
f1.50,630046,0.03,0.6676847982070043,0.6676847982070043,4.6065623537927536e-11,0.6676847982070043,4.6065623537927536e-11,True,0.156639098522398,0.6692929560727083
f1.50,630047,0.01,0.6859791540322427,0.6859791540322427,1.7967589222012137e-12,0.6859791540322427,1.7967589222012137e-12,True,0.7000584521678439,0.6829240528496677
f1.50,630051,0.03,0.6701291665968802,0.6701291665968802,1.6803036622693723e-09,0.6701291665968802,1.6803036622693723e-09,True,0.3682619711599804,0.6662982232361108
f1.50,630053,0.003,0.6907677312578676,0.6907677312578676,1.6521152325431158e-13,0.6907677312578676,1.6521152325431158e-13,True,0.7666863993978215,0.6907812668982548
f1.50,630056,0.03,0.6682630985019216,0.6682630985019216,8.632230694138876e-11,0.6682630985019216,8.632230694138876e-11,True,0.4444916901632441,0.6696855818741551
f1.50,630060,0.03,0.6713783418287903,0.6713783418287903,1.5304758260964273e-11,0.6713783418287903,1.5304758260964273e-11,True,0.19189071743244757,0.6655185178850199
