set,s,loss,gplus,all_correct,V1,V2,rho2,S1,S2,feature,ladder_ok,audit_ok,cma_ok,cma_loss,hits_within_tol,n_excluded,n_stalled_tail,grid
B,0.6,0.48862111621397647,-6.576739927462616e-14,False,0.9599790187092043,5.038241759176132e-05,5.248007772743936e-05,1.1050486394451629e-10,2.477133716075361e-11,linear,False,True,,,1,67,1,True
B,0.72,0.4559046772441016,-2.433694024044267e-07,False,0.9570006497977099,0.00499892456716162,0.005196389583084789,1.3201932905543099e-05,7.042763441643474e-09,linear,True,True,,,2,50,0,True
B,0.864,0.41998425820359087,-6.01125926813495e-10,False,0.9580839931633789,0.00319334474645688,0.0033219806818710253,3.172174747265527e-08,1.2711620641515021e-11,linear,False,True,,,3,45,2,True
B,1.0368,0.3812207743416458,-0.07133225185120295,False,0.9531450508782695,0.018002565496671695,0.01853741407909841,0.00010465528991876996,1.4777112941292143e-05,linear,True,True,,,1,42,4,True
B,1.24416,0.3405399030229589,-0.32363572282674147,False,0.9263776352827172,0.07509230455655486,0.07498208540199076,0.005188062122642495,0.0010227688719296971,linear,True,True,,,1,37,0,True
B,1.492992,0.29869829469140186,-0.21514734503051644,False,0.9413423823603766,0.05343367061688871,0.05371427112360322,0.0009314977224879062,0.0002105829581386303,linear,False,True,,,1,21,2,True
B,1.79159,0.25630049614015393,-0.33737537374667054,False,0.8928453729321923,0.10590861743561515,0.10604074522557108,3.640259632727666e-06,1.0662470698748478e-06,linear,True,True,,,1,19,3,True
B,2.149908,0.21564361630926854,-0.3366340996906356,False,0.8999108383588306,0.09711892744978354,0.09740825277269215,0.00025347983769795167,7.257945970574095e-05,linear,False,True,,,2,20,0,True
B,2.57989,0.17898109881669563,-0.34706051057364234,False,0.8862922492004184,0.11027935812682003,0.11065873973931935,0.0,0.0,linear,True,True,,,1,25,0,True
B,3.095868,0.1430937716056211,-0.3526563023735861,False,0.809667869729351,0.16661864926026104,0.1706657277544912,0.2847367876133254,0.08110663664329203,linear,False,True,,,1,18,1,True
B,3.715042,0.11025459521977378,-0.38764759453532616,False,0.7778225808728116,0.1880395161497711,0.1946856768988364,0.0026196857848416626,0.0011467103444730378,linear,True,True,,,1,11,4,True
B,4.069624,0.09479174818937378,-0.06621167162487179,False,0.778014076482409,0.17621272623620257,0.1846654545168601,0.005608410158202868,0.0029423638854272783,linear,False,True,,,1,10,2,False
B,4.259412,0.08706138849419866,0.0,False,0.6265473662621366,0.21150361681186725,0.2523755965729718,1.0282497401772607e-06,6.507798306185172e-07,linear,False,True,,,1,7,0,False
B,4.357599,0.08312147770378223,-0.15145924860611806,False,0.6776811966126476,0.22596452495680033,0.2500587559517752,0.20353561886496663,0.0624965640167928,linear,True,True,,,1,15,1,False
B,4.382497,0.08260803675618353,-0.1605926257515705,False,0.6784823167473243,0.2221933695109274,0.24669631133710618,0.012100019868845142,0.0035065513235501373,linear,True,True,True,0.08267953097328029,1,5,0,False
B,4.395,0.08205051411792022,0.3282719831768893,True,0.5033163926417984,0.21233697227690632,0.29670365946092764,0.0007176040806553422,4.748932820313068e-05,linear,False,True,False,0.08192803226717463,1,9,1,False
B,4.407538,0.08084248047723029,0.3248417341596139,True,0.5770172494787246,0.21480901382803544,0.2712830121736145,0.004562169443105346,0.0033818734094726815,linear,False,True,,,1,9,0,False
B,4.45805,0.07876570549210644,0.1619350218372712,True,0.6756500561125085,0.23105067607420884,0.25482573011381277,0.1968430404347523,0.0524565374378202,linear,False,True,,,1,11,2,True
B,5.34966,0.05206215645030841,0.19839269263303133,True,0.5730319445029669,0.2509664991307799,0.30457156936370405,0.18764911179602609,0.06359487864465022,linear,True,True,,,1,12,3,True
B,6.419592,0.03149118830341343,0.3818986560093318,True,0.4694368624633417,0.2498773146744085,0.34738271900701945,0.006161761242995525,0.0004014377823422881,linear,False,True,,,1,7,1,True
B,7.703511,0.016676991779737756,0.4075675358322227,True,0.5324900479115336,0.2700991359764187,0.33653473208795026,0.03450857624586448,0.025846686254738908,linear,False,True,,,1,15,1,True
B,9.244213,0.007817672442538278,0.4243568824264343,True,0.14465183438686469,0.4253083600527877,0.7462071285011809,0.00014847325942525126,2.594994030251884e-06,slab,True,True,,,1,10,1,True
B,11.093056,0.0031395715350761096,0.3737458242417383,True,0.3704192288714515,0.29101085060765464,0.4399722051298808,0.06823406979068398,0.016003851077414193,linear,False,True,,,1,6,0,True
B,13.311667,0.001052032043238428,0.44260835967982126,True,0.2817902118490652,0.305617274553517,0.5202815449717658,3.262523455642332e-08,5.104008526570968e-09,slab,True,True,,,1,4,1,True
B,15.974,0.00027596925629963135,0.4082631653973012,True,0.40391205196304275,0.3029080147374411,0.4285503892828766,0.07462709490605585,0.022978385022044148,linear,False,True,,,1,6,1,True
B,19.1688,5.5920558802221265e-05,0.4573596171664981,True,0.07547249773257773,0.4607544124146879,0.8592526851890918,0.03152839011406934,0.0023811309762741166,slab,False,True,,,1,2,1,True
B,23.00256,8.725508149869815e-06,0.4579893956860984,True,0.3203714292576684,0.2780031875059197,0.4645972267499374,0.07141718521759302,0.008341496938270488,linear,True,True,,,3,2,0,True
B,27.603072,8.952486227427173e-07,0.4515756109552562,True,0.25820318460197167,0.29294339640099115,0.5315163089062444,0.12142015767855295,0.06868536509706477,slab,True,True,,,60,7,1,True
B,33.123686,6.271194303265706e-08,0.45509906637012537,True,0.1340535296382432,0.37558676722304873,0.7369644228216742,0.02965776403332381,0.039306362310743824,slab,True,True,,,641,5,1,True
