seed,steps,s_init_raw,s_init,s_end,rho2_init,rho2_min,rho2_end,crossing_step,s_cross,chi,first_step_rho2_ge_q_literal,s_at_literal_first
2720018,679,0.6419524550437927,0.6419524550437927,10.778736289263978,0.66991987316793,0.15359498360750135,0.42666024096340543,533.0,9.838883897431828,6.786820667378777,0.0,0.6419524550437927
2720019,473,1.1163994073867798,1.1163994073867798,10.774841560077547,0.8656498089786849,0.07567915477640412,0.3463167350523219,,,,0.0,1.1163994073867798
2720020,561,1.2249205708503723,1.2249205708503723,10.776106570740543,0.8323037555884942,0.005194855273028476,0.39662015434726144,547.0,10.652325232155775,7.723624108512377,0.0,1.2249205708503723
2720021,572,1.0119644403457642,1.0119644403457642,10.778103833103215,0.6349665693120685,0.004162989879113902,0.4115264510716042,515.0,10.329746085128246,7.129692083224848,0.0,1.0119644403457642
2720022,596,0.9663922190666199,0.9663922190666199,10.779805688837019,0.4375689770537333,0.0017906443011010504,0.4119449146923996,532.0,10.307281496512918,5.682415680300063,0.0,0.9663922190666199
2720023,516,0.65986567735672,0.65986567735672,10.775386834127376,0.6702579424322056,0.11507621120365528,0.40409558046637506,480.0,10.488945194610515,9.773346266588081,0.0,0.65986567735672
2720024,609,1.2080820202827454,1.2080820202827454,10.775191057699999,0.5460500415385722,0.080505796413923,0.3724385919921513,,,,0.0,1.2080820202827454
2720025,471,0.8678770065307617,0.8678770065307617,10.774344531268847,0.470894925866569,0.10984111658121795,0.4085640136681619,422.0,10.31934923883609,17.841636086123454,0.0,0.8678770065307617
2720026,1044,0.8979038000106812,0.8979038000106812,10.783480531290644,0.3424260071502323,9.081778156074158e-08,0.4073810497726322,7.0,0.7605024284916544,-279.0396098751342,7.0,0.7605024284916544
2720027,564,0.8524206876754761,0.8524206876754761,10.781198995273034,0.8169289325820395,0.008388234933066818,0.43596315260365864,485.0,10.131305484676131,10.187442499697461,0.0,0.8524206876754761
2720028,951,1.0384319424629211,1.0384319424629211,10.7755954942072,0.7566087763535118,7.955916747920885e-07,0.3004652693125194,,,,0.0,1.0384319424629211
2720029,557,0.8777855038642883,0.8777855038642883,10.776033186298873,0.7259078453931582,0.013160050230324226,0.3957058025788814,543.0,10.669480945380032,6.304287033936192,0.0,0.8777855038642883
2720030,608,0.5008403658866882,0.5008403658866882,10.779941560500607,0.5059414074767519,0.14085303000615304,0.4053097167501681,556.0,10.398427487283973,8.858759881613679,0.0,0.5008403658866882
2720031,728,1.0324921607971191,1.0324921607971191,10.779614312508903,0.09148144799880079,0.002988792124929166,0.3865698641399744,10.0,0.8368170442205096,-247.88652057863544,10.0,0.8368170442205096
2720032,578,0.7169455289840698,0.7169455289840698,10.77887427722725,0.28651109986669127,0.10896432333220316,0.4046914481759119,30.0,0.19998017210134703,-229.61034217287252,30.0,0.19998017210134703
2720033,849,0.6695666909217834,0.6695666909217834,10.782568508396913,0.6426798316114797,4.837274025020372e-09,0.2746008927209347,,,,0.0,0.6695666909217834
2720034,620,0.7802760004997253,0.7802760004997253,10.781648939578073,0.8187888637580683,0.0034603856433417335,0.31064190346915027,,,,0.0,0.7802760004997253
2720035,412,1.1586968898773193,1.1586968898773193,10.782011195500278,0.8038494383679939,0.0309085040023276,0.327771895898446,,,,0.0,1.1586968898773193
2720036,485,0.7675477862358093,0.7675477862358093,10.774486898896704,0.4782294210749013,0.14312599828431086,0.3964982328564227,470.0,10.64273530191512,14.115907677674102,0.0,0.7675477862358093
2720037,468,1.544974446296692,1.544974446296692,10.784213230503177,0.5753611677859748,0.016203828302275878,0.3590823125383425,,,,0.0,1.544974446296692
2720038,670,0.7162750959396362,0.7162750959396362,10.779373558471875,0.7144284943899535,0.026244231312961587,0.5149352936061238,438.0,9.203056134678242,11.2671352450595,0.0,0.7162750959396362
2720039,519,0.5605484247207642,0.5605484247207642,10.780689375778202,0.9564012185996836,0.010208521686675272,0.384265168552641,,,,0.0,0.5605484247207642
