setting,label,chi,obs,pred,branch_conditioned_post_hoc,reference,ratio,resolved
"width 1, free training",lag2-tstar a=1.30 0.25,0.0013153399020485001,0.009925020887626649,0.01001045126422035,True,tracked-branch switch (post hoc),0.9914658815732864,True
"width 1, free training (registered reference)",lag2-tstar a=1.30 0.25,0.0013153399020485001,0.00710721573011745,0.01001045126422035,False,global own threshold (committed comparison),0.7099795546201069,True
"width 1, free training",lag2-tstar a=1.30 0.5,0.003523411910657,0.02708207723295725,0.02681507887084915,True,tracked-branch switch (post hoc),1.009957023188112,True
"width 1, free training (registered reference)",lag2-tstar a=1.30 0.5,0.003523411910657,0.02713521241731805,0.02681507887084915,False,global own threshold (committed comparison),1.011938564417833,True
"width 1, free training",lag2-tstar a=1.30 1.0,0.003991336243666,0.0311812855662603,0.03037623726316615,True,tracked-branch switch (post hoc),1.0265025683108666,True
"width 1, free training (registered reference)",lag2-tstar a=1.30 1.0,0.003991336243666,0.0310530517860165,0.03037623726316615,False,global own threshold (committed comparison),1.0222810520271728,True
"width 1, free training",lag2-tstar a=1.30 2.0,0.004072015681388,0.03156088995706095,0.0309902516164774,True,tracked-branch switch (post hoc),1.018413478781829,True
"width 1, free training (registered reference)",lag2-tstar a=1.30 2.0,0.004072015681388,0.03150113938354345,0.0309902516164774,False,global own threshold (committed comparison),1.0164854346259782,True
"width 1, free training",lag2-tstar a=1.50 0.25,0.005376295581843099,0.02134465832160495,0.021752759901044298,True,tracked-branch switch (post hoc),0.9812390896007749,True
"width 1, free training (registered reference)",lag2-tstar a=1.50 0.25,0.005376295581843099,0.01638282996688285,0.021752759901044298,False,global own threshold (committed comparison),0.7531379945078301,True
"width 1, free training",lag2-tstar a=1.50 0.5,0.0145633824640549,0.05500042495473125,0.05892417134905045,True,tracked-branch switch (post hoc),0.9334102405772324,True
"width 1, free training (registered reference)",lag2-tstar a=1.50 0.5,0.0145633824640549,0.0557188489105302,0.05892417134905045,False,global own threshold (committed comparison),0.9456025877812891,True
"width 1, free training",lag2-tstar a=1.50 1.0,0.0156705637722791,0.06609514144774135,0.0634038821086416,True,tracked-branch switch (post hoc),1.0424462864038564,True
