model,set,a,arm,n,frac_within_10,frac_within_20,arm_median_ratio
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",TaskB,1.45,adam,80,1.0,1.0,1.032016605055566
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",TaskB,1.6,adam,80,1.0,1.0,1.0458063783822968
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag1,1.3,0.25,48,0.9791666666666666,1.0,1.0245141176979573
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag1,1.3,0.5,47,1.0,1.0,1.0215424844570398
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag1,1.3,1.0,47,1.0,1.0,1.0151861884203488
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag1,1.3,2.0,43,1.0,1.0,1.0263842665067753
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag1,1.5,0.25,49,1.0,1.0,1.0
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag1,1.5,0.5,48,1.0,1.0,1.0311881741784437
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag1,1.5,1.0,48,1.0,1.0,1.0361521944249086
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag1,1.5,2.0,44,1.0,1.0,1.041927243507261
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag2-prim,1.3,0.25,46,1.0,1.0,1.0077707144937385
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag2-prim,1.3,0.5,47,1.0,1.0,1.018200499241174
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag2-prim,1.3,1.0,47,1.0,1.0,1.0151861884203488
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag2-prim,1.3,2.0,47,1.0,1.0,1.0163895641157645
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag2-prim,1.5,0.25,48,1.0,1.0,1.0242996294358884
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag2-prim,1.5,0.5,48,1.0,1.0,1.0376997540310393
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag2-prim,1.5,1.0,48,1.0,1.0,1.0361521944249086
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag2-prim,1.5,2.0,48,1.0,1.0,1.040806947843062
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag2-tstar,1.3,0.25,45,0.9777777777777777,1.0,1.0
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag2-tstar,1.3,0.5,47,1.0,1.0,1.023619108101964
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag2-tstar,1.3,1.0,47,1.0,1.0,1.0151861884203488
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag2-tstar,1.3,2.0,47,1.0,1.0,1.0190193643119454
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag2-tstar,1.5,0.25,48,1.0,1.0,1.0062975735692021
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag2-tstar,1.5,0.5,48,1.0,1.0,1.0349745887847521
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag2-tstar,1.5,1.0,48,1.0,1.0,1.0361521944249086
"trajectory-integrated (full model, 0.7 s*), tracked-branch lag",lag2-tstar,1.5,2.0,48,1.0,1.0,1.0438844335756163
