a,s,d,start,L_final_minus_L1star,wnoise_norm_final,grad_max,G_rd_final,w1,b1,G1_branch,L1star,branch_grad,noise_block_rel_err,noise_block_min_eig,cross_max_abs
1.3,4.9625,4,random,0.34403721592444836,1.6845765480977216e-15,1.809877472831429e-16,-8.881784197001252e-16,6.75358196459126e-18,-3.9614167876205615,0.00014956012266731378,0.34910996463549715,2.80483102022e-16,1.1452165088067263e-15,2.326665079144489,4.163336342344337e-17
1.3,4.9625,4,random,0.344037215924448,1.9219276535755058e-16,4.2305568770384383e-16,-4.440892098500626e-16,-1.1438095069786e-16,4.015325171100712,0.00014956012266731378,0.34910996463549715,2.80483102022e-16,1.1452165088067263e-15,2.326665079144489,4.163336342344337e-17
1.3,4.9625,4,random,0.344037215924448,9.100538538185889e-16,4.0131786782637846e-13,-1.304512053934559e-14,-3.6335276977523003e-17,-0.18999043124368936,0.00014956012266731378,0.34910996463549715,2.80483102022e-16,1.1452165088067263e-15,2.326665079144489,4.163336342344337e-17
1.5,2.525,2,branch+noise,0.0,6.371160972023295e-17,1.0148132334464322e-15,-0.0002544366137167131,1.0221080152029582,-2.291238017200624,-0.0002544366136838505,0.3483761394852289,2.2051804826617172e-14,4.020019134513901e-15,1.546571976367642,6.375108774214766e-17
1.5,2.525,2,branch+noise,0.0,6.548672607988195e-17,1.0200174038743626e-15,-0.0002544366137167131,1.0221080152029582,-2.291238017200624,-0.0002544366136838505,0.3483761394852289,2.2051804826617172e-14,4.020019134513901e-15,1.546571976367642,6.375108774214766e-17
1.5,2.525,2,branch+noise,0.0,1.9962735156595924e-17,2.5110122314764283e-16,-0.0002544366137176013,1.0221080152029576,-2.291238017200623,-0.0002544366136838505,0.3483761394852289,2.2051804826617172e-14,4.020019134513901e-15,1.546571976367642,6.375108774214766e-17
1.5,2.525,2,branch+noise,0.0,1.9962735156595924e-17,2.5110122314764283e-16,-0.0002544366137176013,1.0221080152029576,-2.291238017200623,-0.0002544366136838505,0.3483761394852289,2.2051804826617172e-14,4.020019134513901e-15,1.546571976367642,6.375108774214766e-17
1.5,2.525,2,branch+noise,0.0,2.7224450870379093e-18,2.5110122314764283e-16,-0.0002544366137176013,1.0221080152029576,-2.291238017200623,-0.0002544366136838505,0.3483761394852289,2.2051804826617172e-14,4.020019134513901e-15,1.546571976367642,6.375108774214766e-17
1.5,2.525,2,branch+noise,0.0,2.7224450870379093e-18,2.5110122314764283e-16,-0.0002544366137176013,1.0221080152029576,-2.291238017200623,-0.0002544366136838505,0.3483761394852289,2.2051804826617172e-14,4.020019134513901e-15,1.546571976367642,6.375108774214766e-17
1.5,2.525,2,random,0.0,1.297619666157098e-18,2.752601748964856e-13,-0.0002544366133681031,-1.022108015202775,-2.291238017200797,-0.0002544366136838505,0.3483761394852289,2.2051804826617172e-14,4.020019134513901e-15,1.546571976367642,6.375108774214766e-17
1.5,2.525,2,random,0.0,1.605620623950916e-17,2.6911198963697203e-14,-0.00025443661368207415,1.0221080152029396,-2.291238017200641,-0.0002544366136838505,0.3483761394852289,2.2051804826617172e-14,4.020019134513901e-15,1.546571976367642,6.375108774214766e-17
1.5,2.525,2,random,0.0,2.8773097055461444e-15,4.219903072810727e-12,-0.00025443660829527204,1.0221080152001465,3.9919472899762463,-0.0002544366136838505,0.3483761394852289,2.2051804826617172e-14,4.020019134513901e-15,1.546571976367642,6.375108774214766e-17
1.5,2.525,2,random,0.0,4.5248029388385545e-17,4.419208055050916e-16,-0.0002544366137176013,1.022108015202958,3.9919472899789636,-0.0002544366136838505,0.3483761394852289,2.2051804826617172e-14,4.020019134513901e-15,1.546571976367642,6.375108774214766e-17
1.5,2.525,2,random,0.3447710410747163,2.2690172485128476e-14,2.2055818841268512e-14,-7.549516567451064e-14,7.655747114575071e-15,4.494885818191501,-0.0002544366136838505,0.3483761394852289,2.2051804826617172e-14,4.020019134513901e-15,1.546571976367642,6.375108774214766e-17
1.5,2.525,2,random,0.0,3.6740054517600386e-17,7.13215294115277e-16,-0.0002544366137171572,-1.0221080152029582,3.9919472899789636,-0.0002544366136838505,0.3483761394852289,2.2051804826617172e-14,4.020019134513901e-15,1.546571976367642,6.375108774214766e-17
1.5,2.525,2,random,0.0,3.3358229803754024e-17,2.6738073560794717e-12,-0.0002544366102892326,1.0221080152011868,3.9919472899772463,-0.0002544366136838505,0.3483761394852289,2.2051804826617172e-14,4.020019134513901e-15,1.546571976367642,6.375108774214766e-17
1.5,2.525,2,random,0.0,4.039776179102668e-17,2.6019577117897263e-12,-0.0002544366103789386,1.0221080152012396,3.9919472899772903,-0.0002544366136838505,0.3483761394852289,2.2051804826617172e-14,4.020019134513901e-15,1.546571976367642,6.375108774214766e-17
1.5,2.525,4,branch+noise,0.0,8.11976934642185e-17,1.2624450096421214e-15,-0.0002544366137167131,1.0221080152029585,-2.291238017200624,-0.0002544366136838505,0.3483761394852288,2.2051804826617172e-14,1.8664374553100264e-15,1.5465719763676353,2.0816681711721685e-17
1.5,2.525,4,branch+noise,0.0,7.508526081681611e-17,1.399054483375295e-15,-0.0002544366137167131,1.0221080152029585,-2.291238017200624,-0.0002544366136838505,0.3483761394852288,2.2051804826617172e-14,1.8664374553100264e-15,1.5465719763676353,2.0816681711721685e-17
1.5,2.525,4,branch+noise,0.0,6.7570388260849235e-18,2.5326962749261384e-16,-0.0002544366137176013,1.0221080152029576,-2.291238017200623,-0.0002544366136838505,0.3483761394852288,2.2051804826617172e-14,1.8664374553100264e-15,1.5465719763676353,2.0816681711721685e-17
1.5,2.525,4,branch+noise,0.0,6.390756959640675e-18,2.5326962749261384e-16,-0.0002544366137176013,1.0221080152029576,-2.291238017200623,-0.0002544366136838505,0.3483761394852288,2.2051804826617172e-14,1.8664374553100264e-15,1.5465719763676353,2.0816681711721685e-17
1.5,2.525,4,branch+noise,0.0,1.5888262502846001e-18,1.3010426069826053e-16,-0.0002544366137176013,1.0221080152029578,-2.291238017200623,-0.0002544366136838505,0.3483761394852288,2.2051804826617172e-14,1.8664374553100264e-15,1.5465719763676353,2.0816681711721685e-17
1.5,2.525,4,branch+noise,0.0,3.68302247476942e-18,2.5326962749261384e-16,-0.0002544366137176013,1.0221080152029576,-2.291238017200623,-0.0002544366136838505,0.3483761394852288,2.2051804826617172e-14,1.8664374553100264e-15,1.5465719763676353,2.0816681711721685e-17
1.5,2.525,4,random,0.3447710410747164,7.5496663970154235e-06,5.30979296989309e-12,-1.454072418027863e-10,-8.72658200389436e-18,2.3005233247836756,-0.0002544366136838505,0.3483761394852288,2.2051804826617172e-14,1.8664374553100264e-15,1.5465719763676353,2.0816681711721685e-17
1.5,2.525,4,random,0.0,1.1924064499014105e-14,1.4147617352942366e-12,-0.0002544366154748623,-1.022108015203942,3.9919472899797968,-0.0002544366136838505,0.3483761394852288,2.2051804826617172e-14,1.8664374553100264e-15,1.5465719763676353,2.0816681711721685e-17
1.5,2.525,4,random,1.1102230246251565e-16,2.3820681787475323e-17,1.972669857325249e-12,-0.00025443661119162186,1.0221080152016548,10.275132597157285,-0.0002544366136838505,0.3483761394852288,2.2051804826617172e-14,1.8664374553100264e-15,1.5465719763676353,2.0816681711721685e-17
1.5,2.525,4,random,0.0,2.6848588764139346e-16,5.082479576090648e-14,-0.0002544366137828824,1.0221080152029918,3.991947289978995,-0.0002544366136838505,0.3483761394852288,2.2051804826617172e-14,1.8664374553100264e-15,1.5465719763676353,2.0816681711721685e-17
1.5,2.525,4,random,0.3447710410747164,5.809338354982874e-18,8.049116928532385e-16,-2.498001805406602e-16,-2.5045602862476346e-17,0.06437862677270985,-0.0002544366136838505,0.3483761394852288,2.2051804826617172e-14,1.8664374553100264e-15,1.5465719763676353,2.0816681711721685e-17
1.5,2.525,4,random,1.1102230246251565e-16,6.615613795906707e-18,1.1373710133433246e-12,-0.00025443661226720593,1.0221080152022042,3.9919472899782384,-0.0002544366136838505,0.3483761394852288,2.2051804826617172e-14,1.8664374553100264e-15,1.5465719763676353,2.0816681711721685e-17
1.5,2.525,4,random,-5.551115123125783e-17,1.5153701141191001e-15,1.131826574533889e-12,-0.000254436613407627,-1.0221080152030644,3.991947289978727,-0.0002544366136838505,0.3483761394852288,2.2051804826617172e-14,1.8664374553100264e-15,1.5465719763676353,2.0816681711721685e-17
