arm,d,a,seed,placed_at_init,crossed,step,s_cross,w2_own,G1_first_step,s_at_G1_first,half_step,rho_init,steps_run,rho_half,rho_cross,wnoise_l2_cross,wnoise_l1_cross,G_at_cross,G1_at_cross,w1_end,wnoise_l2_end,s_end,rho_end,G_end,G1_end,r_pop,obs_r_own,branch_converged,branch_grad,branch_wnoise_l2,branch_dist,growth,relax_sig,relax_full,chi,winding_k,mirror,kappa_k,pred_r,G_numpy_at_cross,widening_rel
primary,4,1.3,880035,False,True,3038.0,7.010334112260534,5.053125,2268.0,5.211107019808746,1040.0,0.9249721259732979,64000,0.026237857699588987,0.019028522797098216,0.015139731224239958,0.023533692999856647,3.2801582316555056e-05,0.043324433272070806,0.7577610649964622,0.010844810602382104,134.68894806323632,0.014311649282789074,0.0640613112829036,0.08378225865812938,0.4144432004560974,0.38732647861680336,True,1.7782724077985979e-12,0.01534462530852024,0.05770037232867864,0.00034267943293550475,0.12950696616185026,0.12944894061643006,0.0026460308900082175,-1.0,False,7.6105432889477465,0.02013773263230047,3.2801582316555056e-05,0.07394639427790829
primary,4,1.3,880036,False,True,2885.0,8.315547226690978,5.434375,1876.0,5.4319866457039065,855.0,1.5132742307501628,64000,0.05034287607859403,0.028447303539690168,0.022112431580096233,0.02999434435849986,4.9912663242945854e-05,0.054392104565159194,0.7624724883657581,0.016224588405427915,143.69630151772694,0.02127891648943664,0.05819042146786879,0.0847019015939745,0.6777901087901088,0.530175452870105,True,3.295721334728441e-12,0.021899521471131382,0.03984527123488846,0.0003456625746475937,0.22143399016256493,0.2212132396854589,0.0015610185879495141,-1.0,False,7.6105432889477465,0.011880199538441862,4.9912663242945854e-05,0.09646815812064181
primary,4,1.3,880037,False,True,3420.0,7.595103755846764,5.303125,2491.0,5.4554229751903645,1099.0,61.50193082421216,64000,0.0346665751848031,0.02206612764180733,0.017378796338026276,0.024451458743815088,0.0004996545735251878,0.04530012650054349,0.7596397834906599,0.0030342703700831936,139.50289967317758,0.0039943542137041085,0.08018622214038951,0.08476439487816911,0.532429509376396,0.4321939904955596,True,1.588711692583622e-12,0.018857067264226025,0.05525209180799351,0.0003128487821512143,0.1331184588966639,0.13290692322933567,0.002350153275092149,-1.0,False,7.6105432889477465,0.01788594323575112,0.0004996545735251878,0.07761599238159417
primary,4,1.3,880038,False,True,3722.0,7.474772365970518,5.653125,3157.0,5.807882108714694,2145.0,0.8177535729646412,64000,0.03010697109713035,0.019758014294590124,0.015747726780358327,0.01817635224148212,5.421842048702885e-05,0.033812777665173765,0.766124009367538,0.00359933672106461,140.20061362352064,0.004698112416599484,0.07902802580096369,0.08521883965915622,0.5081507926296125,0.32223723444475705,True,2.1408217065407853e-09,0.015618799813485613,0.04177734647758058,0.0003954078276829417,0.2165661043835563,0.2161064156717648,0.001825806622917509,-1.0,True,7.6105432889477465,0.013895380340961196,5.421842048702885e-05,0.05701277276708906
primary,4,1.3,880039,False,True,4282.0,7.161001718914783,4.853125,3371.0,5.231858191881502,1814.0,4.099540824662969,64000,0.025535559134351755,0.016487787470044805,0.01311634273549075,0.022675391477873497,0.0006522014825369737,0.04237982727242162,0.7659421756930733,0.004984072966163841,132.75471277483757,0.006507113884483426,0.07803495674011707,0.08504916618048464,0.44484271756162075,0.4755444623649263,True,4.4751875816206876e-13,0.014235892645533899,0.05316076706034778,0.000312682620644778,0.13089973480349282,0.13079913200475476,0.002388718518904399,-1.0,True,7.6105432889477465,0.018179445693233074,0.0006522014825369737,0.07125977168841781
primary,4,1.5,880000,False,False,,,2.7093749999999996,,,,10.280516826362337,64000,,,,,,,1.4725104775912963,2.116437973389651,0.08449635516941784,1.437299092670416,-14.503689048888205,-6.481399105222853,,,,,,,,,,,,,,,,
primary,4,1.5,880001,False,True,938.0,2.9936088453314706,2.546875,841.0,2.6512082175619662,513.0,1.3569705653072344,64000,0.01288159798554195,0.009836051429873484,0.009888987868677934,0.012488643480940377,0.00027082526842825416,0.0381105320920474,0.9529778418862981,0.012825296436986497,121.81678533437331,0.013458126593584231,0.13755518613638085,0.17318832930405081,0.18266028457539574,0.17540470000744857,True,2.1928330115258965e-10,0.010440341266688722,0.07789022350326391,0.0012557792311916295,0.13852275817570495,0.13833232340637358,0.00906550842424589,0.0,True,4.046049844154416,0.036679498947100625,0.00027082526842825416,0.031054477262774258
primary,4,1.5,880002,False,True,1752.0,3.448065233623714,2.3656249999999996,1393.0,2.748412218488505,591.0,1.738081988135149,64000,0.024995775576902357,0.01688457079799131,0.01639916413859734,0.021795036113650107,6.187571650784207e-05,0.06517209939395086,0.9466410097787913,0.006450123286871414,124.07867572034641,0.006813695181427501,0.16047015100112816,0.1731898414117028,0.3621986108143067,0.4575705082689414,True,2.5215437376990835e-12,0.01584085187448968,0.09851672522879085,0.0005863697303182123,0.06314083806407628,0.06305202414224383,0.009286695398676137,0.0,True,4.046049844154416,0.03757443247052311,6.187571650784207e-05,0.05610039438528031
primary,4,1.5,880003,False,True,2390.0,4.115545917979301,2.765625,1743.0,2.951158998444305,714.0,3.743675185047517,64000,0.02950277076707077,0.02098391830506412,0.020394949239361884,0.03144365240102425,8.76490432020205e-05,0.09281479786983082,0.9555702620070669,0.009310837970440328,119.25112873168763,0.009743750240703357,0.1494313333819579,0.17385940621978246,0.6258946836461434,0.4881069985913855,True,8.270537033006065e-13,0.020593701467420688,0.09998263690899734,0.00045642087318967163,0.058199870815669394,0.05816990143065828,0.007842300451752679,0.0,True,4.046049844154416,0.03173033852062603,8.76490432020205e-05,0.08087921983185214
primary,4,1.5,880004,False,True,1960.0,4.78403358069778,3.059375,1348.0,3.2575072442285973,685.0,0.8645415140744419,64000,0.05087167225437998,0.027605344102349206,0.026444541313366886,0.0336215808432218,9.733730517158534e-05,0.0987994024298775,0.9552659362188275,0.0059360776639214114,124.04830798082965,0.006214057718228534,0.1558488932274975,0.1739516939228638,0.8899885750904808,0.5637290559992743,True,2.8002123189652117e-12,0.027255182666756347,0.09317716628949846,0.000513488525581423,0.08023917706505278,0.07996780545716832,0.006399473977220871,0.0,True,4.046049844154416,0.025892590688204743,9.733730517158534e-05,0.08774356278709083
