arm,d,a,seed,placed_at_init,crossed,step,s_cross,w2_own,G1_first_step,s_at_G1_first,half_step,rho_init,steps_run,rho_half,rho_cross,wnoise_l2_cross,wnoise_l1_cross,G_at_cross,G1_at_cross,w1_end,wnoise_l2_end,s_end,rho_end,G_end,G1_end,r_pop,obs_r_own,branch_converged,branch_grad,branch_wnoise_l2,branch_dist,growth,relax_sig,relax_full,chi,winding_k,mirror,kappa_k,pred_r,G_numpy_at_cross,widening_rel,s_branch,s_branch_note,branch_placed_at_s_c,s_branch_G1,s_branch_G1_note,r_branch,branch_over_own_x1,G1switch_over_own_x1
secondary,2,1.5,880114,False,True,1543.0,3.3127295264474204,,1393.0,2.9995729910008033,580.0,0.2024231044120954,64000,0.0135491010020208,0.0102796156265334,0.0101510838382996,0.0101510838382996,2.188702033212309e-05,0.0308614319675681,0.9490415067513562,0.0024916201893399,123.16110990771062,0.0026254069728403,0.1691305363182627,0.1735180843463588,0.3087326524236722,,True,2.5977917733621684e-14,0.0109638390564172,0.1218133879365801,0.0006505758930518,0.0544745868306949,0.0544437702453864,0.0119427412102058,0.0,True,4.046049844154416,0.04832092621233,2.188702033212309e-05,0.0256990390663335,3.177019620080096,,True,2.8328386614865257,,0.042716105846366315,,
secondary,2,1.5,880115,False,True,1707.0,3.778076301173252,,1457.0,3.2542644977829407,519.0,0.2280412034471133,64000,0.0091914647907552,0.0142740491644529,0.0140974252855946,0.0140974252855946,7.984875151390014e-05,0.0426843259094278,0.9535357819306612,0.0050436185044866,124.27523782182118,0.0052893856738912,0.1608734047989464,0.173952895571662,0.4925733535499266,,True,3.409561695477681e-12,0.0142544437634149,0.1140696331998842,0.0005696924887164,0.0581586218036905,0.0581566117689082,0.0097954949936639,0.0,True,4.046049844154416,0.0396330609925292,7.984875151390014e-05,0.0356851229111324,3.576247722304689,,True,3.061479766099485,,0.05643584967835946,,
secondary,2,1.5,880116,False,True,1062.0,3.073719044198787,,1010.0,2.9441580681332726,386.0,0.0818589570793479,64000,0.0155158569284312,0.0048769286664673,0.0049849732592319,0.0049849732592319,4.391390880531531e-05,0.015299301545633,0.9491831219736562,0.0023384671931118,124.28708955574956,0.002463662847533,0.1682738378296395,0.1723624874618785,0.2143087582019898,,True,4.333722131155681e-10,0.004575676921759,0.1168083848761423,0.0008482650674628,0.067689432366333,0.0676740498413318,0.0125317207990763,0.0,True,4.046049844154416,0.0507039669860894,4.391390880531531e-05,0.0121923216661684,2.9249603493232845,,True,2.790384575364276,,0.0508583628868402,,
secondary,2,1.5,880117,False,True,2016.0,3.0930215221595776,,1926.0,2.784811419448455,1589.0,0.1777268554480615,64000,0.0227534721739722,0.0112640612011351,0.0114152969060152,0.0114152969060152,0.0003330240984102,0.0349664734653174,0.9475970074749284,0.0037679292312429,122.98656952970369,0.0039762992089679,0.1666346931912024,0.1732765973495533,0.2219344285074873,,True,2.477959244046035e-13,0.0102327567771616,0.1275364290913554,0.0011784097758807,0.082547944173321,0.0824502300970502,0.0142754587976964,0.0,False,4.046049844154416,0.0577592178436524,0.0003330240984102,0.0281601530028378,2.902906754586126,,True,2.6088175026048988,,0.06549117269202709,,
secondary,2,1.5,880118,False,True,1235.0,2.7572347055380755,,1208.0,2.6971130985246146,579.0,0.4294618319912936,64000,0.0050138290710945,0.0023884063819307,0.0024347924654699,0.0024347924654699,0.0002284523582805,0.0077045696985202,0.945137756415396,0.0013767239081103,120.56676198480852,0.0014566383564358,0.169466156588228,0.1718762090100041,0.0892779083607211,,True,1.1342790422197435e-11,0.003396494592808,0.1109250847482039,0.0008432580587042,0.0637782500680232,0.06372666444211,0.0132217183413596,0.0,True,4.046049844154416,0.0534957314345116,0.0002284523582805,0.0059710159548269,2.6362679668029427,,True,2.548277630031807,,0.045885600499797397,,
secondary,2,1.5,880119,False,True,1214.0,2.6253142966032743,,1166.0,2.5309104954683157,512.0,2.067337396596339,64000,0.001421829564117,0.0042262874090236,0.0043436228982194,0.0043436228982194,0.0001103887822475,0.0134099409765076,0.944755477169312,0.0031964676915806,123.79141700977767,0.0033833809581691,0.1668949673991897,0.1725209740061939,0.0371612035963553,,True,5.012257969783107e-13,0.0039732729874918,0.133098851161967,0.0007777655171975,0.0474414287393908,0.0474372021066972,0.0163942262672994,0.0,True,4.046049844154416,0.066331856633839,0.0001103887822475,0.0105657185225591,2.4359043053231164,,True,2.3561141268300343,,0.07775756661139988,,
secondary,4,1.3,880040,False,True,3895.0,6.41269993144904,,3286.0,5.149591951543824,1764.0,10.259500070437031,64000,0.0216455055952544,0.0134558294681255,0.0110369183091755,0.0184924327681744,3.9613202591048946e-05,0.0344619624664002,0.769964184482883,0.0141695423268826,134.07988172065672,0.0184028590062265,0.0522814232357013,0.0852054162045528,0.2938612724235134,,True,1.3415104530706268e-12,0.0113595375554286,0.0543028650359289,0.0003388732039632,0.1249723394099657,0.1248250397132364,0.0027115856641813,-1.0,True,7.610543288947747,0.0206366400789423,3.9613202591048946e-05,0.0563633377562619,6.324802594822428,,True,4.9969989690504715,,0.01389724585215757,,
secondary,4,1.3,880042,False,True,3404.0,7.6510311389284915,,2760.0,5.988015346803374,1272.0,2.029938384941832,64000,0.0265694991146751,0.0150030374349696,0.0118991787994295,0.0183314578463953,7.660794079988875e-06,0.0340234207616125,0.7607531595999399,0.0097203838133818,137.7770556337909,0.0127773163880036,0.069567730680264,0.0840719427605387,0.5437137228607294,,True,2.685670262569939e-12,0.0118645326737475,0.0387380984426855,0.0003478987724641,0.2120617555210731,0.2118939990978365,0.001640554052801,-1.0,True,7.610543288947747,0.0124855076367008,7.660794079988875e-06,0.0577828842105102,7.54561938896904,,True,5.882772626491713,,0.013969926725107884,,
secondary,4,1.3,880043,False,True,3036.0,8.25931612322744,,1821.0,5.185884933432998,791.0,11.073880911958488,64000,0.0312667170055917,0.0306924455402942,0.0241314836986255,0.0338238524148016,0.0014251051717786,0.062255063755372,0.7572689811862722,0.0040769020500231,136.76295161958004,0.00538369080381,0.0766954936244781,0.0839988940649969,0.666444615026974,,True,3.5994343660153416e-10,0.023569065258043,0.0548882329793798,0.0003082135614973,0.1438555163783353,0.1435300104385415,0.0021425216721393,-1.0,True,7.610543288947747,0.0163057539333252,0.0014251051717786,0.1075500330988123,8.278000910343373,,False,5.015415913117575,,-0.0022571617614326467,,
secondary,4,1.3,880044,False,True,2760.0,5.862775059847812,,2560.0,5.382453832240075,1294.0,1.9240284123915008,64000,0.013414863561604,0.006082099433377,0.0050090705530395,0.0075748452307173,5.836721421026425e-05,0.0144355847706325,0.7622822287628352,0.0086181903667953,140.06695359710903,0.011305773690648,0.0711610096703831,0.0843122371734295,0.1829054345216265,,True,1.208890365415882e-09,0.0045769915205357,0.0511642712011983,0.0004193391504414,0.1486498592709665,0.1484138615739355,0.0028209858556077,-1.0,False,7.610543288947747,0.0214692349716123,5.836721421026425e-05,0.022993767704923,5.733748411893108,,True,5.271174559459531,,0.02250301873850491,,
