arm,d,a,seed,s_branch,s_branch_note,branch_placed_at_s_c,s_branch_G1,s_branch_G1_note
secondary,2,1.3,880096,6.526133117291311,,True,6.177939842332796,
secondary,2,1.3,880097,6.682289160645787,,True,5.942366695267971,
secondary,2,1.3,880098,5.312857331560442,,True,5.191705701593862,
secondary,2,1.3,880099,7.141759588005897,,True,5.919835128089266,
secondary,2,1.3,880101,5.257521493585655,,True,5.127720423070352,
secondary,2,1.3,880102,5.224614445432665,,True,5.062150205903286,
secondary,2,1.3,880103,6.379256923903181,,False,5.570942779594281,
secondary,2,1.3,880104,4.390167816347242,,True,4.145827171522688,
secondary,2,1.3,880105,5.3851280558689325,,True,5.104759027184755,
secondary,2,1.3,880106,7.712820716933273,,True,5.2658609309856175,
secondary,2,1.3,880107,4.962889791460567,,True,4.672476541357838,
secondary,2,1.3,880108,6.5233004207556435,,True,5.557240396024772,
secondary,2,1.3,880109,5.571237052734435,,True,4.993959898988756,
secondary,2,1.3,880110,5.596962308142119,,True,4.95883444754631,
secondary,2,1.3,880111,8.006774033721705,,True,6.026413119079818,
secondary,2,1.3,880112,5.362238504997982,,True,4.854367871161742,
secondary,2,1.3,880113,7.275070837878765,,True,5.909672439296569,
secondary,2,1.3,880114,6.2214080355543295,,True,5.538997262573496,
secondary,2,1.3,880115,7.0567380761702285,,True,6.033018252984275,
secondary,2,1.3,880116,5.717861440839428,,True,5.45498025256318,
secondary,2,1.3,880117,5.666743391527612,,True,5.11130616190081,
secondary,2,1.3,880118,5.13721980508212,,True,5.006726658784377,
secondary,2,1.3,880119,4.796410506615857,,True,4.616765785110214,
secondary,2,1.5,880040,2.72823891486616,,True,2.554643232564561,
secondary,2,1.5,880041,2.7576479174444257,,True,2.5390920580425638,
secondary,2,1.5,880042,3.130092585335531,,True,2.9953831107530737,
secondary,2,1.5,880043,3.258056677261196,,True,2.5653959317879016,
secondary,2,1.5,880044,2.779771086334083,,True,2.697230700892738,
secondary,2,1.5,880045,3.389315307601596,,True,3.130061931929463,
secondary,2,1.5,880046,2.990803384634768,,True,2.512822490213917,
secondary,2,1.5,880047,2.342280599135157,,True,2.29078175792859,
secondary,2,1.5,880048,2.491245714599061,,True,2.367914470581386,
secondary,2,1.5,880049,2.675306485459319,,True,2.3669091266143862,
secondary,2,1.5,880052,3.141285179986962,,True,2.8289340921479833,
secondary,2,1.5,880053,2.4900429208892225,,True,2.384895191639261,
secondary,2,1.5,880055,3.177248004672574,,True,3.093928448680966,
secondary,2,1.5,880056,3.319056259775003,,True,2.7332696122539932,
secondary,2,1.5,880057,2.912452285555273,,True,2.834992631597685,
secondary,2,1.5,880058,2.7902814281747066,,True,2.6012776057394733,
secondary,2,1.5,880059,2.0776513137896035,,True,2.0066104344168245,
secondary,2,1.5,880060,3.3301831126199612,,True,2.9976440844707155,
secondary,2,1.5,880061,3.1092922638738623,,True,2.6215844876195025,
secondary,2,1.5,880062,3.1487900776861864,,True,2.8875433170359814,
secondary,2,1.5,880063,2.967581086334154,,True,2.8971544861924543,
secondary,2,1.5,880064,3.0458371585003654,,True,3.0164733622559723,
secondary,2,1.5,880065,2.732108982409315,,True,2.6914425357269725,
secondary,2,1.5,880066,2.943787690527219,,True,2.568118633857175,
secondary,2,1.5,880067,3.0671974403165043,,True,2.6103875967009547,
secondary,2,1.5,880068,2.8986299003693685,,True,2.5150293769458605,
secondary,2,1.5,880069,3.1027098987371815,,True,3.01013844319408,
secondary,2,1.5,880070,3.149824294663822,,True,2.7516288620147744,
secondary,2,1.5,880071,3.5155526994597173,,True,2.812509461600314,
secondary,2,1.5,880072,3.2943195251150854,,True,2.9816834831456944,
secondary,2,1.5,880073,2.885008598326853,,True,2.729441991940621,
secondary,2,1.5,880074,2.9168505837354965,,True,2.8668855746582653,
secondary,2,1.5,880075,3.5556089525543593,,True,3.246547140839987,
secondary,2,1.5,880076,3.0553594674482425,,True,2.790023051578096,
secondary,2,1.5,880077,2.8298889036593886,,True,2.690569700881383,
secondary,2,1.5,880078,2.686790545166382,,True,2.4995779620549916,
secondary,2,1.5,880079,2.9542806784545874,,True,2.8982262112594253,
secondary,2,1.5,880080,3.063208617223719,,True,2.5679748186336004,
secondary,2,1.5,880081,2.920569608445361,,True,2.694668238586765,
secondary,2,1.5,880082,3.48834870772035,,True,2.660624792450445,
secondary,2,1.5,880083,2.4043924383149973,,True,2.3872251008113428,
secondary,2,1.5,880084,3.208160489617846,,True,2.5151845200978857,
secondary,2,1.5,880085,2.8131871700824087,,True,2.4499584018755614,
secondary,2,1.5,880086,2.856276269487857,,True,2.581980910957636,
secondary,2,1.5,880087,3.0550964256352593,,True,2.8114091261839436,
secondary,2,1.5,880088,3.3393902949315906,,True,3.207587743069128,
secondary,2,1.5,880089,2.7175915298951625,,True,2.70509911001091,
secondary,2,1.5,880090,3.65764996470499,,True,2.82566801692137,
secondary,2,1.5,880091,3.3523739109947974,,True,2.8747165803952495,
secondary,2,1.5,880092,3.289255123349302,,True,2.669150009242343,
secondary,2,1.5,880093,2.8435921180240005,,True,2.7058365362368932,
secondary,2,1.5,880094,3.0119125723274642,,True,2.8682561293151485,
secondary,2,1.5,880095,3.01100414353151,,True,2.4898047892364312,
secondary,2,1.5,880096,3.330939630784199,,True,3.163663924681006,
secondary,2,1.5,880097,3.422619677247068,,True,3.02876055860851,
secondary,2,1.5,880098,2.719117164763558,,True,2.6536715916618676,
secondary,2,1.5,880099,3.649804827601902,,True,3.019805419441602,
secondary,2,1.5,880101,2.6965098460074293,,True,2.628663576447047,
secondary,2,1.5,880102,2.6624945675554663,,True,2.5809673204742856,
secondary,2,1.5,880103,3.2427735679034053,,True,2.8370774166352897,
secondary,2,1.5,880104,2.2402070294555303,,True,2.104965622551912,
secondary,2,1.5,880105,2.7601940728021175,,True,2.6180971072715282,
secondary,2,1.5,880106,3.92404327001294,,True,2.6914823910526957,
secondary,2,1.5,880107,2.5214833502700245,,True,2.3777004958196333,
secondary,2,1.5,880108,3.2943924408363072,,True,2.840468548907044,
secondary,2,1.5,880109,2.8416153988094965,,True,2.546673790652291,
secondary,2,1.5,880110,2.849471453782871,,True,2.536628190904133,
secondary,2,1.5,880111,4.083849575324613,,True,3.0710149995629044,
secondary,2,1.5,880112,2.7432335318081025,,True,2.4857933149964717,
secondary,2,1.5,880113,3.7203171319334096,,True,3.023134393537794,
secondary,2,1.5,880114,3.177019620080096,,True,2.8328386614865257,
secondary,2,1.5,880115,3.576247722304689,,True,3.061479766099485,
secondary,2,1.5,880116,2.9249603493232845,,True,2.7903845753642758,
secondary,2,1.5,880117,2.902906754586126,,True,2.6088175026048988,
secondary,2,1.5,880118,2.6362679668029427,,True,2.548277630031807,
secondary,2,1.5,880119,2.4359043053231164,,True,2.3561141268300343,
secondary,4,1.3,880040,6.324802594822428,,True,4.9969989690504715,
secondary,4,1.3,880042,7.5456193889690395,,True,5.882772626491713,
secondary,4,1.3,880043,8.278000910343373,,False,5.015415913117575,
secondary,4,1.3,880044,5.733748411893108,,True,5.271174559459531,
secondary,4,1.3,880045,9.627837979756157,,True,5.995005078744256,
secondary,4,1.3,880046,9.59666413567675,,True,4.907368833476482,
secondary,4,1.3,880049,6.918895222261625,,True,4.650902226264711,
secondary,4,1.3,880050,6.188249528064581,,True,4.75718754276856,
secondary,4,1.3,880054,7.480752126288301,,True,5.225941069102902,
secondary,4,1.3,880055,8.491157281407311,,True,6.009637771266034,
secondary,4,1.3,880056,7.30787817378917,,False,5.334239826762076,
secondary,4,1.3,880057,8.63724220227569,,True,5.584279726613577,
secondary,4,1.3,880060,9.218370552747867,,True,5.787972473818387,
secondary,4,1.3,880064,10.521271309702591,,True,5.984550278282468,
secondary,4,1.3,880065,8.614685751787938,,True,5.279301022387431,
secondary,4,1.3,880066,7.346985595860911,,True,4.993891456851296,
secondary,4,1.3,880067,7.788680185944182,,True,5.08378028622712,
secondary,4,1.3,880068,7.519314221857002,,True,4.985743011914074,
secondary,4,1.3,880069,7.525132297050828,,True,5.860025407026065,
secondary,4,1.3,880070,6.555225421705686,,True,5.393108158336069,
secondary,4,1.3,880071,10.028086293492038,,False,5.504246864451232,
secondary,4,1.3,880072,7.287185972136267,,True,5.817977826304897,
secondary,4,1.3,880073,10.04828105654148,,False,5.356105242294605,
secondary,4,1.3,880074,6.619591666851442,,True,5.619651293412064,
secondary,4,1.3,880075,7.817981683422591,,True,6.35748439511371,
secondary,4,1.3,880076,10.201816365791432,,True,5.5379573725460265,
secondary,4,1.3,880078,13.264011089280014,,False,5.049042046657741,
secondary,4,1.3,880079,7.339978552506908,,True,5.641313144999595,
secondary,4,1.3,880080,6.239622282500045,,True,5.070240631911199,
secondary,4,1.3,880081,7.194147882009375,,True,5.323099667898098,
secondary,4,1.3,880082,12.317676752619047,,False,5.423173669608218,
secondary,4,1.3,880083,6.9263779835770265,,True,4.646647797638301,
secondary,4,1.3,880085,10.072664707095335,,False,4.806147283226807,
secondary,4,1.3,880086,6.641194173883216,,True,5.069260900071082,
secondary,4,1.3,880087,7.1311546106643355,,True,5.561541707001299,
secondary,4,1.3,880088,9.80814602416487,,False,6.301412910456816,
secondary,4,1.3,880089,6.173726218566583,,True,5.260951460010244,
secondary,4,1.3,880090,10.480106079323313,,False,5.576621408156735,
secondary,4,1.3,880091,7.2203469879717925,,True,5.649516900488062,
secondary,4,1.3,880092,10.057367746272371,,True,5.201956177450674,
secondary,4,1.3,880093,6.134693426492268,,True,5.32013983895655,
secondary,4,1.3,880094,6.7372519321351145,,True,5.541489265159319,
secondary,4,1.3,880096,7.199602309623458,,True,6.123273071441572,
secondary,4,1.3,880098,7.71790029908502,,True,5.212550300922381,
secondary,4,1.3,880099,9.482829129002305,,True,5.888443575652044,
secondary,4,1.3,880101,5.798724375539729,,True,5.126341173476861,
secondary,4,1.3,880102,9.395464896244892,,False,4.929807440993661,
secondary,4,1.3,880104,6.579206642994201,,True,4.151773456329309,
secondary,4,1.3,880106,8.073716760091676,,True,5.274565279276,
secondary,4,1.3,880107,5.988058180795113,,True,4.632181509775912,
secondary,4,1.3,880108,7.386674287610688,,True,5.534905646003013,
secondary,4,1.3,880109,9.427744216570808,,True,4.969000847470685,
secondary,4,1.3,880110,7.023161899435678,,True,4.979245127978608,
secondary,4,1.3,880112,7.716986879239618,,False,4.872865249865429,
