arm,d,a,seed,s_branch,s_branch_note,branch_placed_at_s_c,s_branch_G1,s_branch_G1_note
secondary,4,1.3,880113,10.517475885312667,,False,5.91604531607714,
secondary,4,1.3,880114,8.34337812318001,,True,5.583722635501596,
secondary,4,1.3,880115,8.993386804205228,,True,6.093296890687797,
secondary,4,1.3,880116,7.422295565862742,,True,5.40914128979174,
secondary,4,1.3,880117,7.8537055525485915,,True,5.167077805569219,
secondary,4,1.3,880118,6.527247116498005,,False,4.952537764856626,
secondary,4,1.3,880119,6.53097804324759,,True,4.628624120212976,
secondary,4,1.5,880040,3.244772387376038,,True,2.562141082486339,
secondary,4,1.5,880042,3.843153293041668,,True,3.0009371891657315,
secondary,4,1.5,880043,4.171715409780095,,True,2.5535413371925966,
secondary,4,1.5,880044,2.950876685643084,,True,2.7053654161353293,
secondary,4,1.5,880045,4.891781891585036,,True,3.0568103699769704,
secondary,4,1.5,880046,4.89616864148084,,True,2.502240960704458,
secondary,4,1.5,880048,4.177491835144785,,False,2.7254321059524766,
secondary,4,1.5,880049,3.5314268553087915,,True,2.3629270341925004,
secondary,4,1.5,880050,3.1127081166995527,,True,2.424066711784108,
secondary,4,1.5,880052,4.191949192050984,,True,2.821918169125939,
secondary,4,1.5,880054,3.7972742199913,,True,2.6602568404340934,
secondary,4,1.5,880055,4.351118019942606,,True,3.0761463200746544,
secondary,4,1.5,880056,3.704155002907204,,True,2.718960318245669,
secondary,4,1.5,880057,4.411809966063107,,True,2.846688517935344,
secondary,4,1.5,880060,4.714169954908794,,True,2.9648574460883914,
secondary,4,1.5,880062,2.474634320046506,,True,2.2716232369452767,
secondary,4,1.5,880064,5.381229641590063,,True,3.0638243807569845,
secondary,4,1.5,880065,4.369888736276749,,True,2.6948886809167867,
secondary,4,1.5,880066,3.7192690517803273,,True,2.5544768658906314,
secondary,4,1.5,880067,3.9342340110282272,,True,2.5935232580484566,
secondary,4,1.5,880068,3.8160802631189874,,True,2.5421872105446117,
secondary,4,1.5,880069,3.8671583400294054,,True,3.0052846072579626,
secondary,4,1.5,880070,3.3408370839129553,,True,2.7502921227735744,
secondary,4,1.5,880071,5.102530312989911,,True,2.812926846941976,
secondary,4,1.5,880072,3.708288798950508,,True,2.9719837772348603,
secondary,4,1.5,880073,5.07719647536924,,True,2.7385200447536535,
secondary,4,1.5,880074,3.3646227936011823,,True,2.8642221075984207,
secondary,4,1.5,880075,4.01851587876586,,True,3.2519486076821345,
secondary,4,1.5,880076,5.193084561917347,,True,2.8231364044703113,
secondary,4,1.5,880078,6.716397662157174,,False,2.580521504670725,
secondary,4,1.5,880079,3.7251250334030477,,True,2.888911870694553,
secondary,4,1.5,880080,3.2021206443249453,,True,2.5739772440317865,
secondary,4,1.5,880081,3.6528529190012025,,True,2.709443805562776,
secondary,4,1.5,880082,4.773623818594224,,False,2.3074198614308914,
secondary,4,1.5,880083,3.5292979950683807,,True,2.362371237195629,
secondary,4,1.5,880085,5.100864191926788,,True,2.443686363224776,
secondary,4,1.5,880086,3.3640591349780236,,True,2.584000208595349,
secondary,4,1.5,880087,3.658404020492985,,True,2.8330458879849347,
secondary,4,1.5,880088,4.9927390789816375,,True,3.21668333641634,
secondary,4,1.5,880089,3.1444448111247136,,True,2.684440167075752,
secondary,4,1.5,880090,5.37092319235372,,True,2.857787416478361,
secondary,4,1.5,880091,3.6896132800862573,,True,2.8733525859712996,
secondary,4,1.5,880092,5.045775069965675,,True,2.653227894854603,
secondary,4,1.5,880093,3.110128476062469,,True,2.708637093429413,
secondary,4,1.5,880094,3.455122988556097,,True,2.8480361016448263,
secondary,4,1.5,880096,3.6568163845828443,,True,3.138780045900931,
secondary,4,1.5,880098,3.890155685043052,,True,2.6646346760974913,
secondary,4,1.5,880099,4.82180143344433,,True,3.0052145601350433,
secondary,4,1.5,880101,2.9587637521970516,,True,2.627486415339133,
secondary,4,1.5,880102,4.765586753650227,,True,2.5157038873217887,
secondary,4,1.5,880104,3.3672767615823664,,True,2.109070634721486,
secondary,4,1.5,880106,4.122885155069174,,True,2.696301791752644,
secondary,4,1.5,880107,3.0388151658068296,,True,2.358559558111255,
secondary,4,1.5,880108,3.734557796767186,,True,2.829173345022328,
secondary,4,1.5,880109,4.808093314021342,,False,2.535938276678305,
secondary,4,1.5,880110,3.56157245917925,,True,2.5465165642432135,
secondary,4,1.5,880112,3.940036540754384,,True,2.4960957878203964,
secondary,4,1.5,880113,5.2773400862542115,,True,3.027164691339479,
secondary,4,1.5,880114,4.253338446820582,,True,2.8557027368305157,
secondary,4,1.5,880115,4.586562594285419,,True,3.0933499288254076,
secondary,4,1.5,880116,3.7928440044581873,,True,2.768494367877679,
secondary,4,1.5,880117,4.02276022406066,,True,2.636106557684278,
secondary,4,1.5,880118,3.324281467012578,,True,2.522425276966083,
secondary,4,1.5,880119,3.3343098330460297,,True,2.3627760050128543,
