arm,seed,phi2,step,s_cross,s_replay,reproduced,s_init,s_min_pre,sdot,min_share,dir_drift_rel,status,dist_c,branch_grad_c,branch_pd_c,g_branch_c,n_cont_steps,lambda_min_c,relax_times_c,chi_c,t_star,s_star,grad_star,pd_star,kappa2,kappa2_sgd,lambda_min,gdot,gdot_dir_part,gradG_asym,chi,r_obs,r_pred,z_star,ray_status,ray_s_star,ray_kappa2,ray_chi,ray_r_obs,ray_r_pred,p
T2-3c,600344,0.01778279410038923,113,0.053421181370056914,0.053421181370056914,True,0.019927002316845153,0.019927002316845153,0.00033450598075401156,0.3316595414258582,0.3960129192657492,ok,0.4949679574972161,2.9609561330579126e-16,True,-0.2467001962728772,11,2.0146812248876906,2.2765897841230904,0.31080218261979536,147.27993761740387,0.0662184228296512,1.400316494704068e-13,True,0.050820854645380296,-0.005022397371188829,2.0183484206910283,0.005790675390198268,0.005882568531306381,4.318664133335748e-07,0.2502815957349213,-0.19325802265806835,0.01271952459725827,"[-1.5450338777631294, -1.5103387677620872, -1.80030147021348, 1.6980144175550873, 0.10645995177777456]",ok,0.3886167451539041,1.638092495583598,0.05232101929866017,-0.8625350501844677,0.08570666907441983,"[417.58957917714974, 190.84219696847532, 518.0123842939759, 450.0380338303963, 8.715522087673174]"
T2-3c,600345,0.01778279410038923,171,0.0799436851736337,0.0799436851736337,True,0.03676791692116689,0.03676791692116689,0.00037181553931848544,0.32461528118385446,0.5846746225646732,ok,0.652795013690727,8.050743231791113e-16,True,-0.20318369036403294,6,2.4261058816795464,4.148641057672024,0.19170508004002434,198.08516029385592,0.09001436865582135,1.8791825734387757e-14,True,0.037799886682479134,-0.01716286647816157,2.506749228775489,0.006638951311497986,0.00692423822302325,4.265168396972585e-07,0.16478011687274685,-0.11187862151979178,0.006228669745315499,"[-1.4888352993628882, -1.5348045273886954, 1.7831149493256293, -1.695876846007717, 0.14670692986554393]",ok,0.34325591872635,1.752134316624671,0.04931426680321778,-0.7671018012733342,0.08640521916510269,"[411.87067291220393, 177.078316790516, 20548.96512844386, 230.99426399095984, 11.496741417685296]"
T2-3c,600346,0.01778279410038923,20310,6.063709039016691,6.063709039016691,True,0.027684418387504663,0.027684418387504663,0.00034341541486669234,0.49719867094112585,0.00560264854986571,ok,0.000875062356655576,4.816529119988644e-12,True,-0.0005986165775060392,1,575.3263234939116,116848.77630161344,9.843899842075102e-06,20373.069795828917,6.085368179116836,4.478058548973429e-14,True,3.9031353157806437,7.641069059542658,576.4732166009903,9.454060649440817e-06,6.995488174307267e-17,4.7077946806597915e-06,9.789348548344767e-06,-0.0035592160511295212,3.820915203753044e-05,"[0.8342084006689656, -2.4516315840753045, 0.8342084006689656, -2.4516315840753045, 18.213066539216992]",ok,6.08536817930663,3.903134517863258,9.789350549820658e-06,-0.003559216082207106,3.8209152038468674e-05,"[3126.8330362442657, 4411.791360643563, 3089.827498907259, 4359.281767432373, 10420.932093155046]"
T2-3c,600347,0.01778279410038923,16811,5.075169258794138,5.075169258794138,True,0.04801353092968382,0.04801353092968382,0.0003428765585566218,0.49454752525113466,0.010904791794225642,ok,0.0023459286199614127,1.294103713078698e-15,True,-0.00213039135867632,1,543.4935590826011,91366.70221737608,1.2430622059141449e-05,17003.688818695333,5.141237737820735,3.743880205853145e-14,True,4.69995407797344,8.48613301704688,547.9215038907303,1.0903581294699567e-05,0.0,4.764293854311031e-06,1.2171714662936051e-05,-0.012850695181935268,5.720649996599541e-05,"[0.8290387564664432, -2.45006575740796, 0.8290387564664433, -2.45006575740796, 15.372595927787263]",ok,5.141237737945505,4.6999411389180805,1.2171748172081098e-05,-0.012850695205891993,5.72064999665149e-05,"[2758.2045449855163, 3868.579651341812, 2822.8885173137637, 3960.023173287518, 7947.849454451439]"
T2-3c,600348,0.01778279410038923,236,0.145668449816562,0.145668449816562,True,0.03848796635708226,0.03848796635013436,0.00044685900673117646,0.3522754544773033,0.22886506361346368,ok,0.0010108911162144407,5.938945082245572e-14,True,0.001323384046370224,1,5.5921529151381835,13.197480879726113,0.054856232706642916,235.63591043876463,0.14551837266502704,1.595468548942769e-14,True,0.017953229845730015,0.01712675076313109,5.587914493168283,0.0035741160989089917,0.003451419079509388,4.92690076318637e-06,0.05495445872226584,0.0010313278576885576,0.0009866100284885212,"[1.770026228677007, -1.7241951046789723, 1.652735266910189, 1.4366651811101994, 0.20521274389352998]",ok,0.14417439870534404,0.4101709043634253,0.055969764045902294,0.01036280452448013,0.02295716873571527,"[165.180728471731, 128.4668916865266, 2125.1550410249697, 849.2880945588374, 241.73714109004683]"
T2-3c,600349,0.01778279410038923,20845,6.399236486505753,6.399236486505753,True,0.03885468335143594,0.037356217281030564,0.0003439506428966066,0.4980499365413477,0.003900124400920071,ok,0.0022621528570980765,9.369241493750735e-15,True,-0.0026547626191102403,1,584.0290945793323,121740.86476506184,9.203086047724457e-06,21184.789942689513,6.516107455743612,4.107825191113079e-15,True,4.672919301513964,8.776631734675307,589.7323206393025,7.661080899544139e-06,4.489174586730926e-17,4.9197391337110054e-06,8.950616667719422e-06,-0.017935703183476925,4.182550938703869e-05,"[0.8140477033508259, -2.445710237494599, -0.8140477033508259, 2.445710237494599, 19.672503672610578]",ok,6.516107454969106,4.6729169734987845,8.95062112772078e-06,-0.01793570306674863,4.182550939108327e-05,"[2861.1309816746652, 4018.131298141621, 2837.7545257463044, 3985.206054145096, 9339.09425441107]"
T2-3c,600350,0.01778279410038923,16461,4.974727323611035,4.974727323611035,True,0.03742015318455094,0.0374201531639787,0.0003423616246386008,0.4998302764736355,0.0003390822649435526,ok,0.001378706646022465,6.38378239159465e-16,True,-0.001461502217734889,1,594.1951459394049,97810.46297308545,1.1582083667352166e-05,16587.87900977012,5.018165827528471,3.6133422642858903e-14,True,4.153166204680652,7.6606986319304555,597.4083909978806,1.1410812153561966e-05,0.0,4.891501279267063e-06,1.1420069624422027e-05,-0.00865625119025415,4.7429447219249625e-05,"[0.8168141650093478, -2.4464936929597942, -0.8168141650093478, 2.4464936929597942, 15.023977234720586]",ok,5.01816582736754,4.153166196991699,1.142006964532627e-05,-0.008656251158461914,4.742944721826005e-05,"[2847.095189583239, 4274.234232028637, 2849.1699532964935, 4277.3742164383475, 8467.53009776776]"
T2-3c,600351,0.01778279410038923,35,0.0217950658918352,0.0217950658918352,True,0.019229600341959478,0.01922960033847519,7.545486921647088e-05,0.4525241298020653,4.124259323548086,ok,1.2310577029503769,9.40756126428452e-15,True,0.6991439521547649,14,1.7340084229008936,0.6069029480153129,0.19965393843417176,15.047212638935878,0.019399275273532322,9.645029322739515e-14,True,-0.013647156838713075,-0.005646659423185615,1.8596140921790607,0.07793034538709145,0.07920534978514891,6.691091460044162e-06,0.2091601460479507,0.12349897532366105,-0.002854441317524516,"[1.8440090402249691, -1.6234423989362894, 1.4489086155997164, 1.6461275211021245, 0.03441747707189537]",no_switch_in_range,,,,,,"[405.71801363331906, 1375.5694289690832, 278.4686677174061, 373.44051545113155, 15.268038137222044]"
T2-3c,600352,0.01778279410038923,93,0.0634927179821353,0.0634927179821353,True,0.02788749434412153,0.027887494334455233,0.00038701330051826155,0.39370247226975946,0.03401944944918107,ok,0.3226243772202335,3.8578926864077726e-11,True,0.2982897264984403,19,2.713876315829101,2.523904973721064,0.22460112183185968,55.25928073139946,0.04410743514195253,2.0138838513483748e-14,True,0.0507174372486094,0.025331380869243064,2.5099602621179735,0.0037397211296647187,0.0035820111331117043,8.033477250094276e-07,0.34958053346881535,0.43950147583495647,0.017729828769540042,"[1.7402866092123488, -1.7129829246524162, 1.5866291498698035, 1.4582878993466624, 0.06292643805658647]",no_switch_in_range,,,,,,"[142.3354017674655, 196.90161619081198, 403.4123794903806, 1057.574160707145, 11.790284666308818]"
T2-3c,600353,0.01778279410038923,17578,5.227076668038994,5.227076668038994,True,0.005656928496351618,0.005656928496351618,0.00034292657841620053,0.4974403540494125,0.005119158320040367,ok,0.0011558469222837653,1.6778982717124968e-12,True,-0.0009912821442705777,1,663.038636560219,116548.93153455529,9.894718421298843e-06,17670.78732414,5.258895907626719,1.5378323614534395e-15,True,4.115592786555568,7.7023986635256625,665.5314735915122,1.0612926852307226e-05,-7.367322033684646e-17,4.746058307896069e-06,9.798012138138258e-06,-0.006050555125378998,4.032462807830571e-05,"[0.830812219631633, -2.450599161020296, -0.8308122196316329, 2.450599161020296, 15.792771408331603]",ok,5.258895907420704,4.115591612257784,9.798014936644029e-06,-0.006050555086441256,4.032462809002865e-05,"[3303.638600681475, 4837.49172238616, 3267.6348926772002, 4784.362712984306, 9564.199504069376]"
