a,seed,reproduced,sqrt_v_w1,sqrt_v_b1,sqrt_v_b2
1.5,300005,True,0.010931461901852414,0.00872628231911629,0.022265837565979826
1.5,300007,True,0.013240724698326906,0.012551325291871165,0.010261287476029475
1.5,300008,True,0.006067295016713837,0.013995798125642039,0.03317422824031383
1.5,300009,True,0.004303285639958534,0.030490492784625674,0.029852740126393666
1.5,300010,True,0.015483235251073814,0.01116728657181541,0.010511973818523828
1.5,300011,True,0.01135246884903536,0.010024691607696284,0.02245929731446022
1.5,300012,True,0.01633153646015517,0.007276001387995697,0.012330095213416516
1.5,300013,True,0.009315496893179662,0.008847050015805654,0.013740628153960155
1.5,300014,True,0.012299438025987142,0.010532406814598896,0.01193301349889407
1.5,300015,True,0.015218249008348438,0.00745489884930163,0.013129808689005892
1.5,300016,True,0.016361276419333805,0.006495244438501098,0.012712767149598873
1.5,300017,True,0.003353414324101084,0.014036679096610443,0.027238635039778424
1.5,300018,True,0.01333385333463879,0.012317854076763423,0.010364591235810712
1.5,300019,True,0.015158045803814153,0.011238619741918405,0.010362992175298739
1.5,300020,True,0.015437082895300757,0.009215765687551444,0.011217232086889994
1.5,300021,True,0.00690388177352868,0.013306905544092489,0.015110232330365413
1.5,300022,True,0.007436738480888591,0.015764482510630815,0.028472073117038695
1.5,300023,True,0.001291228102452659,0.016071514854496014,0.03422303339525417
1.5,300024,True,0.021955931420577748,0.007618300633299485,0.013644337092380006
1.5,300025,True,0.012629993727530315,0.009858097063591031,0.011759387369874018
1.5,300026,True,0.015436678403045674,0.019042834428200713,0.024920349261874954
1.5,300027,True,0.01552596530781516,0.027283424600062306,0.02733741040095157
1.5,300029,True,0.017065920301871408,0.005720283055604027,0.012739275773230235
1.5,300030,True,0.004484588358596275,0.014219955074872736,0.03138644116565186
1.5,300031,True,0.019198404006734674,0.01454459937941129,0.029452958740661325
1.5,300032,True,0.03944427811773565,0.006386662847119411,0.01744460319657504
1.5,300033,True,0.024329857820050982,0.016358521596650095,0.021685053150442304
