set,a,seed,arm,w1,b1,w2,reproduced
lag1,1.3,300019,0.5,0.8312568132226108,-2.4507565586043483,5.071561247392835,True
lag1,1.3,300020,0.5,0.8328057772670978,-2.4512816511332804,5.194418853977718,True
lag1,1.3,300021,0.5,-0.8400894793533195,2.453562376806359,-5.059153959364048,True
lag1,1.3,300022,0.5,-0.8348047245188885,2.451843034681445,-5.017576285196004,True
lag1,1.3,300023,0.5,0.8350923421970247,-2.4519522426500115,5.133606370412104,True
lag1,1.3,300024,0.5,-0.8390731917163086,2.453198602580162,-5.036448284137942,True
lag1,1.3,300025,0.5,-0.8308187417212889,-2.4506280499467037,5.254210656281961,True
lag1,1.3,300026,0.5,0.8312156485158112,2.450745447114474,-5.242190647201765,True
lag1,1.3,300027,0.5,-0.8383315930690856,2.4529490536820573,-5.046482289054761,True
lag1,1.3,300029,0.5,0.837012920757901,2.4525475076831493,-5.077839628282912,True
lag1,1.3,300030,0.5,-0.8321009085181061,-2.4509969391973003,5.369230541970829,True
lag1,1.3,300031,0.5,-0.8348251006601028,2.451850827864082,-5.099171817311664,True
lag1,1.3,300032,0.5,-0.8350111713509939,-2.451921050831278,5.022214201959253,True
lag1,1.3,300033,0.5,0.8371971090044592,2.4526125283390736,-4.981548431551651,True
lag1,1.3,300034,0.5,0.8265947711443441,-2.449395882124807,5.20451039325906,True
lag1,1.3,300035,0.5,-0.8312793929428514,-2.450753248294521,4.934221185119416,True
lag1,1.3,300036,0.5,-0.8341685202111064,2.4516813283527936,-5.244001784498254,True
lag1,1.3,300037,0.5,-0.8409691329602399,2.453796018221758,-4.973844082396315,True
lag1,1.3,300038,0.5,0.8351981935531322,-2.4519976538863024,5.070480339216937,True
lag1,1.3,300039,0.5,-0.8323892127849228,2.451090033514138,-5.186715981167179,True
lag1,1.3,300040,0.5,-0.8350745935507209,-2.451950974859813,4.994560722284193,True
lag1,1.3,300041,0.5,-0.8356030800208213,2.4521588090192092,-5.054979432460772,True
lag1,1.3,300042,0.5,-0.8343633028215314,-2.451783318216049,5.2428136771289315,True
lag1,1.3,300043,0.5,0.8345408591276781,2.451809610074305,-5.094693619004195,True
lag1,1.3,300044,0.5,-0.8328093190766667,-2.451236366127395,5.274081712979923,True
lag1,1.3,300045,0.5,0.8337357221805963,-2.451567610864158,5.1191387001290245,True
lag1,1.3,300046,0.5,0.8347733521655147,2.4518675050753114,-5.249239725742116,True
lag1,1.3,300047,0.5,0.8287453127992902,-2.450019403548293,5.387515047888339,True
lag1,1.3,300048,0.5,0.8361953346158946,-2.4522865436421473,5.16769233257013,True
lag1,1.3,300049,0.5,-0.8396363319374922,2.453362947366977,-4.963140024110874,True
lag1,1.5,300000,0.5,1.020300178500383,2.291014962392457,-2.554662560647923,True
lag1,1.5,300001,0.5,-1.0175296693303952,2.290129352948989,-2.7443358082459843,True
lag1,1.5,300002,0.5,1.0160189044153956,2.289914457366974,-2.6261649878033912,True
lag1,1.5,300003,0.5,-1.024841274848526,-2.29223505093482,2.5930074336749733,True
lag1,1.5,300004,0.5,-1.0339019922406048,-2.2949365545256457,2.4597430049567826,True
lag1,1.5,300005,0.5,1.022418210395652,-2.2915374313060597,2.784242005579359,True
lag1,1.5,300007,0.5,1.0285985462367777,-2.293787818177248,2.616287257088634,True
lag1,1.5,300008,0.5,1.0269712575620444,2.2929428832142613,-2.7118862814669256,True
lag1,1.5,300009,0.5,-1.0210690221483465,2.291206422563081,-2.7985555339496706,True
lag1,1.5,300010,0.5,1.0292542096979038,2.2937178970588072,-2.673001931439104,True
lag1,1.5,300011,0.5,-1.0238631971435983,-2.292183891937854,2.628527150351986,True
lag1,1.5,300012,0.5,-1.0188774651675965,-2.290771998145009,2.7030102036844363,True
lag1,1.5,300013,0.5,-1.0262619521591831,2.293009104328691,-2.7012608291755016,True
lag1,1.5,300014,0.5,-1.0154939889946255,-2.289560664356045,2.8083979413788036,True
lag1,1.5,300015,0.5,1.022705796520155,2.291708541604155,-2.6949583357635554,True
lag1,1.5,300016,0.5,-1.0256736639047983,2.292551175292492,-2.6181737860219725,True
lag1,1.5,300017,0.5,-1.0214150734680143,-2.291309780702996,2.712497896636815,True
lag1,1.5,300018,0.5,1.025151499809578,2.2925800869058532,-2.6751355796801346,True
lag1,1.5,300019,0.5,1.0192426243214932,-2.2909529052020283,2.6568012263596095,True
lag1,1.5,300020,0.5,1.021674005001994,-2.2914128224593395,2.716289319270901,True
lag1,1.5,300021,0.5,-1.0307777359475787,2.2939870671856983,-2.651134102471171,True
lag1,1.5,300022,0.5,-1.024064552546029,2.2919928177601196,-2.6320376883153,True
lag1,1.5,300023,0.5,1.02445785712236,-2.292119804533912,2.690193310938157,True
lag1,1.5,300024,0.5,-1.0293012920682552,2.2936133956501665,-2.6398928764504173,True
lag1,1.5,300025,0.5,-1.0190160398197317,-2.290760846914992,2.7515402260696495,True
lag1,1.5,300026,0.5,1.01957077096712,2.2908718026354866,-2.7587507699378655,True
lag1,1.5,300027,0.5,-1.0281798859331992,2.2931699982499554,-2.658454189605945,True
lag1,1.5,300029,0.5,1.026899514675794,2.2929120262446316,-2.6550263288721525,True
lag1,1.5,300030,0.5,-1.0208860171626015,-2.2910943750049992,2.809925352449267,True
lag1,1.5,300031,0.5,-1.0239928321726768,2.2920112358349125,-2.6637949851243836,True
lag1,1.5,300032,0.5,-1.024275262947998,-2.29204122620232,2.587144969260133,True
lag1,1.5,300033,0.5,1.0271097601894186,2.2928893839190523,-2.594996881403703,True
lag1,1.5,300034,0.5,1.0137557371238644,-2.289129660977373,2.710172222836897,True
lag1,1.5,300035,0.5,-1.0195754501105485,-2.290831255035373,2.567877370940936,True
lag1,1.5,300036,0.5,-1.0231407820721483,2.2918862801552433,-2.7648706632545252,True
lag1,1.5,300037,0.5,-1.031659597417555,2.2942677687420208,-2.6177011813119666,True
lag1,1.5,300038,0.5,1.0244062755811958,-2.2920885378593807,2.629820573276288,True
lag1,1.5,300039,0.5,-1.021044941267402,2.291161293542438,-2.7058122222541963,True
lag1,1.5,300040,0.5,-1.0243533161972933,-2.292081291291321,2.619486603741686,True
