act,seed,s_cross,grad_at_cross,dist_to_branch,s_branch,placed_at_cross_on_branch,note
silu,850084,3.8091441478392927,1.8865117801247777e-17,0.08035651977827585,3.5832162533633025,True,
silu,850086,3.7408014627519575,1.9949319973733282e-17,0.13120424146073034,3.8083666639275915,False,
silu,850087,4.182707773229366,3.2851325826310784e-17,0.10834711217464352,4.257238639891209,False,
silu,850088,3.8983828366353217,3.859759734048396e-17,0.10855244076917878,3.9065215197973773,False,
silu,850089,4.79381900955387,2.1250362580715887e-17,0.11990223985438092,4.791427074104462,True,
silu,850091,3.568953843673101,4.1856709070975384e-14,0.052367373900100996,3.3098443964368567,True,
silu,850092,4.371906574196948,4.228388472693467e-17,0.042418871283368124,4.347390649117337,True,
silu,850093,4.109148887833791,7.450637329320386e-16,0.053727715616316604,3.8770764937682074,True,
silu,850094,4.235757147473541,2.168404344971009e-17,0.09182456404020228,3.9142056401608603,True,
silu,850095,5.280951935933568,9.572876345786963e-14,0.0548273113445436,5.266897009836988,True,
silu,850096,3.9856060037156897,3.230922474006803e-17,0.08656699271871315,4.024541316760411,False,
silu,850097,3.200537275697059,3.382710778154774e-17,0.049435761563929655,3.202608912526208,False,
silu,850099,3.5320674366206677,7.149489333890813e-14,0.04162761636243212,3.4640874804372004,True,
silu,850100,4.009112640118838,6.938893903907228e-17,0.14211631041209594,4.017624418877782,False,
silu,850101,3.4812277053833443,5.551115123125783e-17,0.14821476379110732,3.5024871193275664,False,
silu,850102,4.312073523425404,1.2902005852577503e-17,0.08920112728248158,4.322776066749996,False,
silu,850106,3.185135283002197,1.474514954580286e-17,0.005462385677367212,3.136902597059589,True,
silu,850107,4.044533749934468,2.211772431870429e-17,0.07824937682769345,4.036445423010847,True,
silu,850108,3.788570494131246,1.9949319973733282e-17,0.29050698762865323,3.5647859292311095,True,
silu,850109,3.5228544345221837,6.201636426617085e-17,0.13659194277850287,3.3529372738184198,True,
silu,850110,3.8843545594334903,4.119968255444917e-17,0.10691507330324762,3.9139578267713606,False,
silu,850111,3.2123454402399014,2.7690523485279783e-16,0.1628868984087749,3.2628130948409813,False,
silu,850113,4.243940498977898,3.0791341698588326e-17,0.08493963017997568,4.326178826263277,False,
silu,850115,3.491555883233609,3.144186300207963e-17,0.06937255703973241,3.462369723810497,True,
silu,850116,3.669655823657018,5.849270720559296e-17,0.39188899756584344,3.210458358774605,True,
silu,850117,3.862797812988228,2.949029909160572e-17,0.08664856401347046,3.4679617584749254,True,
silu,850120,3.0181994132749503,4.683753385137379e-17,0.12227998649533502,3.051662547917932,False,
silu,850121,4.160096112275113,3.686287386450715e-16,0.16913092883319444,3.7696008412830144,True,
silu,850122,3.346380297044517,1.8648277366750676e-17,0.0795632573362633,3.0152688341483316,True,
silu,850123,4.278579015887231,1.734723475976807e-17,0.07295330717899876,4.307118109377907,False,
silu,850124,3.4119016372133197,2.42861286636753e-17,0.05751012078293748,3.131382145130065,True,
silu,850125,4.089111387305981,1.5612511283791264e-17,0.1094841580716192,3.5982506465566217,True,
silu,850128,3.636308767852377,6.754579534584693e-16,0.09034672511125591,3.2638605617022094,True,
silu,850130,3.059131343975985,2.1467203015212988e-17,0.1326087127776332,2.8644829980506774,True,
silu,850133,3.3140262924769788,5.065392549852277e-15,0.200883658188552,3.1565888985103694,True,
silu,850134,4.287712018347216,9.540979117872439e-18,0.07086463164299289,4.227671867900752,True,
