act,seed,s_cross,grad_at_cross,dist_to_branch,s_branch_init,note_init,w2_init,placed_at_cross_on_branch,s_branch,final
gelu,850083,0.357671856880188,6.55915209299418e-16,3.5345156078564943,,no sign change within 400 steps,-0.357671856880188,,,True
gelu,850084,0.7966989278793335,1.3010426069826053e-17,20.676642350555273,6.495438091674644,,0.7966989278793335,False,6.495437149681135,True
gelu,850086,0.13489675521850586,1.8648277366750676e-17,209.55646548395325,,continuation lost at s=0.1362,0.13489675521850586,,7.115345955505983,False
gelu,850087,0.47565674781799316,2.992397996059992e-17,2.566025931482573,,continuation lost at s=25.2070,-0.47565674781799316,,7.802157980783862,False
gelu,850088,0.24376273155212402,2.4470226192563338e-14,125.87923424487103,,continuation lost at s=0.2462,0.24376273155212402,,7.080664992538298,False
gelu,850089,0.3043142557144165,6.393149898364925e-14,7.24989685032469,,continuation lost at s=0.5753,-0.3043142557144165,,8.436224267466873,False
gelu,850091,0.5218119621276855,8.368563376721493e-14,43.483265367586256,,continuation lost at s=0.5270,0.5218119621276855,,5.970710324372476,False
gelu,850092,0.40682506561279297,2.3332030751888055e-15,71.89469199669679,,continuation lost at s=0.4109,0.40682506561279297,,7.766159454331067,False
gelu,850093,0.6607282161712646,4.9509008004378074e-15,27.499613524935416,7.02981646231256,,0.6607282161712646,False,7.029818453329062,True
gelu,850094,0.8938596248626709,2.371150151225798e-16,16.08606080125899,7.9274547233321035,,0.8938596248626709,False,6.69387616678123,False
gelu,850095,0.20267236232757568,1.138759225804975e-14,153.89957027504622,,continuation lost at s=0.2047,0.20267236232757568,,,True
gelu,850096,0.5462557077407837,2.5153490401663703e-17,38.45516146585925,7.271055867743479,,0.5462557077407837,False,7.271056748026441,True
gelu,850099,0.30599355697631836,7.298718920911718e-14,1.5442473774468213,,no sign change within 400 steps,0.30599355697631836,,6.302626931394876,False
gelu,850100,0.12136149406433105,8.673617379884035e-19,242.5187411900319,,continuation lost at s=0.1226,0.12136149406433105,,7.192375720647439,False
gelu,850101,0.006360888481140137,2.3282916393474462e-14,21.18171505667384,,no sign change within 400 steps,-0.006360888481140137,,6.378340397176569,False
gelu,850102,0.2677041292190552,6.7801667058553505e-15,2.2811187675799967,,no sign change within 400 steps,-0.2677041292190552,,7.583114264184572,False
gelu,850104,0.6342898607254028,8.742467221155379e-06,0.7877415491773141,,no branch point at the crossing,-0.6342898607254028,,6.7052651004523245,False
gelu,850106,0.36885952949523926,4.807337202752601e-08,2.2831684414209015,,no branch point at the crossing,-0.36885952949523926,,,True
gelu,850107,0.07907414436340332,,,,gap undecided at the cell cap,0.07907414436340332,,7.034610866813626,False
gelu,850108,0.8438550233840942,9.020562075079397e-17,18.558414937556453,6.966536605677517,,0.8438550233840942,False,6.422985203737246,False
gelu,850109,0.9195261001586914,3.642919299551295e-16,0.39353712606391617,7.284666540263496,,0.9195261001586914,False,6.354465586610205,False
gelu,850110,0.6036145687103271,4.577631676494498e-14,1.7192817935036837,,continuation lost at s=16.7532,-0.6036145687103271,,7.068922999930074,False
gelu,850111,0.3303576707839966,1.5178830414797062e-17,2.7515955054854704,,no sign change within 400 steps,-0.3303576707839966,,5.989127107190452,False
gelu,850113,0.17791128158569336,2.6767216915191128e-14,193.58817502866128,,continuation lost at s=0.1797,0.17791128158569336,,7.793684579371423,False
gelu,850115,0.56768798828125,1.805847138491856e-15,34.900959328858896,6.1305226041197525,,0.56768798828125,False,6.130524798578875,True
gelu,850116,0.7030173540115356,2.3207130661617725e-14,0.9741526057161304,0.7171477861378586,,0.7030173540115356,False,5.8895920840535405,False
gelu,850117,0.5990157127380371,9.107298248878237e-17,31.264354800603652,6.318934996257857,,0.5990157127380371,False,6.31893745261573,True
gelu,850120,0.44695496559143066,2.6281060661048627e-15,2.3480575790620315,,no sign change within 400 steps,-0.44695496559143066,,5.608904177664792,False
gelu,850121,0.6318869590759277,1.986258379993444e-15,32.34732225243543,6.968304601947509,,0.6318869590759277,False,6.707782342429466,False
gelu,850122,0.8883702754974365,3.0146024565524954e-14,1.8199340582463175,1.2837625951424827,,0.8883702754974365,False,5.588403305674953,False
gelu,850123,0.03568994998931885,6.158268339717665e-17,12.379979241057073,,continuation lost at s=1.4032,-0.03568994998931885,,7.693892842930474,False
gelu,850124,0.5148395299911499,3.350184712980209e-17,62.638840253861794,,continuation lost at s=0.5200,0.5148395299911499,,5.885395801817975,False
gelu,850125,0.7768857479095459,1.1168262897272709e-17,1.554164696426322,0.8412556874416894,,0.7768857479095459,False,6.681299539295492,False
gelu,850128,0.5509724617004395,8.357081167495103e-17,47.881786197032234,,continuation lost at s=0.5565,0.5509724617004395,,5.988659378626393,False
gelu,850130,0.6667739152908325,1.1785850540038398e-12,0.9737936879984047,5.025940561904738,,0.6667739152908325,False,,False
gelu,850133,0.9724701642990112,6.435824095873954e-16,13.359889305604966,5.8378863826293,,0.9724701642990112,False,5.837885704357087,True
gelu,850134,0.6048270463943481,3.281055982462533e-14,40.467545237576836,,continuation lost at s=0.6109,0.6048270463943481,,7.784966773606196,False
gelu,850136,0.20852458477020264,3.1496073110703904e-16,1.9589721703792917,,no sign change within 400 steps,-0.20852458477020264,,6.494606043483122,False
gelu,850138,0.6173152923583984,4.2327252813834093e-16,1.1280307719749953,,no sign change within 400 steps,0.6173152923583984,,7.899022284200262,False
gelu,850139,0.5421656370162964,7.806255641895632e-18,32.94747965528441,6.242609516973055,,0.5421656370162964,False,6.242606907599816,True
gelu,850141,0.6353880167007446,1.3270634591222574e-16,10.07654342944258,,continuation lost at s=1.0244,-0.6353880167007446,,5.957375711124285,False
gelu,850143,0.283231258392334,1.6132928326584306e-15,2.012918463098328,,no sign change within 400 steps,-0.283231258392334,,5.840068161907084,False
gelu,850144,0.9809330701828003,1.5959455978986625e-16,0.6663296400432819,1.1733402611868855,,0.9809330701828003,False,7.438604119565442,False
gelu,850147,0.428352952003479,3.018334433098867e-07,0.9518865030609492,,no branch point at the crossing,0.428352952003479,,5.998074719743695,False
gelu,850149,0.19653117656707764,7.963995370292853e-10,1.298076201451204,3.2513126189463035,,0.19653117656707764,False,8.678174882169172,False
gelu,850150,0.035018205642700195,4.7704895589362195e-18,4.1396952127213344,,no sign change within 400 steps,-0.035018205642700195,,7.438267762939958,False
gelu,850151,0.5542399883270264,6.765421556309548e-17,36.144330928113156,6.01759795982885,,0.5542399883270264,False,7.162782704994266,False
gelu,850152,0.5252950191497803,5.974387651264124e-15,1.1384649798965514,,no sign change within 400 steps,0.5252950191497803,,6.319790251153722,False
gelu,850154,0.056674957275390625,3.009871834649531e-16,5.849563880447775,,no sign change within 400 steps,-0.056674957275390625,,7.558401956937944,False
gelu,850156,0.8052353858947754,5.204170427930421e-18,24.337309779497534,8.067318762048197,,0.8052353858947754,False,8.067317881317361,True
gelu,850157,0.2496243715286255,8.174762407796299e-14,3.3775767736985656,,no sign change within 400 steps,-0.2496243715286255,,6.854280585260263,False
gelu,850159,0.3854658603668213,2.42861286636753e-17,2.944755775784006,,no sign change within 400 steps,-0.3854658603668213,,,True
gelu,850160,0.3020855188369751,2.181935188083628e-14,1.9843376995837592,,no sign change within 400 steps,0.3020855188369751,,6.631301913421875,False
gelu,850162,0.7770214080810547,6.071532165918825e-16,18.5513158060438,6.051882400545731,,0.7770214080810547,False,6.5135715775519,False
gelu,850163,0.3704584836959839,1.2731135590193787e-14,69.04933104706123,,continuation lost at s=0.3742,0.3704584836959839,,7.640242388106644,False
gelu,850164,0.9411985874176025,8.803721640582296e-17,17.5716244644655,6.1476276814384825,,0.9411985874176025,False,6.1476258144404055,True
gelu,850165,0.47809338569641113,1.0408340855860843e-17,1.796708536193119,3.902316338818066,,0.47809338569641113,False,7.5589119633511075,False
gelu,850166,0.9936367273330688,1.5959455978986625e-16,1.561828257532322,,no sign change within 400 steps,0.9936367273330688,,5.401035338543396,False
gelu,850168,0.5783342123031616,1.691355389077387e-17,2.479684213088969,,continuation lost at s=25.1177,-0.5783342123031616,,5.478673166213236,False
gelu,850169,0.6638238430023193,4.27701198704028e-07,2.9546401551554107,,no branch point at the crossing,-0.6638238430023193,,,True
gelu,850170,0.5520548820495605,1.0408340855860843e-17,0.9462773766646067,1.9926881657954443,,0.5520548820495605,False,6.6272655767746445,False
gelu,850171,0.40441668033599854,2.5227216149392717e-15,46.7705323577858,,continuation lost at s=0.4085,0.40441668033599854,,6.959654136499392,False
gelu,850174,0.5910263061523438,1.132557589378358e-14,29.179147340908738,7.669304540321312,,0.5910263061523438,False,7.6693041811102844,True
gelu,850175,0.8916358947753906,8.89913143176102e-15,18.19177205565437,7.264980656104996,,0.8916358947753906,False,5.166920797789841,False
gelu,850176,0.11857295036315918,6.920397334008008e-14,15.308518799715996,,no sign change within 400 steps,0.11857295036315918,,,True
gelu,850177,0.055077314376831055,2.3713561496385704e-14,3.0203061274282708,,no sign change within 400 steps,-0.055077314376831055,,6.353796791780523,False
gelu,850179,0.08041274547576904,,,,gap undecided at the cell cap,0.08041274547576904,,5.524638168646344,False
gelu,850180,0.7646074295043945,8.121107952785422e-15,3.7710799519869114,,no sign change within 400 steps,-0.7646074295043945,,,True
gelu,850181,0.3865436315536499,2.261212050935768e-15,58.3112719095032,,continuation lost at s=0.3904,0.3865436315536499,,7.012462972290353,False
gelu,850182,0.3542288541793823,2.1614654510671016e-15,0.9966919775674707,1.7233847060675642,,0.3542288541793823,False,5.891265457538097,False
gelu,850183,0.7403098344802856,2.656295322589486e-18,24.014422984238575,6.624461070282605,,0.7403098344802856,False,7.124597326684431,False
gelu,850184,0.35633230209350586,2.2985086056692694e-16,74.94450314873276,,continuation lost at s=0.3599,0.35633230209350586,,8.086656358002177,False
gelu,850185,0.29547739028930664,9.194034422677078e-17,82.03702392645133,,continuation lost at s=0.2984,0.29547739028930664,,7.038377573320482,False
gelu,850186,0.0072051286697387695,,,,gap undecided at the cell cap,0.0072051286697387695,,5.364789836946734,False
gelu,850188,0.38608431816101074,7.533860688080374e-14,6.73911130608916,,continuation lost at s=1.5242,-0.38608431816101074,,,True
gelu,850189,0.5966778993606567,9.540979117872439e-17,28.53271048463648,6.8936979790266175,,0.5966778993606567,False,6.893696196307028,True
gelu,850191,0.5792609453201294,5.375908052052125e-15,46.099728096562295,,continuation lost at s=0.5851,0.5792609453201294,,8.19743333048155,False
gelu,850193,0.3116636276245117,2.377286735522066e-14,2.1267319511606355,,no sign change within 400 steps,-0.3116636276245117,,7.024719684588453,False
gelu,850196,0.6503663063049316,1.8665624601510444e-14,1.899275146741424,0.9305235277991433,,0.6503663063049316,False,6.97194879037648,False
gelu,850197,0.596132755279541,3.165870343657673e-17,36.332731649086654,7.038663985568729,,0.596132755279541,False,7.038663939450585,True
gelu,850198,0.34314703941345215,6.938893903907228e-18,87.71393833944232,,continuation lost at s=0.3466,0.34314703941345215,,6.281578563361328,False
gelu,850199,0.6327382326126099,6.4462176102651064e-12,28.778746778430545,6.577640404961873,,0.6327382326126099,False,6.577639372879342,True
