seed,crossed,step,s_cross,q
46,True,215,2.2306491182347514,"[0.6722585806960782, -0.4009794500422127, -1.075821577234839, 1.6261019153150094, -1.5198595501860888, 1.1548275409999125, 0.6022568874652049]"
47,True,142,2.488413937262494,"[-0.5713960281279964, 0.6606639133577852, 1.263032267028686, 1.5848481721374896, -1.6328418986958833, 1.2253816702338076, -0.005529921546108068]"
48,True,86,1.3229827120254865,"[1.2902989568264311, 1.7192541494529001, -0.7540941907013087, -0.597577238994133, -0.6951333382563025, -0.5688885213241778, 0.6242815303602862]"
49,True,47,1.0496710569613137,"[-0.6721748328205017, 0.5756719403328019, -0.509550485002818, -0.5772751790747731, 0.14770809528705134, 0.5401205719584957, -0.19915327046977235]"
50,True,459,1.3014366469229948,"[1.7763000459513965, 0.20252231004545396, -0.5442828220072106, 1.7514140612873683, -0.8941672446007863, 0.7571538249157842, 0.278407770689173]"
51,True,99,0.3647439367468468,"[0.18219622455277462, 0.5915076714110146, -0.2631985170889218, 0.4619650596210939, -0.4837465458630518, 0.10154541965792503, 0.43886787687179185]"
52,True,122,3.220202175889341,"[1.6781049660556435, -1.3369997387250219, 1.5417026100338098, 0.7078934823825023, -0.4244400423917509, -1.6784995658555313, 0.27919808251906686]"
53,True,153,1.8203925502520444,"[1.4956435645689767, -1.7951362774255686, 1.0843093592508284, -0.6953359014199011, 0.5408580075402404, 0.7360831910012159, 1.0810716814015424]"
54,True,110,2.338368609049814,"[-0.643386899672865, 0.5511654242023548, 1.1669170748988595, -1.537247569459835, 1.492057402368461, -1.1714515341509546, 0.24186077364193698]"
55,True,444,2.318091466986491,"[-0.6733073373888018, 0.4502136810412605, 1.124985838227671, 1.608186779083843, -1.5114865425509454, 1.1931056287588204, 0.45708626012999637]"
56,True,480,1.9874035732883852,"[1.6073213476157484, -1.5540923735823244, 1.0551230057465084, -0.6909789952624, 0.43965443201864274, 0.9322805675418769, 0.4747962560764414]"
57,True,87,1.9716458600148035,"[1.5448244524306063, -1.6047837131644054, 1.1185024353060062, 0.7027740616432239, -0.3094651924080382, -0.8531434247087971, 0.9119737078954852]"
58,True,1,1.502267109246131,"[0.4824462826597296, -0.8505729186983414, 0.8531734492559887, 0.7579591033608507, 0.9254491597354562, -0.6490936599901425, -0.12696207560814646]"
59,True,85,1.321469167149813,"[-1.176419740023835, -0.534683755642603, 0.5360505352633494, -1.3619201366634084, 1.1230730450276651, -0.7854186318864635, 0.7586675377361769]"
60,True,226,2.290449132592837,"[-0.45821808257726176, 0.7496152013479199, 1.038751064170324, 1.3918136603820312, -1.8706187909080918, 1.2516980684225132, 0.7345341395502002]"
61,True,284,1.569908058326899,"[1.543901937574884, -1.7079441293088298, 0.9465832981766233, 0.7280506093538566, -0.23857050335686897, -0.6233247601502756, 0.9495022298997398]"
62,True,145,1.4738596027302604,"[-0.8586188459521046, -0.38611352627726875, 0.5758101326353547, 1.0896847537871044, -1.2860021512599042, 0.8980494700949057, 1.5059273037607124]"
63,True,149,2.32602993326544,"[1.4143647012463572, -1.8882917658766392, 1.166525335506931, 0.34735530110743223, -0.5509072864065793, -1.1595045977585092, 0.7675914322364498]"
64,True,81,1.7040097430408623,"[-0.6141207212508228, 0.13529214228084052, 0.8133715029253502, -1.2225926073174735, 1.3333736679344825, -0.8906382401155122, 0.9132945957870292]"
65,True,180,2.3136055463151926,"[0.41362770649780173, -0.6913520987109804, -1.112078498374854, 1.3379890449542546, -1.8092415116420364, 1.2015270479403386, 0.5993645572538499]"
66,True,265,1.9025966007403325,"[1.5003039296995007, -1.4337022125999204, 0.914237927235743, 0.556353989468633, -0.23554732351580238, -0.9883586735045895, 0.6637108652109135]"
67,True,147,1.0241108731098665,"[0.8166799725658479, 0.8550432448889584, -0.40252573861660096, -1.5416958742502316, 1.6980454435421464, -0.6215851344932656, 1.4185723069941865]"
68,True,224,3.057519397993468,"[-0.450241361348294, 0.7202471495499213, 1.5592528273911355, -1.3343827719680867, 1.6808142093996128, -1.4982665706023326, 0.2983446833963183]"
69,True,99,1.3789135156925174,"[1.288415790548124, 1.810011919639381, -0.8339930425786265, 0.5440160138413463, 0.4765078347477693, 0.5449204731138908, 1.0944529520928445]"
