seed,newton_res,s_frozen,branch_w1,branch_b1,w2_own_lo,w2_own_hi,w2_own,own_evals,note
1650049,3.2862601528904633e-16,2.017606491243122,-1.1229406357543397,-2.1770304412074326,1.623856,1.630106,1.626981,9,
1650050,1.7763568394002506e-16,1.7840934403029327,-1.125268308672553,-2.2060043501159092,1.784093,1.790343,1.787218,6,
1650051,7.105427357601002e-17,2.360539365084755,-1.1642301213830448,-2.150170127841196,2.360539,2.366789,2.363664,6,
1650052,9.681144774731366e-16,1.9463483613434707,-1.1247687404189375,-2.1848766370095,1.946348,1.952598,1.949473,6,
1650053,8.79296635503124e-16,1.674047065662501,-1.1050444876504188,-2.2147789051863427,1.811547,1.817797,1.814672,7,
1650054,3.552713678800501e-17,1.7761071284869967,-1.1261603034450578,-2.207365052830015,1.776107,1.782357,1.779232,6,
1650055,1.1899814467142277e-13,1.5222943035311518,-1.1143393714020502,-2.248408194689689,2.247294,2.253544,2.250419,13,
1650056,3.1885605267234495e-15,2.027154935635839,-1.1440216195504875,-2.1801701094817307,2.020905,2.027155,2.0240299999999998,6,
1650057,1.9539925233402755e-16,1.9355217971405225,-1.1349418190629854,-2.1894058469105966,1.929272,1.935522,1.932397,6,
1650058,1.2789769243681803e-15,1.6376262476162102,-1.115340816135847,-2.223450313369281,1.962626,1.968876,1.965751,9,
1650059,5.289990667733946e-14,1.6746509092883266,-1.1038022546721526,-2.214184908115189,1.937151,1.943401,1.940276,8,
1650060,5.2366999625519384e-14,1.5337248516380195,-1.1000043291765182,-2.232532356953062,2.164975,2.171225,2.1681,12,
1650061,1.056932319443149e-15,1.5663967074097234,-1.0934902431525753,-2.226693223268709,2.003897,2.010147,2.007022,10,
1650062,1.6697754290362355e-14,1.999620801813076,-1.1404810605822868,-2.1823805930018088,1.993371,1.999621,1.996496,6,
1650063,1.1546319456101628e-16,1.6961737294686858,-1.119923386734673,-2.2160204417756257,1.933674,1.939924,1.936799,8,
1650064,9.769962616701378e-17,1.9322260382540297,-1.132650105839326,-2.1889614245890336,1.932226,1.938476,1.935351,6,
1650065,1.7763568394002506e-16,1.7299483609178266,-1.1332448691992822,-2.2155225223899464,1.942448,1.948698,1.945573,8,
1650066,1.509903313490213e-16,1.8360978229849239,-1.1228348679759428,-2.1984632698123727,1.829848,1.836098,1.832973,6,
1650067,3.375077994860476e-16,1.7686570909337842,-1.12356241461509,-2.207759869961551,1.768657,1.774907,1.771782,6,
1650068,4.1807446393704593e-13,1.5791100152975206,-1.1099425379623897,-2.231625188075354,1.57911,1.58536,1.582235,6,
1650069,1.5706547173977015e-13,1.8863087562599743,-1.1130149044205604,-2.189606571145726,1.792559,1.798809,1.795684,6,
1650070,1.4654943925052067e-16,1.7745539087763271,-1.1283765118221871,-2.2079274780884135,1.843304,1.849554,1.846429,6,
1650071,1.2700951401711791e-14,1.9439105912231929,-1.128057520333591,-2.185834348687801,1.937661,1.943911,1.9407860000000001,6,
1650072,1.509903313490213e-16,1.77877996324158,-1.1294560407540721,-2.207838289105732,1.77253,1.77878,1.775655,6,
1650073,2.0250467969162854e-15,1.9635880026424273,-1.1452240487239218,-2.188119631749664,1.963588,1.969838,1.966713,6,
1650074,1.7763568394002506e-16,1.8094740110357868,-1.1020291881108166,-2.1964920480693824,1.721974,1.728224,1.725099,6,
1650075,4.747313653297169e-15,1.976778408811362,-1.144357726961214,-2.1868058671867048,1.976778,1.983028,1.979903,6,
1650076,1.758593271006248e-15,1.6982252028251619,-1.1308969069468635,-2.222063467016558,1.698225,1.704475,1.7013500000000001,6,
1650077,7.105427357601002e-17,1.8156361176143325,-1.132063154622763,-2.2036979216572896,1.878136,1.884386,1.8812609999999999,6,
1650078,6.519229600598919e-15,1.7943536978109713,-1.1360725114474008,-2.207658849038818,1.788104,1.794354,1.791229,6,
1650079,1.7763568394002506e-16,1.989347794145461,-1.124847900839196,-2.1807121702801275,1.983098,1.989348,1.9862229999999998,6,
