opt,seed,s_frozen,t_rule,s_rule,s_run,branch_b1_rule,branch_w1_rule,winding_rule_agrees,branch_lo,branch_hi,P_w1,P_b1,P_b2,r_cf,kappa,chi,sdot,status_cf,traj_rho_max,traj_max_abs_delta,traj_T,delta0_norm,s_traj,r_traj,t_traj,status_traj,status,path_sha256,crossed,step_obs,s_obs,w2_own,r_obs,r_obs_vs_global_own,rule_before_cross
sgd,1650004,1.7469976445477533,144.0,0.8740903855000625,1.922785132993782,-2.0176061348164205,1.3197949455691518,True,0.5275932886534169,2.9698959957311466,1.0,1.0,1.0,0.0872000841261517,3.0466058055413456,0.0286220435763455,0.0024509522076915,ok,0.9568339859323138,0.2650077486257374,886.0,0.2650077486257374,2.0724927231628754,0.0778597606150606,582.0,ok,ok,49c15f5e8ebb2d3137bc6fc2690ad711981b409a0cb6aaa3948bda7d579dbd99,True,586.0,2.0815500414160004,1.925123,0.0825702808378912,0.08125560881876148,True
sgd,1650005,1.921572707613513,186.0,0.9616894530743082,1.921572707613062,-2.0432395389985136,-1.2798888918800793,True,0.5764718122840553,3.2628304575278095,1.0,1.0,1.0,0.0887769533102352,3.0466058055413456,0.0291396258579834,0.0024937002095141,ok,0.9586970525480262,0.2702396378139573,1015.0,0.2702396378139573,2.1057362121205374,0.0958399876194326,606.0,ok,ok,a95e4653b02e6c22c26f4a56b6a2a307919a43d6674da0ce4f25aa85253a87ca,True,611.0,2.117121068564626,1.918448,0.10176474727020346,0.10355926695152862,True
sgd,1650006,1.783778053127683,146.0,0.8954399096802516,1.7837780531280982,-2.0463460221794945,-1.2821108126637268,True,0.535133415938305,3.028855134210869,1.0,1.0,1.0,0.1005965086484698,3.0466058055413456,0.0330192072980032,0.0026230762049402,ok,0.95531458263993,0.2556304669812201,892.0,0.2556304669812201,1.945071103023249,0.0904221517987069,515.0,ok,ok,c553d38757154ec55a1f03e1a442acdf47695eb30da51370dbecf57bc42b357d,True,519.0,1.954684032879654,1.811903,0.09581123584957707,0.07880169792734715,True
sgd,1650007,1.7010946233544049,1043.0,0.8527271882195667,2.029600994909795,-2.0093854233834585,1.3445911193186968,True,0.5103283870063261,2.888458670455814,1.0,1.0,1.0,0.079516714213323,3.0466058055413456,0.0261000993527595,0.0023591539176264,ok,0.9582115778421813,0.2733967049118899,851.0,0.2733967049118899,2.229918891639693,0.0986981664042794,1561.0,ok,ok,6b33e16f8b72e464110d217cdb5de9307ca4b2360f390bbaf54e60cf14157ad5,True,1561.0,2.229918891639693,2.02922,0.09869816640427942,0.09890445177935003,True
sgd,1650008,1.842298260349452,,,,,,,,,,,,,,,,,,,,,,,,,never reaches the rule point,0747e8b65e3cc7495303dd105bc3d9cb3fedd6c6b081e0b539f8a59f1ab70229,False,,,1.870423,,,False
sgd,1650009,2.092119121930119,,,,,,,,,,,,,,,,,,,,,,,,,never reaches the rule point,7d07f15dcbe7f8977094a75b24ddefb0f1ffdf1cd2b07385f7e7604750eb45fd,False,,,1.738994,,,False
sgd,1650010,1.91480685428356,,,,,,,,,,,,,,,,,,,,,,,,,never reaches the rule point,345631a2b7e5041dad9b5119ebe1c0c86ddcb8e8fa46deb34ccb17ba17b6d6d9,False,,,1.786682,,,False
sgd,1650011,1.6783160339622016,368.0,0.8416214242871041,1.6783160339594554,-2.0426609084119014,-1.292058621915984,True,0.503494810188665,2.8531372577357166,1.0,1.0,1.0,0.1112324624479056,3.0466058055413456,0.0365102903190132,0.0027289305218762,ok,0.9559539667120964,0.2763538242142695,809.0,0.2763538242142695,1.8466273144328629,0.1002858085531903,710.0,ok,ok,5537231611c36aa5e16d4a6de5a97f7e2507f7e7da48be54f0660b34ad910089,True,714.0,1.8565482013567154,1.681441,0.10619702355865468,0.10414115116540845,True
sgd,1650012,1.87136043810938,163.0,0.9377315340100042,1.8713604381089652,-2.0460314418525942,-1.2739919832148594,True,0.5614081314328159,3.1813127447859295,1.0,1.0,1.0,0.0941766406671052,3.0466058055413456,0.0309119875291418,0.0025762489168989,ok,0.9567124881692386,0.2597645946688036,958.0,0.2597645946688036,2.0491527149352855,0.0950069656308336,560.0,ok,ok,af992f61d2be97afd7c04845e775d7745ae00073baf99f766a76b8dabf9e7992,True,564.0,2.0585742713026782,1.874485,0.100041568359164,0.09820791913655125,True
sgd,1650013,2.0508516410619513,984.0,1.025576278115837,2.0508516410605435,-2.039519687219273,-1.2812383662912796,True,0.6152554923185858,3.482346086523253,1.0,1.0,1.0,0.0749634399527279,3.0466058055413456,0.0246055593462009,0.0022473511442501,ok,0.9613588031264544,0.2654843264823077,1201.0,0.2654843264823077,2.226508512989081,0.0856506967211441,1467.0,ok,ok,330a688126204e832cc62d09c93b2170c110d7651b4baae8cab25f61c29040fb,True,1472.0,2.236858135153772,2.047727,0.090697196408142,0.0923614989467696,True
sgd,1650014,1.721118913144462,98.0,0.8639244650554447,1.9650256106431907,-2.0022378905507963,1.311550348126913,True,0.5197779117696258,2.922459914519304,1.0,1.0,1.0,0.0847587434433043,3.0466058055413456,0.0278207122461134,0.0024346688991709,ok,0.9575207868668236,0.2740293301946535,857.0,0.2740293301946535,2.121770279468863,0.0797672396617603,558.0,ok,ok,64e83f163f362792a51e00601416439e715823b65d235515017264bbf27ff0bd,True,562.0,2.130756498006463,1.967994,0.08434031926384167,0.08270477349344718,True
sgd,1650015,2.2552936612997425,442.0,1.127662184892759,2.2552936612958097,-2.0463990500297227,-1.238345044097391,True,0.6765880983899255,3.829488636887037,1.0,1.0,1.0,0.0666147472643266,3.0466058055413456,0.0218652334815235,0.0021961432619006,ok,0.9580423760712236,0.2228264442718965,1360.0,0.2228264442718965,2.404821698284483,0.0663009166188848,963.0,ok,ok,5a6f0d05c90792ae35d6e3900086e0d31bed4bd9cc3f8f746ae93a292f2a498e,True,967.0,2.4130108652635536,2.2521690000000003,0.06993200339024819,0.07141642801386272,True
sgd,1650016,2.063302344268758,409.0,1.0319878028410487,2.0633023442663587,-2.0424126888452565,-1.2809545754719192,True,0.6231173079691628,3.507613985256821,1.0,1.0,1.0,0.076278132375581,3.0466058055413456,0.0250370862672295,0.0023006476267488,ok,0.9610225154202722,0.2665570585887908,1186.0,0.2665570585887908,2.245971821302408,0.0885325786323381,887.0,ok,ok,a374aab9e272933d2bc21d53f686d218b475e6d46aaec118c53543fec764e513,True,892.0,2.2565313733149517,2.066427,0.09365037052642844,0.09199665573231064,True
sgd,1650017,1.7416189055686466,117.0,0.8723110954095541,1.7416189055690627,-2.0440069391150164,-1.2689897361505502,True,0.5224856716705992,2.960752139466669,1.0,1.0,1.0,0.1069052610748383,3.0466058055413456,0.0350899551495611,0.0027216946038653,ok,0.9538285426182652,0.2553246692039974,843.0,0.2553246692039974,1.9037036898565252,0.0930655861446922,468.0,ok,ok,4b9a647c3cdfd9f85c998a7a7ee34ed60bff268ff7cde0b6e90ec43dd4cf3563,True,471.0,1.9111673241441751,1.907244,0.09735104392410898,0.002057064614792381,True
sgd,1650018,2.07391699157462,284.0,1.0392106958563982,2.073916991578022,-2.0345178248175273,-1.2611528183903349,True,0.6221750974723872,3.521511051693758,1.0,1.0,1.0,0.0752773294512579,3.0466058055413456,0.0247085885920453,0.0022821424891627,ok,0.9608455846605553,0.2628543306594446,1198.0,0.2628543306594446,2.2461009019328633,0.083023530379501,762.0,ok,ok,ac512ffdb3dfcf1a4c44aa50ed5af685cea0dc62003fcbad44e87373e2a8d38e,True,767.0,2.2566186824566667,2.070792,0.08809498722493658,0.08973701002160861,True
sgd,1650019,1.724122441187519,154.0,0.8627540777638264,1.7241224411887033,-2.042042492012934,-1.2900526289409444,True,0.5206849772386294,2.931008150018728,1.0,1.0,1.0,0.1064063669769175,3.0466058055413456,0.0349262010803561,0.0026817784922865,ok,0.9569028782026902,0.2770237250062985,845.0,0.2770237250062985,1.8993980891070716,0.1016607891244218,512.0,ok,ok,d3078a5503408f7e8c7cc3f612dbf1296c3fab22cd34db0cf5a465d9bbd7e1b3,True,516.0,1.9091593177393642,1.727247,0.10732235259526379,0.10531922634074009,True
sgd,1650020,1.5916539821933298,150.0,0.7977531693375216,1.591653982191468,-2.042468674123564,-1.2754427104819928,True,0.4806795026223814,2.702628461764291,1.0,1.0,1.0,0.1259899492698532,3.0466058055413456,0.0413542011377695,0.0029313774632583,ok,0.9521727169557348,0.2638814526890174,714.0,0.2638814526890174,1.7512124032069387,0.1002469272849007,455.0,ok,ok,85b0e23fefd97f5b16461b0edb4ff0b266dc34624edb54b2904f68fe0401d4f1,True,458.0,1.7591999473946538,2.1197790000000003,0.10526531964723906,-0.17010219112716296,True
sgd,1650021,2.1152663925266126,267.0,1.0592448074820708,2.11526639253004,-2.036649578500227,-1.2810180257632056,True,0.6388104505430356,3.595952867295192,1.0,1.0,1.0,0.0709664902829846,3.0466058055413456,0.0232936240566162,0.0021943483886688,ok,0.9617315638503708,0.2626446528852666,1275.0,0.2626446528852666,2.2801803005742065,0.077963659152602,767.0,ok,ok,15be8b1b8a854e0369cb21331e187641260a9fb03a8575c6768943aebdf93dee,True,772.0,2.2903210899298774,2.118391,0.08275775477643599,0.08116069692982908,True
sgd,1650022,1.5989316704665946,108.0,0.8006007684784968,2.0812007637406076,-1.9608426918171344,1.318082653167555,True,0.4828773644809111,2.718183839793154,1.0,1.0,1.0,0.0775944343585278,3.0466058055413456,0.025469141500812,0.0023606507070834,ok,0.9583542959463414,0.294219554518901,762.0,0.294219554518901,2.2473758406503315,0.0798457697137551,640.0,ok,ok,d1e7fc2ab20f4125a91244760f5356360f2464b1d888d78663f7951466a574bb,True,645.0,2.2582730722404727,2.083307,0.08508180065319948,0.0839847762429986,True
sgd,1650023,1.7068913170636093,928.0,0.8548150762721153,1.8762048632909576,-2.0087407772282706,1.3307201545773797,True,0.5120673951190875,2.898301456374039,1.0,1.0,1.0,0.0867293375177547,3.0466058055413456,0.0284675284738203,0.0023786660266892,ok,0.961471716290096,0.3159283561040746,888.0,0.3159283561040746,2.054339295965884,0.0949440203254083,1379.0,ok,ok,e587e779561873a55a6b9837001517dac20b09cee1153a279e6c9850402ee2af,True,1383.0,2.063030334252626,1.878766,0.0995762640940856,0.09807732003486658,True
sgd,1650024,2.042736276270553,568.0,1.0241696207633912,2.0427362762681995,-2.0361223773768806,-1.2468818311430252,True,0.6169063554337069,3.472651669659925,1.0,1.0,1.0,0.0789594799127788,3.0466058055413456,0.025917196038018,0.0023577826302505,ok,0.9579821525792516,0.2442934886854648,1144.0,0.2442934886854648,2.198069806258818,0.0760418913568186,1019.0,ok,ok,6aaa9c4feed429775aa67f6558ff8a6de91f0281c09c49785dfc9fb314cd8b4c,True,1023.0,2.2067978703166484,2.0458610000000004,0.0803146230643963,0.07866461617707565,True
sgd,1650025,1.828748580022729,669.0,0.915466748825321,1.828748580023137,-2.039323942474262,-1.282796877090814,True,0.5522820711668615,3.105215088878614,1.0,1.0,1.0,0.0960514832130864,3.0466058055413456,0.0315273748373952,0.00256770579281,ok,0.9574397407166372,0.2661119969622443,934.0,0.2661119969622443,1.9920213260781523,0.0892811334693968,1054.0,ok,ok,9b14105de18d7673e82cac81175897c7fd73b80a954a65f3a7f4b527c2f67235,True,1057.0,1.9990893558282266,1.825624,0.09314608780335165,0.09501702203094764,True
sgd,1650026,1.794174090727612,,,,,,,,,,,,,,,,,,,,,,,,,never reaches the rule point,912fbf90890e211081795f9e4cfda098466b52974cb49b1b16551a1f80e8dfa3,False,,,1.797299,,,False
sgd,1650027,2.0049915636244147,6777.0,1.0033160842174191,2.0049915636286264,-2.0324144369638657,-1.2753746375644086,True,0.6055074522145689,3.404475675034282,1.0,1.0,1.0,0.0780256383141665,3.0466058055413456,0.0256106773551894,0.0022868467569091,ok,0.9605774827043309,0.2665253679131982,1153.0,0.2665253679131982,2.1691676233209196,0.0818836660814512,7238.0,ok,ok,8713781e9c00869d9bbf0948cf7102512ef3cfe4a49a1fa386872fd6e7198e4b,True,7242.0,2.177609221432508,2.001867,0.08609395716931534,0.08778915953582733,True
sgd,1650028,1.911779837612985,156.0,0.9582364874381412,1.9117798376125648,-2.043472467072738,-1.2947317224828625,True,0.5735339512838964,3.250025723942063,1.0,1.0,1.0,0.0876952004643107,3.0466058055413456,0.0287845576558692,0.0024507605770091,ok,0.9581351406432506,0.2599126437452441,1027.0,0.2599126437452441,2.0730194298242237,0.0843400422158522,571.0,ok,ok,3b5c41a50f944b7642fdca1e4d19bffef7eb0fc38fe170824ecf2261ec765559,True,575.0,2.0820438135588692,1.908655,0.08906045173011679,0.0908434544529364,True
sgd,1650029,1.772025925882414,7710.0,0.8867568571752449,1.942796943447009,-2.0301441397080833,1.3254195854372126,True,0.5351518296164846,3.008900022148366,1.0,1.0,1.0,0.0853687189431083,3.0466058055413456,0.0280209270224046,0.0024244507108035,ok,0.9586679271955048,0.2765452717199526,908.0,0.2765452717199526,2.1350655438623316,0.0989648460503493,8174.0,ok,ok,6c0eaeed000a50467f573323ca8472744330afb40b1588bc719eba201c037f89,True,8175.0,2.137282518250293,1.943901,0.10010597116660969,0.0994811558048958,True
sgd,1650030,1.4944546048831082,2828.0,0.7494928778746259,2.004977898370804,-1.9508214370852357,1.341731153080854,True,0.4513252906746959,2.540572828301283,1.0,1.0,1.0,0.0807975081993026,3.0466058055413456,0.0265204996499197,0.0023680711142117,ok,0.9592419996955072,0.3189728697810823,697.0,0.3189728697810823,2.172495107514781,0.0835506512466286,3347.0,ok,ok,a516dca8c648a985eb4e7adedd468b1fcd69de1cb28d7fd3b1ee57cc26a2d632,True,3351.0,2.1812195932745677,2.00383,0.08790206368208509,0.08852527074380956,True
sgd,1650031,1.665617202686526,1901.0,0.8329366515671951,1.94168868471266,-1.992913498372098,1.3241828724657516,True,0.5030163952113276,2.8282180101617405,1.0,1.0,1.0,0.0857328048311431,3.0466058055413456,0.0281404324363878,0.0024334017467842,ok,0.9589210801006336,0.2944281671149693,820.0,0.2944281671149693,2.1081188272942644,0.0857141229137015,2366.0,ok,ok,46432bf8285883749702dae10aeb9a1aec8488458615db23841c76e6525545ad,True,2371.0,2.1193021471274873,1.943742,0.09147370730087534,0.09032070466527298,True
sgd,1650032,1.6140808402224502,17473.0,0.8077612182448143,1.9301255255231056,-1.9838209701234435,1.3202743081902852,True,0.4874524137471774,2.740709266697729,1.0,1.0,1.0,0.0858477095331947,3.0466058055413456,0.028178148081071,0.0024221523157832,ok,0.9580640394418412,0.2916756128743225,786.0,0.2916756128743225,2.0872322408299655,0.0813971491643168,17939.0,ok,ok,2553e1c24d5053fb9245082a34d93d836a172b8e339ec72f3c899c8c852dd24c,True,17943.0,2.0961642205711764,1.929706,0.08602481696265363,0.08626092294431187,True
