seed,crossed,step_obs,t_rule,t_sw,r_obs,r_traj_committed,r_cf_committed,registered_r_traj,registered_r_cf,registered_status_traj,p_switch_r_traj,p_switch_r_cf,p_switch_status_traj,p_cross_r_traj,p_cross_r_cf,p_cross_status_traj,p_switch_before_crossing
1650010,True,10594.0,10515,10574,0.1077195831319259,0.0632396453935406,0.1182992446280809,0.06323964539354066,0.11829924462808096,ok,0.09803633269478884,0.1932915239810022,ok,0.10288956999649068,0.20624676044076143,ok,True
1650011,True,8187.0,8099,8166,0.1099701890879527,0.0661942431900228,0.1163051386085283,0.06619424319002287,0.11630513860852834,ok,0.10032523644036861,0.19489657108101408,ok,0.10515264786286149,0.2068044606224449,ok,True
1650012,True,765.0,257,676,0.103201589559809,0.1366473751056576,0.1268791384970763,0.1366473751056576,0.12687913849707633,ok,0.10089170083067867,0.0940370656407997,ok,0.09627065651862532,0.08973859867126002,ok,True
1650013,True,1234.0,847,1164,0.0932315936345651,0.0893125237319065,0.0788231010027441,0.08931252373190657,0.07882310100274419,ok,0.08931252373190657,0.07870733535401907,ok,0.08800484973387923,0.07749628092091168,ok,True
1650014,True,806.0,216,733,0.0791253811764545,0.1169651378446361,0.1183596580763895,0.11696513784463614,0.11835965807638951,ok,0.07696126385355018,0.07728444293926738,ok,0.07371472763346287,0.0743377636550172,ok,True
1650015,True,838.0,415,777,0.0731882013575153,0.0708415058049194,0.0704522215175098,0.07084150580491944,0.07045222151750981,ok,0.06966743804981412,0.06944810112732215,ok,0.0684928888169114,0.06825899961438363,ok,True
1650016,True,2652.0,2391,2599,0.0977763304680836,0.0780323991991518,0.0705379100842271,0.07803239919915184,0.07053791008422713,ok,0.09062692719316678,0.0830708401401933,ok,0.09241747824799584,0.08403130385728949,ok,True
1650017,True,532.0,174,464,0.105650827209474,0.1101938761388559,0.1238947684875319,0.1101938761388559,0.12389476848753198,ok,0.10261939014606303,0.11541668560498636,ok,0.09958574949909327,0.11210084378638042,ok,True
1650018,True,1472.0,1062,1414,0.0731618601737527,0.0743974946212966,0.0668929072658813,0.07439749462129663,0.06689290726588135,ok,0.07068915947206955,0.06323146210027718,ok,0.0694520910245302,0.06226396264112259,ok,True
1650019,True,698.0,290,630,0.0949849279959431,0.1087144439181746,0.1083322135861131,0.10871444391817464,0.10833221358611318,ok,0.09223618807526579,0.0910222421765979,ok,0.08948649506925133,0.08820730435720073,ok,True
1650020,True,621.0,215,552,0.1003427852809972,0.1246324135703398,0.1505987312800582,0.12463241357033983,0.15059873128005824,ok,0.09748207105299977,0.11736922546615926,ok,0.09462069909751647,0.11298162010974114,ok,True
1650021,True,741.0,257,665,0.086531241260227,0.1010680302940003,0.0883544332274732,0.10106803029400035,0.08835443322747326,ok,0.0831709051775491,0.07282584329785866,ok,0.08092948595857052,0.07038624871247304,ok,True
1650022,True,1063.0,393,995,0.0681544765142407,0.0948234072230258,0.0869193765279149,0.09482340722302585,0.0869193765279149,ok,0.06716601626436636,0.06091119033331314,ok,0.0651889417238547,0.059016116826819176,ok,True
